Disease,cell line (lab ID),hPSCreg ID
Leigh Syndrome,S1 / C1_Mut1,HMGUi001-A-63
LS isogenic,iPS25-00036,MDCi252-A.
MT-ATP6,A2,HHUi001-A
MT-ATP6,A3,HHUi002-A
MT-ATP6,8993-A12,MDCi007-A
MT-ATP6,8993-B12,MDCi008-A
MT-ATP6,8993-C11,MDCi009-A
MT-ATP6,8993-D7,MDCi010-A
MT-ATP6,BIHi276-A,BIHi276-A
MT-ATP6,BIHi267-B,BIHi267-B
MT-ATP6,A4,HHUi003-B
ZSD,hvs-520a,VUi056-A
ZSD,hvs-521a,VUi058-A
ZSD,hvs-522a,VUi059-A
ZSD,hvs-523a,VUi060-A
ZSD,hvs-524b,VUi061-A
SSADHD,SSADH 1V2,DHMCi013-A
SSADHD,SSADH 1M8,DHMCi014-A
SSADHD,SSADH 1K1 ,DHMCi015-A
GTPCH,GCH6-6,DHMCi002-B
GTPCH,GCH7D,DHMCi012-A 
GA1,GA1-4-4,DHMCi018-B
GA1,IPS23-00028,SCTCi030-A
GA1,IPS23-00033,SCTCi031-A
GA1,IPS23-00036,SCTCi032-A
GA1,IPS23-00037,SCTCi033-A
PMM2-CDG,11367-stable-Ngn2,iPS20-00130
PMM2-CDG,11368-stable-Ngn2,iPS20-00131
PMM2-CDG,11547-stable-Ngn2,iPS20-00132
SCA3,Ax26,HIHCNi002-A
congenital myasthenic syndrome,CM TEFM C1-1,CHEORIi001-A
congenital myasthenic syndrome,CM TEFM C1-5,CHEORIi001-B
congenital myasthenic syndrome,CM TEFM C1-8,CHEORIi001-C
congenital myasthenic syndrome,TEFM F001 C1_001,CHEORIi002-A
congenital myasthenic syndrome,TEFM F001 C2_001,CHEORIi002-B
DM1,DM1 F024C9,CHEORIi003-A
DM1,DM1 F054C3,CHEORIi004-A
DM1,DM1 F054C17,CHEORIi004-B
ORPHA:3006,IPS22-00005,SCTCi026-A
ORPHA:3006,IPS22-00006,SCTCi027-A
ORPHA:3006,IPS22-00007,SCTCi028-A
ORPHA:3006,IPS22-00008,SCTCi029-A
Myotonic dystrophy type 1,iPS19-00072 cl1,SCTCi043-A
Myotonic dystrophy type 1 rescue,iPS23-00086 clE2,SCTCi043-A-1
Myotonic dystrophy type 1,iPS19-00073 cl1,SCTCi044-A
Myotonic dystrophy type 1,iPS21-00148 cl1,SCTCi045-A
