specific_uri	canonical_uri
http://purl.obolibrary.org/obo/MONDO_0000182	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0004495	http://purl.obolibrary.org/obo/MONDO_0016107
http://purl.obolibrary.org/obo/MONDO_0007182	http://purl.obolibrary.org/obo/MONDO_0007182
http://purl.obolibrary.org/obo/MONDO_0007495	http://purl.obolibrary.org/obo/MONDO_0100184
http://purl.obolibrary.org/obo/MONDO_0008056	http://purl.obolibrary.org/obo/MONDO_0016107
http://purl.obolibrary.org/obo/MONDO_0008069	http://purl.obolibrary.org/obo/MONDO_0009723
http://purl.obolibrary.org/obo/MONDO_0008736	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0008907	http://purl.obolibrary.org/obo/MONDO_0008907
http://purl.obolibrary.org/obo/MONDO_0008953	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0008954	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0009069	http://purl.obolibrary.org/obo/MONDO_0009723
http://purl.obolibrary.org/obo/MONDO_0009281	http://purl.obolibrary.org/obo/MONDO_0009281
http://purl.obolibrary.org/obo/MONDO_0009687	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0009689	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0009690	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0009723	http://purl.obolibrary.org/obo/MONDO_0009723
http://purl.obolibrary.org/obo/MONDO_0009945	http://purl.obolibrary.org/obo/MONDO_0009945
http://purl.obolibrary.org/obo/MONDO_0009959	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0010083	http://purl.obolibrary.org/obo/MONDO_0010083
http://purl.obolibrary.org/obo/MONDO_0011088	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0011101	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0011266	http://purl.obolibrary.org/obo/MONDO_0016107
http://purl.obolibrary.org/obo/MONDO_0011281	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0011600	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0012156	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0012157	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0012518	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0013620	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0013883	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0013927	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013930	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013931	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013932	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013933	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013936	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013937	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013938	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013939	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013942	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013943	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013945	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013948	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013949	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013950	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013951	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013952	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0013967	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0014052	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014468	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014542	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014543	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014578	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014581	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014582	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014583	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014584	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014585	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014586	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014587	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014588	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014590	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014745	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014939	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0014983	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0015005	http://purl.obolibrary.org/obo/MONDO_0009945
http://purl.obolibrary.org/obo/MONDO_0016107	http://purl.obolibrary.org/obo/MONDO_0016107
http://purl.obolibrary.org/obo/MONDO_0016814	http://purl.obolibrary.org/obo/MONDO_0009723
http://purl.obolibrary.org/obo/MONDO_0017174	http://purl.obolibrary.org/obo/MONDO_0007182
http://purl.obolibrary.org/obo/MONDO_0017175	http://purl.obolibrary.org/obo/MONDO_0007182
http://purl.obolibrary.org/obo/MONDO_0017176	http://purl.obolibrary.org/obo/MONDO_0007182
http://purl.obolibrary.org/obo/MONDO_0018940	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0019083	http://purl.obolibrary.org/obo/MONDO_0009723
http://purl.obolibrary.org/obo/MONDO_0019609	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0020344	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0020741	http://purl.obolibrary.org/obo/MONDO_0009945
http://purl.obolibrary.org/obo/MONDO_0023595	http://purl.obolibrary.org/obo/MONDO_0016107
http://purl.obolibrary.org/obo/MONDO_0030341	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0032596	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0032597	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0032675	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0035646	http://purl.obolibrary.org/obo/MONDO_0016107
http://purl.obolibrary.org/obo/MONDO_0035647	http://purl.obolibrary.org/obo/MONDO_0016107
http://purl.obolibrary.org/obo/MONDO_0035648	http://purl.obolibrary.org/obo/MONDO_0016107
http://purl.obolibrary.org/obo/MONDO_0035649	http://purl.obolibrary.org/obo/MONDO_0016107
http://purl.obolibrary.org/obo/MONDO_0035650	http://purl.obolibrary.org/obo/MONDO_0016107
http://purl.obolibrary.org/obo/MONDO_0042964	http://purl.obolibrary.org/obo/MONDO_0007182
http://purl.obolibrary.org/obo/MONDO_0044299	http://purl.obolibrary.org/obo/MONDO_0018940
http://purl.obolibrary.org/obo/MONDO_0054549	http://purl.obolibrary.org/obo/MONDO_0019609
http://purl.obolibrary.org/obo/MONDO_0100098	http://purl.obolibrary.org/obo/MONDO_0100184
http://purl.obolibrary.org/obo/MONDO_0100184	http://purl.obolibrary.org/obo/MONDO_0100184
