UMLS:Disease or Syndrome:MSH	C0268631	Disease	SSADH Deficiency	HP:human_phenotype	HP:0001290	Human Phenotype	Generalized hypotonia	0.020208	https://www.biovista.com/db/link/%5B%5B%22Disease%7CSSADH%20Deficiency%22%5D,%20%5B%22Human%20Phenotype%7CGeneralized%20hypotonia%22%5D%5D?strength-weight-map=%257B%2522MEDLINE_STRENGTH_AB%2522:1.0,%2522HPO%2522:100.0%257D
UMLS:Disease or Syndrome:MSH	C0268631	Disease	SSADH Deficiency	HP:human_phenotype	HP:0002123	Human Phenotype	Generalized myoclonic seizure	0.0140851	https://www.biovista.com/db/link/%5B%5B%22Disease%7CSSADH%20Deficiency%22%5D,%20%5B%22Human%20Phenotype%7CGeneralized%20myoclonic%20seizure%22%5D%5D?strength-weight-map=%257B%2522MEDLINE_STRENGTH_AB%2522:1.0,%2522HPO%2522:100.0%257D
UMLS:Disease or Syndrome:MSH	C0268631	Disease	SSADH Deficiency	HP:human_phenotype	HP:0002121	Human Phenotype	Generalized non-motor (absence) seizure	0.000198502	https://www.biovista.com/db/link/%5B%5B%22Disease%7CSSADH%20Deficiency%22%5D,%20%5B%22Human%20Phenotype%7CGeneralized%20non-motor%20(absence)%20seizure%22%5D%5D?strength-weight-map=%257B%2522MEDLINE_STRENGTH_AB%2522:1.0,%2522HPO%2522:100.0%257D
UMLS:Disease or Syndrome:MSH	C0268631	Disease	SSADH Deficiency	HP:human_phenotype	HP:0002197	Human Phenotype	Generalized-onset seizure	0.000147776	https://www.biovista.com/db/link/%5B%5B%22Disease%7CSSADH%20Deficiency%22%5D,%20%5B%22Human%20Phenotype%7CGeneralized-onset%20seizure%22%5D%5D?strength-weight-map=%257B%2522MEDLINE_STRENGTH_AB%2522:1.0,%2522HPO%2522:100.0%257D
UMLS:Disease or Syndrome:MSH	C0751882	Disease	Congenital Myasthenic Syndrome	HP:human_phenotype	HP:0003324	Human Phenotype	Generalized muscle weakness	0.0140819	https://www.biovista.com/db/link/%5B%5B%22Disease%7CCongenital%20Myasthenic%20Syndrome%22%5D,%20%5B%22Human%20Phenotype%7CGeneralized%20muscle%20weakness%22%5D%5D?strength-weight-map=%257B%2522MEDLINE_STRENGTH_AB%2522:1.0,%2522HPO%2522:100.0%257D
UMLS:Disease or Syndrome:MSH	C0023264	Disease	Leigh Syndrome	HP:human_phenotype	HP:0002909	Human Phenotype	Generalized aminoaciduria	0.00446544	https://www.biovista.com/db/link/%5B%5B%22Disease%7CLeigh%20Syndrome%22%5D,%20%5B%22Human%20Phenotype%7CGeneralized%20aminoaciduria%22%5D%5D?strength-weight-map=%257B%2522MEDLINE_STRENGTH_AB%2522:1.0,%2522HPO%2522:100.0%257D
UMLS:Disease or Syndrome:MSH	C0268467	Disease	GTPCH deficiency	HP:human_phenotype	HP:0001290	Human Phenotype	Generalized hypotonia	0.0257432	https://www.biovista.com/db/link/%5B%5B%22Disease%7CGTPCH%20deficiency%22%5D,%20%5B%22Human%20Phenotype%7CGeneralized%20hypotonia%22%5D%5D?strength-weight-map=%257B%2522MEDLINE_STRENGTH_AB%2522:1.0,%2522HPO%2522:100.0%257D
UMLS:Disease or Syndrome:MSH	C0349653	Disease	PMM2 deficiency	HP:human_phenotype	HP:0002197	Human Phenotype	Generalized-onset seizure	0.00851628	https://www.biovista.com/db/link/%5B%5B%22Disease%7CPMM2%20deficiency%22%5D,%20%5B%22Human%20Phenotype%7CGeneralized-onset%20seizure%22%5D%5D?strength-weight-map=%257B%2522MEDLINE_STRENGTH_AB%2522:1.0,%2522HPO%2522:100.0%257D
UMLS:Disease or Syndrome:MEDCIN	C1849508	Disease	pyridoxine dependent epilepsy	HP:human_phenotype	HP:0002197	Human Phenotype	Generalized-onset seizure	0.00013416	https://www.biovista.com/db/link/%5B%5B%22Disease%7Cpyridoxine%20dependent%20epilepsy%22%5D,%20%5B%22Human%20Phenotype%7CGeneralized-onset%20seizure%22%5D%5D?strength-weight-map=%257B%2522MEDLINE_STRENGTH_AB%2522:1.0,%2522HPO%2522:100.0%257D
UMLS:Disease or Syndrome:MSH	C0024408	Disease	Spinocerebellar Ataxia Type 3	HP:human_phenotype	HP:0003743	Human Phenotype	Genetic anticipation	0.0000603313	https://www.biovista.com/db/link/%5B%5B%22Disease%7CSpinocerebellar%20Ataxia%20Type%203%22%5D,%20%5B%22Human%20Phenotype%7CGenetic%20anticipation%22%5D%5D?strength-weight-map=%257B%2522MEDLINE_STRENGTH_AB%2522:1.0,%2522HPO%2522:100.0%257D
