Disease1	Disease1_id	RELATION	PROVENANCE	Disease2	Disease2_id
Empty Sella Syndrome	C0014008	IS_A		Other and unspecified anterior pituitary hyperfunction	C0029493
Cranial nerve diseases	C0010266	IS_A		Neuropathy	C0442874
Hereditary Diseases	C0019247	COEXISTS_WITH	["17968763_fullText_1"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Hereditary Diseases	C0019247	COEXISTS_WITH	["23339306_fullText_2","8941960_fullText_4"]	Phenylketonurias	C0031485
Hereditary Diseases	C0019247	COEXISTS_WITH	["36056365_fullText_40"]	Optic Atrophy, Hereditary, Leber	C0917796
Hereditary Diseases	C0019247	COEXISTS_WITH	["739261_fullText_8"]	Dystrophia myotonica 1	C2931688
Hereditary Diseases	C0019247	CAUSES	["18203898_fullText_1"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Hereditary Diseases	C0019247	CAUSES	["30459323_fullText_1"]	Hyperphenylalaninaemia	C0751435
Hereditary Diseases	C0019247	CAUSES	["34521419_fullText_3"]	Fibrosis, Liver	C0239946
Hereditary Diseases	C0019247	CAUSES	["25859781_fullText_1"]	Muscular Atrophy	C0026846
Hereditary Diseases	C0019247	CAUSES	["19909263_fullText_1"]	Muscular Dystrophy	C0026850
Hereditary Diseases	C0019247	CAUSES	["34628380_fullText_2"]	Orphan Diseases	C0920627
Hereditary Diseases	C0019247	CAUSES	["37580162_fullText_1"]	Epilepsy	C0014544
Hereditary Diseases	C0019247	CAUSES	["31479473_fullText_11"]	Leigh Disease	C0023264
Hereditary Diseases	C0019247	ISA	["881707_fullText_1"]	Phenylketonurias	C0031485
Hereditary Diseases	C0019247	ISA	["32003821_abstract_7"]	Adrenoleukodystrophy	C0162309
Hereditary Diseases	C0019247	ISA	["33315314_fullText_1","12763243_fullText_1","12242963_fullText_1","11805078_fullText_1","11409861_fullText_1","37421173_fullText_1","36102038_fullText_1","35637269_fullText_1","34162022_fullText_1","33667052_fullText_1","31743061_fullText_1","30770273_fullText_2","30641270_fullText_1","29702557_fullText_1","24739649_fullText_1","24305089_fullText_1","23742123_fullText_1","19757145_fullText_1","18629883_fullText_1","17954208_fullText_1","15771971_fullText_1","14601252_fullText_1","12907065_fullText_1","22899857_fullText_6","31705726_fullText_0","36102038_fullText_0","26785728_fullText_0","22956764_fullText_0"]	Congenital Disorders	C0242354
