Disease	Disease_id	RELATION	PROVENANCE	Drug	Drug_id
Glutaric aciduria, type 1	C0268595	PRODUCES	["20032085_fullText_1"]	Lysine	C0024337
Glutaric aciduria, type 1	C0268595	IS_TREATED	["8300996_fullText_7"]	Lysine	C0024337
Leigh Disease	C0023264	IS_TREATED	["19349200_fullText_3"]	Lysine	C0024337
Glutaric aciduria, type 1	C0268595	IS_TREATED	["15505398_fullText_1","22520952_fullText_10"]	Lysine	C0024337
Phenylketonurias	C0031485	IS_TREATED	["16091306_fullText_1"]	Basis	C1874451
Machado-Joseph Disease	C0024408	IS_TREATED	["9562258_fullText_4"]	Basis	C1874451
Congenital Disorders	C0242354	IS_TREATED	["35810431_fullText_1","35810430_fullText_1"]	Basis	C1874451
Cytochrome-c Oxidase Deficiency	C0268237	IS_TREATED	["2540452_fullText_7"]	Basis	C1874451
Asthma, Exercise-Induced	C0004099	IS_TREATED	["35787178_fullText_6"]	Basis	C1874451
Myopathy in myasthenia gravis	C0393946	IS_TREATED	["30824560_fullText_1"]	Basis	C1874451
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["35810427_fullText_1"]	Basis	C1874451
Glutaric aciduria, type 1	C0268595	IS_TREATED	["21431622_fullText_213"]	Basis	C1874451
Sepsis-Associated Encephalopathy	C0393642	IS_TREATED	["36813621_fullText_7"]	Basis	C1874451
Alzheimer's Disease	C0002395	IS_TREATED	["35289363_fullText_6"]	Basis	C1874451
Deficiency Diseases	C0011156	IS_TREATED	["36292934_fullText_10"]	Basis	C1874451
Exotropia	C0015310	IS_TREATED	["26306823_fullText_13"]	Basis	C1874451
brain dysfunction	C0262405	IS_TREATED	["12561056_fullText_3"]	Basis	C1874451
Amenorrhea	C0002453	IS_TREATED	["7243128_fullText_2"]	Basis	C1874451
Phenylketonurias	C0031485	IS_TREATED	["33198547_fullText_1","16006165_fullText_39","2576129_fullText_3"]	Basis	C1874451
Machado-Joseph Disease	C0024408	IS_TREATED	["10855623_fullText_7"]	Dopamine Hydrochloride	C0282151
Primary disease	C0277554	IS_TREATED	["37147851_fullText_5"]	Dopamine Hydrochloride	C0282151
Parkinson Disease	C0030567	IS_TREATED	["37741697_fullText_1","37147851_fullText_5"]	Dopamine Hydrochloride	C0282151
Machado-Joseph Disease	C0024408	IS_TREATED	["34878314_fullText_7"]	Dopamine	C0013030
Parkinson Disease	C0030567	IS_TREATED	["35485491_fullText_1"]	Dopamine	C0013030
Phenylketonurias	C0031485	IS_TREATED	["25466353_fullText_3","25466353_fullText_7","22107842_fullText_6","15024549_fullText_4"]	Dopamine	C0013030
Phenylketonurias	C0031485	IS_TREATED	["17725999_fullText_2","10097991_fullText_4"]	Dopamine	C0013030
Parkinsonian Disorders	C0242422	IS_TREATED	["34702339_fullText_1"]	Dopamine Agonists	C0178601
Parkinson Disease	C0030567	IS_TREATED	["34162160_fullText_3"]	Dopamine Agonists	C0178601
Hyperglycemia	C0020456	IS_TREATED	["34702339_fullText_1"]	Dopamine Agonists	C0178601
Hyperprolactinemia	C0020514	IS_TREATED	["34702339_fullText_1"]	Dopamine Agonists	C0178601
Hyperprolactinemia	C0020514	IS_TREATED	["34137053_fullText_12"]	Dopamine Agonists	C0178601
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["26515614_fullText_1"]	Dopamine Agonists	C0178601
Ovarian Hyperstimulation Syndrome	C0085083	IS_TREATED	["33851429_fullText_2","33851429_fullText_3"]	Dopamine Agonists	C0178601
Hypogonadism	C0020619	IS_TREATED	["35793046_fullText_2"]	Dopamine Agonists	C0178601
nervous system disorder	C0027765	IS_TREATED	["35486279_fullText_4"]	Dopamine Agonists	C0178601
Diabetes Mellitus, Non-Insulin-Dependent	C0011860	IS_TREATED	["37686060_fullText_11"]	Dopamine Agonists	C0178601
Parkinson Disease	C0030567	IS_TREATED	["37600497_fullText_1"]	Dopamine Agonists	C0178601
Restless Legs Syndrome	C0035258	IS_TREATED	["34032164_fullText_4","36611111_fullText_2"]	Dopamine Agonists	C0178601
CATARACT 4, MULTIPLE TYPES	C3540850	PRODUCES	["35347385_fullText_2"]	Catecholamines	C0007412
Phenylketonuria II	C0268465	IS_TREATED	["7760062_fullText_1"]	Catecholamines	C0007412
Myotonic Dystrophy	C0027126	IS_TREATED	["7080773_fullText_7"]	Catecholamines	C0007412
Pelizaeus-Merzbacher Disease	C0205711	IS_TREATED	["7080773_fullText_7"]	Catecholamines	C0007412
Phenylketonurias	C0031485	IS_TREATED	["15292337_fullText_8"]	Catecholamines	C0007412
Diabetes	C0011847	IS_TREATED	["36538602_fullText_9"]	Catecholamines	C0007412
Parkinson Disease	C0030567	IS_TREATED	["35150767_fullText_2","36729395_fullText_1"]	Levodopa	C0023570
Phenylketonuria II	C0268465	IS_TREATED	["7760062_fullText_1"]	Levodopa	C0023570
Phenylketonurias	C0031485	IS_TREATED	["3797105_fullText_3","6859941_fullText_1"]	Levodopa	C0023570
Neuropathy	C0442874	IS_TREATED	["34852233_fullText_4"]	Levodopa	C0023570
Parkinson Disease	C0030567	IS_TREATED	["36831967_fullText_2"]	Levodopa	C0023570
Hyperphenylalaninemia, Non-Phenylketonuric	C0751436	IS_TREATED	["16767663_fullText_11","11916314_fullText_5"]	Levodopa	C0023570
Abnormal involuntary movement	C0392702	IS_TREATED	["34474045_fullText_5"]	Levodopa	C0023570
Phenylketonurias	C0031485	IS_TREATED	["22447154_fullText_7"]	Levodopa	C0023570
Parkinson Disease	C0030567	IS_TREATED	["33998548_fullText_1","36990797_fullText_3","36402160_fullText_1","31615832_fullText_96"]	Levodopa	C0023570
Extrapyramidal Disorders	C0015371	IS_TREATED	["21431622_fullText_354"]	Levodopa	C0023570
Dyskinetic syndrome	C0013384	IS_TREATED	["37774703_fullText_1"]	Levodopa	C0023570
Parkinson Disease	C0030567	IS_TREATED	["35357463_fullText_9"]	Dopaminergic Agents	C0013036
Restless Legs Syndrome	C0035258	IS_TREATED	["34923723_fullText_1"]	Dopaminergic Agents	C0013036
Parkinson Disease	C0030567	IS_TREATED	["35357463_fullText_2","37192341_fullText_1","36350356_fullText_2"]	Dopaminergic Agents	C0013036
nervous system disorder	C0027765	IS_TREATED	["36611111_fullText_1"]	Dopaminergic Agents	C0013036
Lingual-Facial-Buccal Dyskinesia	C0152115	IS_TREATED	["37774703_fullText_1"]	Dopaminergic Agents	C0013036
Phenylketonurias	C0031485	IS_TREATED	["17185670_fullText_7"]	Inositol	C0021547
Kidney Calculi	C0022650	IS_TREATED	["37491126_fullText_2"]	Calcium	C0006675
Dystrophia myotonica 1	C2931688	IS_TREATED	["22131273_fullText_45"]	Perform	C2947996
Leigh Disease	C0023264	IS_TREATED	["2834526_fullText_3"]	Perform	C2947996
Congenital Myotonic Dystrophy	C0410226	IS_TREATED	["7546006_fullText_6"]	Choline	C0008405
Phenylketonurias	C0031485	IS_TREATED	["37516884_fullText_5"]	Choline	C0008405
Machado-Joseph Disease	C0024408	IS_TREATED	["37243335_fullText_9"]	Choline	C0008405
Mitochondrial Myopathies	C0162670	IS_TREATED	["32371897_fullText_81"]	Taurine	C0039350
Peroxisomal Disorders	C0282528	IS_TREATED	["1722438_fullText_5"]	Taurine	C0039350
Machado-Joseph Disease	C0024408	IS_TREATED	["37243335_fullText_7"]	Glutamine	C0017797
