Disease	Disease_id	RELATION	PROVENANCE	Gene	Gene_id
Hereditary Diseases	C0019247	IS_TREATED	["34120625_fullText_99"]	NGLY1 gene	C1425023
Hereditary Diseases	C0019247	IS_TREATED	["19412185_fullText_7"]	mutant gene	C0678941
Hereditary Diseases	C0019247	IS_TREATED	["19412185_fullText_7"]	Wild Type	C1883559
Hereditary Diseases	C0019247	IS_TREATED	["23586035_fullText_75"]	PGD gene	C1418504
Hereditary Diseases	C0019247	IS_TREATED	["37716025_fullText_3"]	WASF1 gene	C1421479
Neurodegenerative Disorders	C0524851	IS_TREATED	["36870649_fullText_2"]	MARK4 gene	C1422048
Neurodegenerative Disorders	C0524851	IS_TREATED	["31684998_fullText_2"]	NEFL gene	C1417668
Neurodegenerative Disorders	C0524851	IS_TREATED	["37460029_fullText_8"]	PRB1 gene	C1418866
Rare Diseases	C0678236	IS_TREATED	["33858316_fullText_7"]	PMM2 gene	C1418674
Rare Diseases	C0678236	IS_TREATED	["37848450_fullText_56"]	Genome	C0017428
Rare Diseases	C0678236	IS_TREATED	["36294089_fullText_11"]	CASK gene	C1413128
Rare Diseases	C0678236	IS_TREATED	["24931394_fullText_7"]	PGM3 gene	C1418518
Ataxia, Spinocerebellar	C0087012	IS_TREATED	["38612794_fullText_77"]	CACNA1A gene	C1456413
Ataxia, Spinocerebellar	C0087012	IS_TREATED	["38612794_fullText_77"]	ATXN10 gene	C1538308
Cardiac Arrest	C0018790	IS_TREATED	["38900099_fullText_3"]	IMPACT gene	C1825598
Cardiac Arrest	C0018790	IS_TREATED	["39000316_fullText_5"]	mutant gene	C0678941
Cardiac Arrest	C0018790	IS_TREATED	["33636389_fullText_6"]	LY6E gene	C1334353
Movement Disorders	C0026650	IS_TREATED	["34334401_fullText_8"]	LRP2 wt Allele	C3811119
Parkinsonian Disorders	C0242422	IS_TREATED	["35837753_fullText_3"]	LRP2 wt Allele	C3811119
Machado-Joseph Disease	C0024408	IS_TREATED	["19412185_fullText_7"]	mutant gene	C0678941
Machado-Joseph Disease	C0024408	IS_TREATED	["37866221_fullText_2","35794401_fullText_11","33477953_fullText_1","22706685_fullText_3","19666958_fullText_6","9450899_fullText_1"]	ATXN3 gene	C1538301
Machado-Joseph Disease	C0024408	IS_TREATED	["7874163_fullText_1"]	Genetic Loci	C0678933
Machado-Joseph Disease	C0024408	IS_TREATED	["39125644_fullText_57"]	ENO2 gene	C1414404
Machado-Joseph Disease	C0024408	IS_TREATED	["29048302_fullText_2","26870910_fullText_1","16630162_fullText_4"]	CEL gene	C1413336
Machado-Joseph Disease	C0024408	IS_TREATED	["32357546_fullText_184"]	NPY gene	C1417815
