Disease	Disease_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Rare Diseases	C0678236	CAUSES	["1676468_fullText_1"]	Muscle Cramp	C0026821
Isaacs syndrome	C0242287	CAUSES__SPEC__	["1676468_fullText_1"]	Muscle Cramp	C0026821
Respiratory Failure	C1145670	COEXISTS_WITH	["23180777_fullText_6"]	Neurological observations	C0422837
Chronic pain	C0150055	COEXISTS_WITH	["37232008_fullText_1"]	Neurological observations	C0422837
Epilepsy	C0014544	COEXISTS_WITH	["37232008_fullText_1"]	Neurological observations	C0422837
Strabismus	C0038379	ISA	["35308014_fullText_7"]	Neurological observations	C0422837
Machado-Joseph Disease	C0024408	ISA	["37866221_fullText_1","27584711_fullText_1"]	Neurological observations	C0422837
Nystagmus	C0028738	ISA	["30146593_fullText_4"]	Neurological observations	C0422837
Hereditary Diseases	C0019247	AFFECTS	["6239015_fullText_1"]	Neurological observations	C0422837
Multisystem disorder	C0559758	AFFECTS	["34802815_fullText_1"]	Neurological observations	C0422837
Congenital disorder of glycosylation type 1A	C0349653	AFFECTS	["12889654_fullText_7"]	Neurological observations	C0422837
Huntington Disease	C0020179	AFFECTS__SPEC__	["6239015_fullText_1"]	Neurological observations	C0422837
Myotonic Dystrophy	C0027126	AFFECTS__SPEC__	["6239015_fullText_1"]	Neurological observations	C0422837
Congenital disorder of glycosylation type 1A	C0349653	AFFECTS__SPEC__	["11343337_fullText_3"]	Neurological observations	C0422837
Glutaric aciduria, type 1	C0268595	COEXISTS_WITH	["23326493_fullText_1"]	handicapping condition	C0231172
Myotonia Congenita	C0027127	COEXISTS_WITH	["2239155_fullText_1"]	Progressive disorder	C1864985
Dystrophia myotonica 1	C2931688	AFFECTS	["36192279_fullText_8"]	Emotional	C0849912
Rare Diseases	C0678236	AFFECTS	["28274259_fullText_1"]	Emotional	C0849912
Neurodegenerative Disorders	C0524851	AFFECTS	["11420419_fullText_6"]	Neuronal loss	C1850496
Acute encephalopathy	C1306587	COEXISTS_WITH	["29335023_fullText_52"]	Early-onset	C1833334
Respiration Disorders	C0035204	COEXISTS_WITH	["30425197_fullText_89"]	Early-onset	C1833334
Leigh Disease	C0023264	COEXISTS_WITH	["37667390_fullText_76"]	Early-onset	C1833334
Glutaric aciduria, type 1	C0268595	COEXISTS_WITH	["15318278_fullText_9"]	Early-onset	C1833334
Lysosomal Storage Diseases	C0085078	COEXISTS_WITH	["32259258_fullText_85"]	Rescue	C3840763
nerve lesion	C0847483	COEXISTS_WITH	["35224825_fullText_5"]	ataxic	C0234366
Encephalopathies	C0085584	COEXISTS_WITH	["15272617_fullText_3"]	Worse	C1457868
cerebellar function	C0742034	AFFECTS	["32789747_fullText_8"]	Worse	C1457868
Neonatal Abstinence Syndrome	C0027609	PREDISPOSES	["33829329_fullText_6"]	Worse	C1457868
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["32867861_fullText_11"]	Normal general body function	C0231162
Anorexia	C0003123	COEXISTS_WITH	["32357546_fullText_27"]	Cerebellar Ataxia	C0007758
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["30616057_fullText_2"]	Cerebellar Ataxia	C0007758
Congenital Disorders	C0242354	CAUSES	["25425520_fullText_3"]	Cerebellar Ataxia	C0007758
Optic Atrophy	C0029124	CAUSES	["1660181_fullText_3"]	Cerebellar Ataxia	C0007758
Retinal Degeneration	C0035304	CAUSES	["1660181_fullText_3"]	Cerebellar Ataxia	C0007758
Spinocerebellar Ataxia Type 1	C0752120	ISA	["32285347_fullText_1","8773601_fullText_1","8815156_fullText_1"]	Cerebellar Ataxia	C0007758
Spinocerebellar Ataxia Type 6 (disorder)	C0752124	ISA	["32285347_fullText_1"]	Cerebellar Ataxia	C0007758
Machado-Joseph Disease	C0024408	ISA	["37005010_fullText_1","36323979_fullText_1","34273111_fullText_1","32285347_fullText_1","32087274_fullText_1","31272408_fullText_1","27689815_fullText_1","27328712_fullText_1","26362908_fullText_1","24817574_fullText_1","18413477_fullText_1","15727252_fullText_1","12614315_fullText_1","12422070_fullText_1","9779663_fullText_1","9532283_fullText_1","8937340_fullText_1","8773601_fullText_1","8815156_fullText_1","8523034_fullText_1","32357546_fullText_1"]	Cerebellar Ataxia	C0007758
Ataxia, Spinocerebellar	C0087012	ISA	["8523034_fullText_1"]	Cerebellar Ataxia	C0007758
Symptomatic Nystagmus	C0271383	COEXISTS_WITH	["28273704_fullText_8"]	Extrapyramidal sign	C0234133
Leigh Disease	C0023264	COEXISTS_WITH	["27079373_fullText_6"]	Severe phenotype	C1836408
Congenital Disorders	C0242354	AFFECTS	["34106226_fullText_5"]	Severe phenotype	C1836408
Mitochondrial Diseases	C0751651	AFFECTS	["10412694_fullText_1"]	Severe phenotype	C1836408
Muscular Atrophy	C0026846	PREDISPOSES	["29091763_fullText_7"]	Severe phenotype	C1836408
Myotonic Dystrophy	C0027126	COEXISTS_WITH	["2731026_fullText_6"]	Fatigue	C0015672
Dystrophia myotonica 1	C2931688	CAUSES	["29934199_fullText_1"]	Fatigue	C0015672
Neuromuscular Diseases	C0027868	CAUSES	["16243623_fullText_3","29390978_fullText_44"]	Fatigue	C0015672
Metabolic Diseases	C0025517	COEXISTS_WITH	["822514_fullText_1"]	Neurologic Dysfunction	C0751377
Neurodegenerative Disorders	C0524851	COEXISTS_WITH	["25807530_fullText_13"]	Symmetrical	C0332516
Peripheral Neuropathy	C0031117	AFFECTS	["2996109_fullText_10"]	Symmetrical	C0332516
Leigh Disease	C0023264	AFFECTS	["36813312_fullText_4"]	Symmetrical	C0332516
Leigh Disease	C0023264	COEXISTS_WITH__SPEC__	["25807530_fullText_13"]	Symmetrical	C0332516
Phenylketonurias	C0031485	COEXISTS_WITH	["1296300_fullText_1"]	Very large	C0450093
Floppy infant syndrome	C0270971	COEXISTS_WITH	["28588248_fullText_2"]	Very large	C0450093
Nystagmus	C0028738	COEXISTS_WITH	["23829769_fullText_21"]	Abnormal movement	C0558189
Nance-Horan syndrome	C0796085	COEXISTS_WITH	["34613609_fullText_5"]	research results	C0683954
Sialorrhea	C0037036	COEXISTS_WITH	["35989107_fullText_5"]	research results	C0683954
Placental Insufficiency	C0032051	AFFECTS	["34400844_fullText_3"]	White matter abnormalities	C1866186
Chronic pain	C0150055	CAUSES	["34208781_fullText_7"]	Depressive Symptoms	C0086132
Craniosynostosis	C0010278	CAUSES	["34875999_fullText_8"]	Depressive Symptoms	C0086132
Phenylketonurias	C0031485	COEXISTS_WITH	["37740225_fullText_10"]	Perceived quality of life	C0518214
Chronic disease	C0008679	AFFECTS	["23537423_fullText_1"]	Perceived quality of life	C0518214
Cardiac Arrest	C0018790	AFFECTS	["31575582_fullText_113"]	Perceived quality of life	C0518214
Restless Legs Syndrome	C0035258	AFFECTS	["36853797_fullText_11"]	Perceived quality of life	C0518214
Neuroleptic Malignant Syndrome	C0027849	AFFECTS	["36701529_fullText_8"]	Perceived quality of life	C0518214
Restless Legs Syndrome	C0035258	CAUSES	["35256685_fullText_1"]	Sleep disturbances	C0037317
Narcolepsy	C0027404	ISA	["34052813_fullText_2","37598758_fullText_1","16006155_fullText_1"]	Sleep disturbances	C0037317
Restless Legs Syndrome	C0035258	ISA	["22632781_fullText_2","21287304_fullText_3","34225668_fullText_1","37590826_fullText_6","34967659_fullText_4","35808955_fullText_2"]	Sleep disturbances	C0037317
Sleep Apnea Syndromes	C0037315	ISA	["36275739_fullText_5","23837695_fullText_6"]	Sleep disturbances	C0037317
Phenylketonurias	C0031485	COEXISTS_WITH	["9275410_fullText_5"]	Detected (finding)	C0442726
Deglutition Disorders	C0011168	AFFECTS	["19167224_fullText_7"]	Body Weight decreased	C0043096
Non-human disorder	C1290829	COEXISTS_WITH	["31246996_fullText_95"]	Gait	C0016928
Neurodegenerative Disorders	C0524851	COEXISTS_WITH	["17894834_fullText_1"]	Gait	C0016928
Machado-Joseph Disease	C0024408	COEXISTS_WITH	["36043376_fullText_3"]	Gait	C0016928
Machado-Joseph Disease	C0024408	AFFECTS	["39320846_fullText_87"]	Gait	C0016928
Machado-Joseph Disease	C0024408	COEXISTS_WITH__SPEC__	["17894834_fullText_1"]	Gait	C0016928
Cerebellar Diseases	C0007760	AFFECTS	["21047555_fullText_3"]	Neuronal Differentiation	C1518294
Migraine Disorders	C0149931	COEXISTS_WITH	["35917017_fullText_5"]	Family history	C0241889
EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508	AFFECTS	["6859931_fullText_1"]	Uncertainty	C0087130
Rare Diseases	C0678236	AFFECTS	["27832415_fullText_1"]	Severely Abnormal Ventricular Ejection Fraction	C3274777
Peroxisome biogenesis disorders	C1832200	COEXISTS_WITH	["15868469_fullText_1"]	Severely Abnormal Ventricular Ejection Fraction	C3274777
Peroxisomal Disorders	C0282528	COEXISTS_WITH	["11478384_fullText_1","9382874_fullText_1"]	Severely Abnormal Ventricular Ejection Fraction	C3274777
Unspecified anomaly of muscle	C0235947	COEXISTS_WITH	["18413477_fullText_19"]	Excitability	C0235169
Central convulsion	C0234534	CAUSES	["25630614_fullText_131"]	Excitability	C0235169
Agenesis of corpus callosum	C0175754	CAUSES	["34507588_fullText_9","34507588_fullText_10"]	Excitability	C0235169
Chronic pain	C0150055	CAUSES	["37734381_fullText_7"]	Excitability	C0235169
Failure to Thrive	C0015544	COEXISTS_WITH	["21266382_fullText_2"]	90%	C3842582
Heart failure	C0018801	CAUSES	["37081685_fullText_14"]	Tachycardia	C0039231
Fragile X Syndrome	C0016667	AFFECTS	["8293721_fullText_3"]	Variable expressivity	C1861403
Bulbospinal Neuronopathy	C0393547	AFFECTS	["8293721_fullText_3"]	Variable expressivity	C1861403
Myotonic Dystrophy	C0027126	AFFECTS	["23611887_fullText_2"]	Household composition	C0595998
Myopathy	C0026848	AFFECTS	["33269537_fullText_2"]	Household composition	C0595998
Phenylketonurias	C0031485	COEXISTS_WITH	["25338975_fullText_1"]	Severe disorder	C1836348
Nystagmus	C0028738	COEXISTS_WITH	["37541626_fullText_5"]	Severe disorder	C1836348
Blood Coagulation Disorders	C0005779	COEXISTS_WITH	["11901181_fullText_1"]	Severe disorder	C1836348
Hydrocephalus	C0020255	COEXISTS_WITH	["11901181_fullText_1"]	Severe disorder	C1836348
Vitamin K Deficiency	C0042880	COEXISTS_WITH	["20605848_fullText_1"]	Severe disorder	C1836348
Myopathy	C0026848	COEXISTS_WITH	["11901181_fullText_1"]	Severe disorder	C1836348
Glutaric aciduria, type 1	C0268595	COEXISTS_WITH	["11508549_fullText_2"]	Severe disorder	C1836348
Cytochrome-c Oxidase Deficiency	C0268237	COEXISTS_WITH	["11955926_fullText_1"]	Severe disorder	C1836348
Metabolic myopathy	C0270984	PREDISPOSES	["37982853_fullText_1"]	Severe disorder	C1836348
Hepatic impairment	C0948807	PREDISPOSES	["35272847_fullText_5"]	Not significant	C1273937
Mitochondrial Diseases	C0751651	COEXISTS_WITH	["23021068_fullText_1"]	Neurologic Manifestations	C0027854
Leigh Disease	C0023264	AFFECTS	["34716721_fullText_52"]	Neurologic Manifestations	C0027854
