Disease	Disease_id	Therapeutic_area	Therapeutic_area_id	
Third cranial nerve disorder	C0271353	Cranial nerve diseases	C0010266	
Other specified trigeminal nerve disorders	C0029834	Cranial nerve diseases	C0010266	
Marcus Gunn phenomenon	C0266521	Cranial nerve diseases	C0010266	
Cranial nerve palsies	C0151311	Cranial nerve diseases	C0010266	
Disorders of other cranial nerves	C0154730	Cranial nerve diseases	C0010266	
Cranial Nerve Neoplasms, Malignant	C0153644	Cranial nerve diseases	C0010266	
Disorder of the optic nerve	C0029132	Cranial nerve diseases	C0010266	
Facial Nerve Diseases	C0015464	Cranial nerve diseases	C0010266	
Superior Oblique Palsy, Neurogenic	C0751939	Cranial nerve diseases	C0010266	
Ocular Motility Disorders	C0028850	Cranial nerve diseases	C0010266	
Vestibulocochlear Nerve Diseases	C0001163	Cranial nerve diseases	C0010266	
Inborn Errors of Metabolism	C0025521	Hereditary Diseases	C0019247	
Other peripheral vertigo	C0029706	Vestibular Diseases	C0042594	
Dandy-Walker Syndrome	C0010964	Cerebellar Diseases	C0007760	
Machado-Joseph Disease	C0024408	Ataxia, Spinocerebellar	C0087012	
Dentatorubral-Pallidoluysian Atrophy	C0751781	Ataxia, Spinocerebellar	C0087012	
Spinocerebellar Ataxia Type 4	C0752122	Ataxia, Spinocerebellar	C0087012	
Lingual-Facial-Buccal Dyskinesia	C0152115	Movement Disorders	C0026650	
Progressive supranuclear palsy	C0038868	Movement Disorders	C0026650	
Dystonia Disorders	C0393593	Movement Disorders	C0026650	
Essential Tremor	C0270736	Movement Disorders	C0026650	
Shuddering attacks	C0375200	Movement Disorders	C0026650	
Extrapyramidal and movement disorders	C0477355	Movement Disorders	C0026650	
Stiff-Person Syndrome	C0085292	Movement Disorders	C0026650	
PARKINSONISM-DYSTONIA 2, INFANTILE-ONSET	C4747991	Movement Disorders	C0026650	
Interstitial myositis	C0158362	Myositis	C0027121	
Tendinitis	C0039503	Myositis	C0027121	
Tropical pyomyositis	C0041188	Myositis	C0027121	
Myositis Ossificans	C0027122	Myositis	C0027121	
Inclusion Body Myositis (disorder)	C0238190	Myositis	C0027121	
Dermatomyositis	C0011633	Myositis	C0027121	
Idiopathic Granulomatous Myositis	C1334150	Myositis	C0027121	
TIBIAL MUSCULAR DYSTROPHY, TARDIVE	C1838244	Distal Muscular Dystrophies	C0751336	
Female acute pelvic peritonitis	C0269032	Pelvic Inflammatory Disease	C0242172	
Parametritis	C0030455	Pelvic Inflammatory Disease	C0242172	
striated muscle atrophy	C2265906	Muscular Atrophy	C0026846	
smooth muscle atrophy	C2265905	Muscular Atrophy	C0026846	
Polyneuropathy chronic	C1167650	Polyneuropathy	C0152025	
Peripheral demyelinating neuropathy	C0270922	Polyneuropathy	C0152025	
Polyneuropathy in collagen vascular disease	C0154759	Polyneuropathy	C0152025	
Idiopathic progressive polyneuropathy	C0154756	Polyneuropathy	C0152025	
Refractive Errors	C0034951	Disorder of eye	C0015397	
Degenerative disorder of eye	C0154777	Disorder of eye	C0015397	
Ophthalmia nodosa	C0154775	Disorder of eye	C0015397	
Other vitreous opacities	C0029872	Disorder of eye	C0015397	
Keratoconjunctivitis	C0022573	Disorder of eye	C0015397	
Enlarged blind spot	C0152192	Disorder of eye	C0015397	
Ocular Hypertension	C0028840	Disorder of eye	C0015397	
Chorioretinitis	C0008513	Disorder of eye	C0015397	
Retinal Dystrophies	C0854723	Disorder of eye	C0015397	
Ocular Hypotension	C0028841	Disorder of eye	C0015397	
Retinal Diseases	C0035309	Disorder of eye	C0015397	
Conjunctival Diseases	C0009759	Disorder of eye	C0015397	
Uveal Diseases	C0042161	Disorder of eye	C0015397	
