Drug	Drug_id	RELATION	PROVENANCE	Disease	Disease_id
Lysine	C0024337	CAUSES	["23658800_fullText_123"]	Hypoglycemia	C0020615
Lysine	C0024337	ASSOCIATED_WITH	["35157847_fullText_152"]	Epidermolysis Bullosa Simplex Superficialis	C1843477
Lysine	C0024337	ASSOCIATED_WITH	["31952437_fullText_1"]	Enzyme Deficiency	C0149676
Lysine	C0024337	ASSOCIATED_WITH	["21431622_fullText_4"]	Glutaric aciduria, type 1	C0268595
Lysine	C0024337	ASSOCIATED_WITH	["22231382_fullText_2"]	Autosomal hereditary disorder	C0265384
Lysine	C0024337	ASSOCIATED_WITH	["10868777_fullText_1"]	nervous system disorder	C0027765
Basis	C1874451	CAUSES	["31560172_fullText_1"]	Myasthenic Syndromes, Congenital, Slow Channel	C0751885
Basis	C1874451	AUGMENTS	["22899857_fullText_102"]	Liver diseases	C0023895
Basis	C1874451	DISRUPTS	["31636082_fullText_0"]	Congenital Disorders	C0242354
Dopamine Hydrochloride	C0282151	ASSOCIATED_WITH	["25707872_fullText_3"]	Parkinson Disease	C0030567
Dopamine Hydrochloride	C0282151	ASSOCIATED_WITH	["37418039_fullText_6"]	Lafora Disease	C0751783
Dopamine Hydrochloride	C0282151	ASSOCIATED_WITH	["37686060_fullText_12"]	Diabetes Mellitus, Non-Insulin-Dependent	C0011860
Dopamine Hydrochloride	C0282151	ASSOCIATED_WITH	["33844498_fullText_11"]	nervous system disorder	C0027765
Dopamine Hydrochloride	C0282151	ASSOCIATED_WITH	["16941469_fullText_2"]	Spinocerebellar Ataxia Type 1	C0752120
Dopamine Hydrochloride	C0282151	PREVENTS	["37567458_fullText_11"]	Hyperglycemia	C0020456
TimeLine Fluoride Releasing Resin	C0145943	CAUSES	["37664882_fullText_6"]	Machado-Joseph Disease	C0024408
Dopamine	C0013030	CAUSES	["33940050_fullText_2"]	Fetal Alcohol Syndrome	C0015923
Dopamine	C0013030	CAUSES	["35738452_fullText_4"]	Neurodegenerative Disorders	C0524851
Dopamine	C0013030	CAUSES	["35829818_fullText_11"]	Parkinsonism, Juvenile	C0752105
Dopamine	C0013030	CAUSES	["34747520_fullText_2"]	Neuropathy	C0442874
Dopamine	C0013030	CAUSES	["36990797_fullText_3"]	Parkinson Disease	C0030567
Dopamine	C0013030	AFFECTS	["34789847_fullText_6"]	Brain Diseases	C0006111
Dopamine	C0013030	AFFECTS	["34070011_fullText_1"]	Inflammatory disorder	C1290884
Dopamine	C0013030	AFFECTS	["35250873_fullText_6"]	Irritable Bowel Syndrome	C0022104
Dopamine	C0013030	ASSOCIATED_WITH	["29331172_fullText_1","28552082_fullText_7","28284394_fullText_2","28284394_fullText_3","23219290_fullText_8","19210041_fullText_1","6112253_fullText_1"]	Phenylketonurias	C0031485
Dopamine	C0013030	ASSOCIATED_WITH	["34139281_fullText_1"]	Obesity	C0028754
Dopamine	C0013030	ASSOCIATED_WITH	["36758510_fullText_7"]	Helminthiasis	C0018889
Dopamine	C0013030	ASSOCIATED_WITH	["34429055_fullText_1","34070011_fullText_2"]	Multiple Sclerosis	C0026769
Dopamine	C0013030	ASSOCIATED_WITH	["35385745_fullText_5"]	Brain Diseases	C0006111
Dopamine	C0013030	ASSOCIATED_WITH	["33773463_fullText_1"]	multiple pathologies	C0679225
Dopamine	C0013030	ASSOCIATED_WITH	["34838844_fullText_5"]	Refractive Errors	C0034951
Dopamine	C0013030	ASSOCIATED_WITH	["36152409_fullText_3","33831360_fullText_1"]	Parkinson Disease	C0030567
Dopamine	C0013030	ASSOCIATED_WITH	["36871883_fullText_3"]	Movement Disorders	C0026650
Dopamine	C0013030	ASSOCIATED_WITH	["33940050_fullText_4"]	Fetal Alcohol Syndrome	C0015923
Dopamine	C0013030	ASSOCIATED_WITH	["22575233_fullText_12"]	Machado-Joseph Disease	C0024408
Dopamine	C0013030	ASSOCIATED_WITH__SPEC__	["22575233_fullText_12"]	Machado-Joseph Disease	C0024408
Dopamine Agonists	C0178601	CAUSES	["35837753_fullText_7","34782410_fullText_2"]	Dyskinetic syndrome	C0013384
Dopamine Agonists	C0178601	AFFECTS	["33851429_fullText_3"]	Ovarian Hyperstimulation Syndrome	C0085083
Catecholamines	C0007412	ASSOCIATED_WITH	["10817622_fullText_1","6889630_fullText_3"]	Phenylketonurias	C0031485
Catecholamines	C0007412	ASSOCIATED_WITH	["36717_fullText_1"]	Cirrhosis	C1623038
Catecholamines	C0007412	PREVENTS	["35725377_fullText_4"]	Congestive heart failure	C0018802
Levodopa	C0023570	CAUSES	["35513119_fullText_2"]	Abnormal involuntary movement	C0392702
Levodopa	C0023570	CAUSES	["35837753_fullText_7","34003454_fullText_2","34782410_fullText_2","36878398_fullText_1","24018121_fullText_6"]	Dyskinetic syndrome	C0013384
Levodopa	C0023570	ASSOCIATED_WITH	["22325981_fullText_4"]	6-pyruvoyl-tetrahydropterin synthase deficiency	C0878676
Levodopa	C0023570	ASSOCIATED_WITH	["33762285_fullText_3"]	Restless Legs Syndrome	C0035258
Levodopa	C0023570	ASSOCIATED_WITH	["35150767_fullText_1","35503480_fullText_4"]	Parkinson Disease	C0030567
Levodopa	C0023570	ASSOCIATED_WITH	["33762285_fullText_3"]	Irritable Bowel Syndrome	C0022104
Levodopa	C0023570	PREVENTS	["34838844_fullText_11"]	Myopia	C0027092
Calcium	C0006675	CAUSES	["19764481_fullText_9"]	Myopathy	C0026848
Calcium	C0006675	ASSOCIATED_WITH	["17401656_fullText_3"]	Neuropathy	C0442874
Calcium	C0006675	ASSOCIATED_WITH	["20830525_fullText_4"]	Juvenile-Onset Vitelliform Macular Dystrophy	C2745945
Calcium	C0006675	ASSOCIATED_WITH	["37580872_fullText_12"]	Wasting	C0235394
Calcium	C0006675	ASSOCIATED_WITH	["27854224_fullText_155"]	Muscular Dystrophy	C0026850
Calcium	C0006675	ASSOCIATED_WITH	["12151524_fullText_6"]	Myasthenic Syndromes, Congenital, Slow Channel	C0751885
Calcium	C0006675	ASSOCIATED_WITH	["15317754_fullText_4"]	Hypertrophic Cardiomyopathy	C0007194
Choline	C0008405	ASSOCIATED_WITH	["35792828_fullText_93"]	Cerebral Infarction	C0007785
Choline	C0008405	ASSOCIATED_WITH	["35254130_fullText_10"]	Lafora Disease	C0751783
