Drug1	Drug1_id	RELATION	PROVENANCE	Drug2	Drug2_id
Monarch	C1515915	MENTIONED_IN	["32283553_fullText_13","32283553_fullText_33","32283553_fullText_38","32283553_fullText_57","32283553_fullText_59","32283553_fullText_59","32283553_fullText_66","32283553_fullText_69","32283553_fullText_73","32283553_fullText_150"]		32283553
Monarch	C1515915	MENTIONED_IN	["31231989_fullText_28"]		31231989
STEP 2	C1875784	MENTIONED_IN	["33863317_fullText_4"]		33863317
STEP 2	C1875784	MENTIONED_IN	["37957369_fullText_10","37957369_fullText_10","37957369_fullText_10"]		37957369
Lysine	C0024337	PART_OF	["27725718_fullText_113"]	synthetic peptide	C0597551
Lysine	C0024337	PART_OF	["36128717_fullText_114"]	LOR gene	C1416897
Lysine	C0024337	PART_OF	["31479473_fullText_115"]	Glutamate	C0220839
Lysine	C0024337	PART_OF	["35872650_fullText_47"]	HEK293 Cells	C2936239
Lysine	C0024337	PART_OF	["28062662_fullText_7","22578804_fullText_7"]	GCDH gene	C1415009
Lysine	C0024337	PART_OF	["25968119_fullText_3"]	Astrocytes	C0004112
Lysine	C0024337	PART_OF	["34181873_fullText_1","9600243_fullText_1","33081139_fullText_10","24498361_fullText_1","31607269_fullText_3","27246831_fullText_0","29654578_fullText_6"]	Amino Acids	C0002520
Lysine	C0024337	PART_OF	["26671102_fullText_8"]	Glutamate [NMDA] Receptor Subunit Epsilon-2	C3537346
Lysine	C0024337	PART_OF	["33479176_fullText_4"]	Ubiquitin	C0041538
Lysine	C0024337	PART_OF	["8170567_fullText_3","17895983_fullText_69"]	MT-TA gene	C1537998
Lysine	C0024337	COEXISTS_WITH	["37197954_fullText_3","37197954_abstract_3"]	GFAP gene	C1415042
Lysine	C0024337	COEXISTS_WITH	["21431622_fullText_217"]	delta protein	C0082213
Lysine	C0024337	COEXISTS_WITH	["25333616_fullText_44"]	Arginine	C0003765
Lysine	C0024337	COEXISTS_WITH	["24594605_fullText_97","24468193_fullText_28"]	animal allergen extracts	C3540698
Lysine	C0024337	COEXISTS_WITH	["25333616_fullText_44"]	Homoarginine	C0019877
Lysine	C0024337	COEXISTS_WITH	["24594605_fullText_73"]	GCDH gene	C1415009
Lysine	C0024337	COEXISTS_WITH	["25333616_fullText_90"]	Caspase Gene	C1332858
