Drug	Drug_id	RELATION	PROVENANCE	Gene	Gene_id
Lysine	C0024337	PART_OF	["36128717_fullText_114"]	LOR gene	C1416897
Lysine	C0024337	PART_OF	["28062662_fullText_7","22578804_fullText_7"]	GCDH gene	C1415009
Lysine	C0024337	PART_OF	["8170567_fullText_3","17895983_fullText_69"]	MT-TA gene	C1537998
Lysine	C0024337	COEXISTS_WITH	["37197954_fullText_3","37197954_abstract_3"]	GFAP gene	C1415042
Lysine	C0024337	COEXISTS_WITH	["24594605_fullText_73"]	GCDH gene	C1415009
Lysine	C0024337	COEXISTS_WITH	["25333616_fullText_90"]	Caspase Gene	C1332858
Lysine	C0024337	COEXISTS_WITH	["25416781_fullText_5"]	ETFB gene	C1414472
Lysine	C0024337	INHIBITS	["36128717_fullText_28"]	LOR gene	C1416897
Lysine	C0024337	INHIBITS	["36128717_fullText_10"]	AASS gene	C1424938
Lysine	C0024337	INHIBITS	["28762469_fullText_6","25333616_fullText_0"]	GCDH gene	C1415009
Lysine	C0024337	STIMULATES	["35872650_fullText_103"]	TP53 gene	C0079419
Lysine	C0024337	STIMULATES	["26967762_fullText_9"]	Operon	C0029073
Lysine	C0024337	STIMULATES	["34713466_fullText_4","22445450_fullText_5"]	GCDH gene	C1415009
Basis	C1874451	COEXISTS_WITH	["38697430_fullText_2"]	PAH gene	C1418251
Basis	C1874451	COEXISTS_WITH	["11723274_fullText_1"]	CACNA1A gene	C1456413
Basis	C1874451	COEXISTS_WITH	["9425239_fullText_1","11064921_fullText_3"]	SLC14A2 gene	C1420099
Basis	C1874451	COEXISTS_WITH	["10711986_fullText_3"]	DMPK gene	C1414085
Basis	C1874451	COEXISTS_WITH	["34509561_fullText_6"]	CFP gene	C1418482
Basis	C1874451	COEXISTS_WITH	["15525270_fullText_7"]	LRPPRC gene	C1423677
Basis	C1874451	INHIBITS	["34227872_fullText_13"]	CNR1 gene	C1413554
Basis	C1874451	STIMULATES	["34151302_fullText_2"]	CNR2 gene	C1413555
Dopamine Hydrochloride	C0282151	PART_OF	["33933677_fullText_4"]	UCP1 gene	C1421313
Dopamine Hydrochloride	C0282151	PART_OF	["33933677_fullText_4"]	PPARA gene	C1418776
Dopamine Hydrochloride	C0282151	COEXISTS_WITH	["18270582_fullText_50"]	PPP1R12A gene	C1417581
Dopamine Hydrochloride	C0282151	COEXISTS_WITH	["34662693_fullText_8"]	NLRP1 wt Allele	C3538756
Dopamine Hydrochloride	C0282151	INHIBITS	["34261701_fullText_9"]	CFP gene	C1418482
Dopamine	C0013030	PART_OF	["15024549_fullText_8"]	CFP gene	C1418482
Dopamine	C0013030	PART_OF	["37221325_fullText_2","37221325_fullText_8","36914092_fullText_5"]	NLRP1 wt Allele	C3538756
Dopamine	C0013030	COEXISTS_WITH	["26653793_fullText_7"]	Wild Type	C1883559
Dopamine	C0013030	COEXISTS_WITH	["26653793_fullText_1"]	TPH1 gene	C1420870
Dopamine	C0013030	COEXISTS_WITH	["35653343_fullText_56"]	NGLY1 gene	C1425023
Dopamine	C0013030	COEXISTS_WITH	["33848365_fullText_1","36641044_fullText_2","36914092_fullText_9","36232945_fullText_4","35581520_fullText_7"]	NLRP1 wt Allele	C3538756
Dopamine	C0013030	COEXISTS_WITH	["36469958_fullText_7"]	SMAD5-AS1 gene	C2239937
Dopamine	C0013030	COEXISTS_WITH	["34838844_fullText_10"]	OPN4 gene	C1422657
Dopamine	C0013030	COEXISTS_WITH	["35259355_fullText_8"]	SLC6A3 wt Allele	C3813713
Dopamine	C0013030	COEXISTS_WITH	["34197000_fullText_7"]	GRIA1 gene	C1415287
Dopamine	C0013030	INHIBITS	["35077763_fullText_5"]	GRIN2A gene	C1415299
Dopamine	C0013030	INHIBITS	["35077763_fullText_5"]	GRIN2B gene	C1415300
Dopamine	C0013030	INHIBITS	["34732695_fullText_2"]	SLC6A4 gene	C1420214
Dopamine	C0013030	INHIBITS	["35055090_fullText_4"]	CRH gene	C1366488
Dopamine	C0013030	STIMULATES	["36183870_fullText_4"]	NLRP1 wt Allele	C3538756
Catecholamines	C0007412	INHIBITS	["16154435_fullText_8"]	ADIPOQ gene	C1540187
Levodopa	C0023570	PART_OF	["36057433_fullText_7"]	LRP2 wt Allele	C3811119
Calcium	C0006675	PART_OF	["36221102_fullText_38"]	CARHSP1 gene	C1424780
Calcium	C0006675	PART_OF	["34355529_fullText_10"]	SERPINA1 gene	C1418544
Calcium	C0006675	COEXISTS_WITH	["27763639_fullText_165"]	TSPO gene	C1823521
Calcium	C0006675	COEXISTS_WITH	["34758316_fullText_4"]	CFP gene	C1418482
Calcium	C0006675	INHIBITS	["36260938_fullText_4"]	CNR1 gene	C1413554
Calcium	C0006675	STIMULATES	["37380765_fullText_6"]	NTSR1 gene	C1417870
Calcium	C0006675	STIMULATES	["37733758_fullText_3"]	PRKAA2 gene	C1418898
Calcium	C0006675	STIMULATES	["35514261_fullText_2"]	ARHGEF1 wt Allele	C1706671
Calcium	C0006675	STIMULATES	["36792758_fullText_9"]	PRRT2 wt Allele	C3539645
Zinostatin	C0027597	INHIBITS	["37392035_fullText_3"]	TCEB1 gene	C1420627
Glutamine	C0017797	PART_OF	["35157847_fullText_19"]	SIRT5 gene	C1423065
Glutamine	C0017797	PART_OF	["25633985_fullText_114"]	ATXN3 gene	C1538301
Glutamine	C0017797	COEXISTS_WITH	["39320846_fullText_89"]	Open Reading Frames	C0079941
Glutamine	C0017797	INHIBITS	["11024031_fullText_4"]	Wild Type	C1883559
Tryptophan	C0041249	INHIBITS	["25333616_fullText_0"]	GCDH gene	C1415009
Trehalose	C0040815	PART_OF	["38964453_fullText_12"]	ATXN3 gene	C1538301
Trehalose	C0040815	PART_OF	["34481906_fullText_6"]	DSC3 gene	C1414158
