Drug	Drug_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
Basis	C1874451	AFFECTS	["27484195_fullText_55"]	Cardiac dysfunction	C3277906
Dopamine Hydrochloride	C0282151	AFFECTS	["34556558_fullText_1"]	Excitability	C0235169
Dopamine Hydrochloride	C0282151	PREDISPOSES	["35932698_fullText_3"]	Imbalance	C1397014
Dopamine Hydrochloride	C0282151	INHIBITS	["34274430_fullText_20"]	2+	C3833492
Dopamine	C0013030	CAUSES	["30853107_fullText_2"]	Neurologic Symptoms	C0235031
Dopamine	C0013030	CAUSES	["35300994_fullText_6"]	Hyperalgesia	C0020429
Dopamine	C0013030	AFFECTS	["37946079_fullText_3"]	Chemosensitivity	C2347610
Dopamine	C0013030	AFFECTS	["34519561_fullText_3"]	acute stress	C0848237
Dopamine	C0013030	AFFECTS	["35041839_fullText_3"]	Procedural memory	C0561782
Dopamine	C0013030	AFFECTS	["35748393_fullText_2"]	Memory observations	C0700327
Dopamine	C0013030	AFFECTS	["33942926_fullText_2"]	> 2 years	C3843647
Dopamine	C0013030	AFFECTS	["37289360_fullText_11"]	Co-morbid conditions	C1275743
Dopamine	C0013030	AFFECTS	["34724850_fullText_2"]	Finding relating to sexuality and sexual activity	C3495422
Dopamine	C0013030	ASSOCIATED_WITH	["35806448_fullText_4"]	Psychiatric symptom	C0233401
Dopamine	C0013030	ASSOCIATED_WITH	["34556558_fullText_9","35544785_fullText_1"]	Excitability	C0235169
Dopamine	C0013030	INHIBITS	["36884013_fullText_1"]	patience	C0516943
Dopamine Agonists	C0178601	CAUSES	["34704845_fullText_1"]	Falls	C0085639
Dopamine Agonists	C0178601	AFFECTS	["33851429_fullText_12"]	Pregnancy Outcome	C0032972
Dopamine Agonists	C0178601	PREVENTS	["36211804_fullText_6"]	Tremor	C0040822
Dopamine Agonists	C0178601	PREVENTS	["33759401_fullText_3"]	Daytime somnolence	C2219848
Catecholamines	C0007412	CAUSES	["30853107_fullText_2"]	Neurologic Symptoms	C0235031
Catecholamines	C0007412	CAUSES__SPEC__	["35347385_fullText_2"]	Headache	C0018681
Catecholamines	C0007412	CAUSES__SPEC__	["35347385_fullText_2"]	Sweating	C0038990
Catecholamines	C0007412	CAUSES__SPEC__	["35347385_fullText_2"]	Palpitations	C0030252
Catecholamines	C0007412	CAUSES__SPEC__	["35347385_fullText_2"]	Paroxysmal hypertension	C0221154
Catecholamines	C0007412	AUGMENTS	["35959878_fullText_2"]	Androgen Receptor Positive	C2986463
Levodopa	C0023570	CAUSES	["9545000_fullText_13"]	Prolactin level normal	C0580441
Levodopa	C0023570	CAUSES	["16161143_fullText_6"]	Dystonia, Limb	C0751093
Levodopa	C0023570	CAUSES	["2391519_fullText_3"]	Falls	C0085639
Levodopa	C0023570	CAUSES	["16161143_fullText_6"]	Hypotonia, severe	C1839630
Dopaminergic Agents	C0013036	AUGMENTS	["33754884_fullText_5"]	Step length	C0427126
Calcium	C0006675	AFFECTS	["21685920_fullText_5"]	Cardiac dysfunction	C3277906
Zinostatin	C0027597	INHIBITS	["39516744_fullText_22"]	6/4	C0442748
Choline	C0008405	ASSOCIATED_WITH	["35987307_fullText_6"]	Depressive Symptoms	C0086132
Taurine	C0039350	AFFECTS	["448391_fullText_4"]	Excitability	C0235169
Taurine	C0039350	ASSOCIATED_WITH	["7131034_fullText_5"]	Excitability	C0235169
Tryptophan	C0041249	CAUSES	["35840874_fullText_2"]	Headache	C0018681
Loperamide	C0023992	CAUSES	["33750988_fullText_4"]	Colonic constipation	C1321663
MG 132	C0246694	DISRUPTS	["39088078_fullText_137"]	Accumulation	C4055506
