Gene	Gene_id	RELATION	PROVENANCE	Disease	Disease_id
ZIC1 gene	C1421581	ASSOCIATED_WITH		Craniosynostosis	C0010278
ZIC1 gene	C1421581	ASSOCIATED_WITH		Dandy-Walker Syndrome	C0010964
ATXN3 gene	C1538301	CAUSES	["36729871_fullText_36"]	DYSFUNCTION - SKIN DISORDERS	C3887505
ATXN3 gene	C1538301	CAUSES	["15537899_fullText_1"]	Hereditary Neurodegenerative Disorder	C3273225
ATXN3 gene	C1538301	CAUSES	["18502140_fullText_9"]	Cerebellar Diseases	C0007760
ATXN3 gene	C1538301	CAUSES	["17362987_fullText_2"]	Machado-Joseph Disease Type III	C0751670
ATXN3 gene	C1538301	CAUSES	["32867861_fullText_2"]	Hereditary Diseases	C0019247
ATXN3 gene	C1538301	CAUSES	["37865002_fullText_1","23382880_fullText_2","22451301_fullText_1","21047555_fullText_1","17632007_fullText_1","15504352_fullText_10"]	Neurodegenerative Disorders	C0524851
ATXN3 gene	C1538301	CAUSES	["35034258_fullText_2","35406787_fullText_4","34273111_fullText_2","33065068_fullText_3","31960910_fullText_1","31378764_fullText_2","24548080_fullText_2","23820820_fullText_7","22843411_fullText_2","22451301_fullText_1","21780213_fullText_2","20940148_fullText_8","19783548_fullText_2","19660550_fullText_6","17632007_fullText_1","32357546_fullText_97","31625269_fullText_0"]	Machado-Joseph Disease	C0024408
ATXN3 gene	C1538301	AFFECTS	["15140190_fullText_7","10732811_fullText_11"]	Machado-Joseph Disease	C0024408
ATXN3 gene	C1538301	AFFECTS	["30036587_fullText_1"]	Neurodegenerative Disorders	C0524851
ATXN3 gene	C1538301	PREDISPOSES	["25689313_fullText_4","14575237_fullText_8"]	Machado-Joseph Disease	C0024408
ATXN3 gene	C1538301	CAUSES__SPEC__	["23382880_fullText_2","21047555_fullText_1"]	Machado-Joseph Disease	C0024408
ATXN3 gene	C1538301	ASSOCIATED_WITH		PARKINSON DISEASE, LATE-ONSET	C3160718
ATXN3 gene	C1538301	ASSOCIATED_WITH	["38233440_fullText_92"]	nervous system disorder	C0027765
ATXN3 gene	C1538301	ASSOCIATED_WITH	["33477953_fullText_97"]	Irritable Bowel Syndrome	C0022104
ATXN3 gene	C1538301	ASSOCIATED_WITH	["34785590_fullText_7","33106888_fullText_2","32285347_fullText_3","29661116_fullText_2","28334907_fullText_1","21536589_fullText_1","20865150_fullText_1","20308049_fullText_2","19542537_fullText_4","18841197_fullText_5","10915768_fullText_9","10556285_fullText_4","9506544_fullText_4","8640226_fullText_1"]	Machado-Joseph Disease	C0024408
ATXN3 gene	C1538301	ASSOCIATED_WITH	["32285347_fullText_3"]	Spinocerebellar Ataxia Type 6 (disorder)	C0752124
ATXN3 gene	C1538301	ASSOCIATED_WITH	["29802126_fullText_2","20943656_fullText_2","39014518_fullText_1","38443995_fullText_12"]	Neurodegenerative Disorders	C0524851
ATXN3 gene	C1538301	ASSOCIATED_WITH	["31127937_fullText_1"]	Heredodegenerative Disorders, Nervous System	C0751870
ATXN3 gene	C1538301	ASSOCIATED_WITH	["32285347_fullText_3"]	Spinocerebellar Ataxia Type 1	C0752120
ATXN3 gene	C1538301	AUGMENTS	["29802126_fullText_8"]	Virus Diseases	C0042769
ATXN3 gene	C1538301	DISRUPTS	["24817574_fullText_7"]	Cerebellar degeneration	C0262404
ATXN3 gene	C1538301	DISRUPTS	["20308049_fullText_4"]	Machado-Joseph Disease	C0024408
ATXN3 gene	C1538301	ASSOCIATED_WITH__INFER__	["38376240_fullText_13"]	Hereditary Diseases	C0019247
ATXN3 gene	C1538301	ASSOCIATED_WITH__INFER__	["38227368_fullText_32","38227368_fullText_33"]	DYSFUNCTION - SKIN DISORDERS	C3887505
ATXN3 gene	C1538301	ASSOCIATED_WITH__INFER__	["39293559_fullText_1"]	Huntington Disease	C0020179
ATXN3 gene	C1538301	ASSOCIATED_WITH__INFER__	["34432315_fullText_4","39293559_fullText_1"]	Machado-Joseph Disease	C0024408
ATXN3 gene	C1538301	ASSOCIATED_WITH__SPEC__	["31127937_fullText_1"]	Machado-Joseph Disease	C0024408
ATXN3 gene	C1538301	COMPLICATES	["32357546_fullText_133"]	Acute Cerebrovascular Accidents	C0751956
ATXN3 gene	C1538301	COMPLICATES	["32357546_fullText_133"]	Ischemic stroke	C0948008
PCSK5 gene	C1418391	ASSOCIATED_WITH		VATER Association	C0220708
PCSK5 gene	C1418391	ASSOCIATED_WITH		Currarino triad	C1531773
CEL gene	C1413336	ASSOCIATED_WITH		Lipomatosis	C0023801
CEL gene	C1413336	ASSOCIATED_WITH		Thyroiditis	C0040147
CEL gene	C1413336	ASSOCIATED_WITH		Gastritis	C0017152
CEL gene	C1413336	ASSOCIATED_WITH		Glomerulonephritis	C0017658
CEL gene	C1413336	ASSOCIATED_WITH		Chronic Kidney Diseases	C1561643
CEL gene	C1413336	ASSOCIATED_WITH		Pancreatitis, Chronic	C0149521
CEL gene	C1413336	ASSOCIATED_WITH		Diabetes Mellitus	C0011849
CEL gene	C1413336	ASSOCIATED_WITH		Diabetes Mellitus, Non-Insulin-Dependent	C0011860
CEL gene	C1413336	ASSOCIATED_WITH		Diabetes Mellitus, Insulin-Dependent	C0011854
NEFL gene	C1417668	PREDISPOSES	["33636389_fullText_1"]	Cerebral atrophy	C0235946
NEFL gene	C1417668	PREDISPOSES	["33047897_abstract_1","33047897_abstract_6"]	spinal cord degeneration	C0748901
NEFL gene	C1417668	ASSOCIATED_WITH		Auditory neuropathy	C1852271
NEFL gene	C1417668	ASSOCIATED_WITH		Dejerine-Sottas Disease (disorder)	C0011195
NEFL gene	C1417668	ASSOCIATED_WITH		Roussy-Levy Syndrome (disorder)	C0205713
NEFL gene	C1417668	ASSOCIATED_WITH		Hereditary Motor and Sensory Neuropathies	C0027888
NEFL gene	C1417668	ASSOCIATED_WITH		Peripheral Neuropathy	C0031117
NEFL gene	C1417668	ASSOCIATED_WITH		Amyotrophic Lateral Sclerosis	C0002736
NEFL gene	C1417668	ASSOCIATED_WITH		Charcot-Marie-Tooth Disease	C0007959
NEFL gene	C1417668	ASSOCIATED_WITH	["33636389_fullText_2","33636389_fullText_6","33636389_fullText_7"]	Cardiac Arrest	C0018790
NEFL gene	C1417668	ASSOCIATED_WITH	["35478426_fullText_1","32510847_fullText_2"]	Machado-Joseph Disease	C0024408
NEFL gene	C1417668	ASSOCIATED_WITH	["33047897_abstract_6"]	Adrenoleukodystrophy	C0162309
NEFL gene	C1417668	AUGMENTS	["32510847_fullText_6"]	Machado-Joseph Disease	C0024408
ITPR2 gene	C1416518	ASSOCIATED_WITH		Amyotrophic Lateral Sclerosis	C0002736
ITPR2 gene	C1416518	AFFECTS	["37445783_fullText_9"]	Machado-Joseph Disease	C0024408
BCL2 gene	C0376515	ASSOCIATED_WITH		Azoospermia	C0004509
BCL2 gene	C0376515	ASSOCIATED_WITH		Fetal Alcohol Spectrum Disorders	C2985290
BCL2 gene	C0376515	ASSOCIATED_WITH		Fetal Alcohol Syndrome	C0015923
BCL2 gene	C0376515	ASSOCIATED_WITH		Hypertensive disease	C0020538
BCL2 gene	C0376515	ASSOCIATED_WITH		Asthma	C0004096
BCL2 gene	C0376515	ASSOCIATED_WITH		Retinal Degeneration	C0035304
BCL2 gene	C0376515	ASSOCIATED_WITH		Myocardial Infarction	C0027051
BCL2 gene	C0376515	ASSOCIATED_WITH		Erectile dysfunction	C0242350
BCL2 gene	C0376515	ASSOCIATED_WITH		Polycystic Ovary Syndrome	C0032460
BCL2 gene	C0376515	ASSOCIATED_WITH		Alzheimer's Disease	C0002395
BCL2 gene	C0376515	ASSOCIATED_WITH		Diabetes Mellitus, Non-Insulin-Dependent	C0011860
BAX gene	C0812198	ASSOCIATED_WITH		HIV Infections	C0019693
BAX gene	C0812198	ASSOCIATED_WITH		Ataxia Telangiectasia	C0004135
BAX gene	C0812198	ASSOCIATED_WITH		Diabetes Mellitus, Non-Insulin-Dependent	C0011860
BAX gene	C0812198	ASSOCIATED_WITH		Myocardial Infarction	C0027051
BAX gene	C0812198	ASSOCIATED_WITH		Kidney Failure, Acute	C0022660
BAX gene	C0812198	ASSOCIATED_WITH		Polycystic Ovary Syndrome	C0032460
BAX gene	C0812198	ASSOCIATED_WITH		Alzheimer's Disease	C0002395
DCN gene	C1413930	ASSOCIATED_WITH		Myocardial Ischemia	C0151744
Wild Type	C1883559	ASSOCIATED_WITH	["15936235_fullText_6","14649732_fullText_5"]	Phenylketonurias	C0031485
C7orf49 gene	C1824234	ASSOCIATED_WITH	["16447793_fullText_1"]	Hyperphenylalaninaemia	C0751435
C7orf49 gene	C1824234	ASSOCIATED_WITH	["17245558_fullText_8","16447793_fullText_1"]	Phenylketonurias	C0031485
C7orf49 gene	C1824234	ASSOCIATED_WITH	["32367276_fullText_2","25370748_fullText_2","19934555_fullText_1"]	Machado-Joseph Disease	C0024408
C7orf49 gene	C1824234	ASSOCIATED_WITH	["32367276_fullText_2"]	Spinocerebellar Ataxia 10	C1963674
Retinoic Acid Response Element	C1514917	CAUSES	["21792031_fullText_5"]	Phenylketonurias	C0031485
Retinoic Acid Response Element	C1514917	ASSOCIATED_WITH	["24433453_fullText_77"]	Glaucoma	C0017601
Retinoic Acid Response Element	C1514917	ASSOCIATED_WITH	["24433453_fullText_77","32147747_fullText_103"]	Syndrome	C0039082
Retinoic Acid Response Element	C1514917	ASSOCIATED_WITH	["17895983_fullText_12"]	Mitochondrial Encephalomyopathies	C0162666
Retinoic Acid Response Element	C1514917	ASSOCIATED_WITH	["31996241_fullText_169"]	Mendelian disorders	C1285355
Retinoic Acid Response Element	C1514917	ASSOCIATED_WITH	["11384587_fullText_8"]	Disorder of macula of retina	C0730362
Retinoic Acid Response Element	C1514917	ASSOCIATED_WITH	["11384587_fullText_8"]	External Ophthalmoplegia	C0162292
ABCA1 gene	C1412058	ASSOCIATED_WITH		Hyperlipoproteinemia Type IIa	C0745103
ABCA1 gene	C1412058	ASSOCIATED_WITH		Peripheral Neuropathy	C0031117
ABCA1 gene	C1412058	ASSOCIATED_WITH		Hypercholesterolemia, Familial	C0020445
ABCA1 gene	C1412058	ASSOCIATED_WITH		Myocardial Ischemia	C0151744
ABCA1 gene	C1412058	ASSOCIATED_WITH		Coronary heart disease	C0010068
ABCA1 gene	C1412058	ASSOCIATED_WITH		Hypercholesterolemia	C0020443
ABCA1 gene	C1412058	ASSOCIATED_WITH		Obesity	C0028754
ABCA1 gene	C1412058	ASSOCIATED_WITH		Coronary Arteriosclerosis	C0010054
ABCA1 gene	C1412058	ASSOCIATED_WITH		Alzheimer's Disease	C0002395
ABCA1 gene	C1412058	ASSOCIATED_WITH		Diabetes Mellitus, Non-Insulin-Dependent	C0011860
ABCA1 gene	C1412058	ASSOCIATED_WITH		Atherosclerosis	C0004153
ABCA1 gene	C1412058	ASSOCIATED_WITH		Tangier Disease	C0039292
ABCA1 gene	C1412058	ASSOCIATED_WITH		Hypoalphalipoproteinemia, Familial	C1704429
CCDC88C gene	C1426569	ASSOCIATED_WITH		Ataxia, Spinocerebellar	C0087012
CCDC88C gene	C1426569	ASSOCIATED_WITH		Hydrocephalus	C0020255
SH2B1 gene	C1822703	ASSOCIATED_WITH		Obesity	C0028754
LTBP4 gene	C1416930	ASSOCIATED_WITH		Muscular Dystrophy, Duchenne	C0013264
LTBP4 gene	C1416930	ASSOCIATED_WITH		Cutis Laxa	C0010495
LTBP4 gene	C1416930	ASSOCIATED_WITH		Cutis Laxa With Severe Pulmonary, Gastrointestinal, And Urinary Abnormalities	C2750804
MEG3 gene	C1422767	PREDISPOSES	["37071051_fullText_8"]	Machado-Joseph Disease	C0024408
PVRL1 gene	C1419142	ASSOCIATED_WITH		Herpes simplex infection	C0019348
PVRL1 gene	C1419142	ASSOCIATED_WITH		Cleft Palate	C0008925
PVRL1 gene	C1419142	ASSOCIATED_WITH		Ectodermal Dysplasia	C0013575
PVRL1 gene	C1419142	PREDISPOSES	["37067186_fullText_3"]	Disorder of ejaculation	C0235969
SAR1A gene	C1419815	ASSOCIATED_WITH	["37428409_fullText_9"]	Cardiac Arrest	C0018790
SAR1A gene	C1419815	ASSOCIATED_WITH	["28401494_fullText_8"]	Spinocerebellar Ataxia 10	C1963674
SAR1A gene	C1419815	ASSOCIATED_WITH	["21832228_fullText_3"]	Spinocerebellar Ataxia Type 1	C0752120
SAR1A gene	C1419815	ASSOCIATED_WITH	["25370748_fullText_7"]	Machado-Joseph Disease	C0024408
SAR1A gene	C1419815	ASSOCIATED_WITH	["23413156_fullText_4"]	Parkinson Disease	C0030567
SAR1A gene	C1419815	AUGMENTS	["21832228_fullText_2"]	Spinocerebellar Ataxia Type 6 (disorder)	C0752124
SAR1A gene	C1419815	ASSOCIATED_WITH__INFER__	["38923784_fullText_67"]	Machado-Joseph Disease	C0024408
HDAC3 gene	C1366355	ASSOCIATED_WITH		Heart Diseases	C0018799
IMPACT gene	C1825598	AFFECTS	["37740225_fullText_10","31782540_fullText_1","26084935_fullText_8","26084935_fullText_10"]	Phenylketonurias	C0031485
IMPACT gene	C1825598	AFFECTS	["36231095_fullText_2"]	Neurodegenerative Disorders	C0524851
IMPACT gene	C1825598	ASSOCIATED_WITH	["34842989_fullText_4","34497359_fullText_4","24373161_fullText_2","23357515_fullText_3","20123472_fullText_8","16435174_fullText_3"]	Phenylketonurias	C0031485
IMPACT gene	C1825598	ASSOCIATED_WITH	["22131273_fullText_185"]	Dystrophia myotonica 1	C2931688
IMPACT gene	C1825598	ASSOCIATED_WITH	["35211808_fullText_16"]	Congenital Disorders	C0242354
IMPACT gene	C1825598	ASSOCIATED_WITH	["37770252_fullText_23"]	Mitochondrial Diseases	C0751651
IMPACT gene	C1825598	ASSOCIATED_WITH	["34849584_fullText_225"]	Optic Atrophy, Hereditary, Leber	C0917796
IMPACT gene	C1825598	ASSOCIATED_WITH	["36093993_fullText_124"]	Rare Diseases	C0678236
IMPACT gene	C1825598	ASSOCIATED_WITH	["25156766_fullText_5"]	Restrictive lung disease	C0085581
IMPACT gene	C1825598	ASSOCIATED_WITH	["33907393_fullText_2","37348121_fullText_1"]	Chronic Obstructive Airway Disease	C0024117
IMPACT gene	C1825598	ASSOCIATED_WITH	["37482222_fullText_15"]	Cirrhosis	C1623038
IMPACT gene	C1825598	ASSOCIATED_WITH	["35445777_fullText_1"]	Gastroesophageal reflux disease	C0017168
IMPACT gene	C1825598	ASSOCIATED_WITH	["34967659_fullText_1"]	Restless Legs Syndrome	C0035258
IMPACT gene	C1825598	ASSOCIATED_WITH	["32955441_fullText_9","26757259_fullText_6","18506570_fullText_1"]	Machado-Joseph Disease	C0024408
IMPACT gene	C1825598	ASSOCIATED_WITH	["34933094_fullText_5","27390132_fullText_233"]	Leigh Disease	C0023264
IMPACT gene	C1825598	DISRUPTS	["28456629_fullText_34"]	Lipofuscinosis	C0268279
IMPACT gene	C1825598	ASSOCIATED_WITH__INFER__	["28484315_fullText_10"]	Neuromuscular Diseases	C0027868
IMPACT gene	C1825598	ASSOCIATED_WITH__INFER__	["36523650_fullText_1"]	Primary biliary cirrhosis	C0008312
IMPACT gene	C1825598	ASSOCIATED_WITH__INFER__	["37452262_fullText_1"]	Syndrome	C0039082
ATXN1 gene	C1538298	ASSOCIATED_WITH		Neurodegenerative Disorders	C0524851
