Gene	Gene_id	RELATION	PROVENANCE	Drug	Drug_id
Alleles	C0002085	COEXISTS_WITH	["36128717_fullText_53"]	Lysine	C0024337
GCDH gene	C1415009	INHIBITS	["35157847_fullText_80"]	Lysine	C0024337
SIRT5 gene	C1423065	INHIBITS	["35157847_fullText_71"]	Lysine	C0024337
SIRT5 gene	C1423065	INTERACTS_WITH	["35157847_fullText_4","35157847_fullText_49","35157847_fullText_81","35157847_fullText_82"]	Lysine	C0024337
GCDH gene	C1415009	INTERACTS_WITH	["35157847_fullText_5","27984186_fullText_1","23658800_fullText_15","35157847_fullText_74","35157847_fullText_77","34344405_fullText_1","24498361_fullText_71","33256818_fullText_2","24468193_fullText_9","24468193_fullText_117","23326493_fullText_0","21698251_fullText_2","21431622_fullText_1"]	Lysine	C0024337
GCDH gene	C1415009	STIMULATES	["24594605_fullText_9","31062211_fullText_7"]	Lysine	C0024337
GIT2 wt Allele	C1708123	STIMULATES	["32872442_fullText_140"]	Lysine	C0024337
GCDH gene	C1415009	compared_with	["23218171_fullText_5"]	Lysine	C0024337
PMM2 gene	C1418674	COEXISTS_WITH	["22956764_fullText_113"]	Basis	C1874451
PROSC gene	C1418949	STIMULATES	["30668673_fullText_1"]	Basis	C1874451
DDOST gene	C1413949	CONVERTS_TO	["37848450_fullText_58"]	Basis	C1874451
SLC6A3 wt Allele	C3813713	COEXISTS_WITH	["10855623_fullText_1"]	Dopamine Hydrochloride	C0282151
IMPACT gene	C1825598	INHIBITS	["34582961_fullText_2"]	Dopamine Hydrochloride	C0282151
ATXN2L gene	C1538300	STIMULATES	["35609673_fullText_7"]	Dopamine Hydrochloride	C0282151
IMPACT gene	C1825598	STIMULATES	["35487304_fullText_2"]	Dopamine Hydrochloride	C0282151
TPH1 gene	C1420870	COEXISTS_WITH	["24487571_fullText_2"]	Dopamine	C0013030
TMEM173 gene	C1823437	COEXISTS_WITH	["35320357_fullText_3"]	Dopamine	C0013030
DDC gene	C1413943	CONVERTS_TO	["33734312_fullText_8"]	Dopamine	C0013030
DRD2 gene	C1333253	STIMULATES	["33850083_fullText_4"]	Levodopa	C0023570
CPB2 gene	C1413666	INTERACTS_WITH__INFER__	["34229013_fullText_5"]	Levodopa	C0023570
SLC18A3 gene	C1420116	COEXISTS_WITH	["35264016_fullText_7"]	Calcium	C0006675
SCGB2B3P gene	C3469680	INTERACTS_WITH	["35701163_fullText_1","35701163_fullText_10"]	Calcium	C0006675
MYEF2 gene	C1425192	STIMULATES	["27763639_fullText_97"]	Calcium	C0006675
DMPK gene	C1414085	STIMULATES	["27854224_fullText_260"]	Calcium	C0006675
PMM2 gene	C1418674	STIMULATES	["35955863_fullText_84"]	Calcium	C0006675
Retinoic Acid Response Element	C1514917	COEXISTS_WITH	["21541726_fullText_30"]	Perform	C2947996
SLC5A7 gene	C1422359	STIMULATES	["33250374_fullText_1"]	Choline	C0008405
GCDH gene	C1415009	INTERACTS_WITH	["27984186_fullText_1","35157847_fullText_71","34344405_fullText_1","24498361_fullText_71","33256818_fullText_2","24468193_fullText_9","23326493_fullText_0","21431622_fullText_1"]	Tryptophan	C0041249
GCDH gene	C1415009	STIMULATES	["31062211_fullText_7"]	Tryptophan	C0041249
Transgenes	C0282641	COEXISTS_WITH	["39000316_fullText_17"]	viral vector	C1520007
GCLC wt Allele	C1704697	COEXISTS_WITH	["23247112_fullText_8"]	Fiber	C0225326
INA gene	C1416431	COEXISTS_WITH	["33510259_fullText_5"]	Duration	C2926735
KCNC3 gene	C1416558	INHIBITS	["35510987_fullText_3"]	Duration	C2926735
MBNL1 gene	C1417055	compared_with	["24293317_fullText_12"]	Duration	C2926735
LY6E gene	C1334353	compared_with	["21880333_fullText_1","18028243_fullText_4"]	Duration	C2926735
ATXN3 gene	C1538301	STIMULATES	["32357546_fullText_200"]	Antioxidants	C0003402
CEL gene	C1413336	STIMULATES	["34897546_fullText_4"]	Antioxidants	C0003402
ETFA gene	C1414471	COEXISTS_WITH	["16598811_fullText_5"]	Program	C2728259
HRC gene	C1415718	COEXISTS_WITH	["23180777_fullText_107"]	Program	C2728259
PPARGC1A gene	C1418779	INHIBITS	["36123394_fullText_7"]	Program	C2728259
MBNL1 gene	C1417055	STIMULATES	["25630614_fullText_69"]	Program	C2728259
CELF1 gene	C1413824	STIMULATES	["25630614_fullText_69"]	Program	C2728259
NGLY1 gene	C1425023	STIMULATES	["30135079_fullText_53"]	Program	C2728259
MYOD1 gene	C1417574	STIMULATES	["12427866_fullText_9"]	Program	C2728259
ATXN3 gene	C1538301	INTERACTS_WITH__INFER__	["38909987_fullText_11"]	Program	C2728259
BIN1 gene	C1332412	INHIBITS	["28698297_fullText_33"]	Mediator brand of benfluorex hydrochloride	C0127400
MTCH2 gene	C1425005	INHIBITS	["27390132_fullText_23"]	Mediator brand of benfluorex hydrochloride	C0127400
MTCH1 gene	C1425004	INHIBITS	["27390132_fullText_23"]	Mediator brand of benfluorex hydrochloride	C0127400
SLC13A3 gene	C1422640	INHIBITS	["17356845_fullText_6"]	Mediator brand of benfluorex hydrochloride	C0127400
SLC29A1 gene	C1420171	INHIBITS	["35042768_fullText_8"]	Mediator brand of benfluorex hydrochloride	C0127400
CNR1 gene	C1413554	INTERACTS_WITH	["36858108_fullText_2","36858108_fullText_6"]	Mediator brand of benfluorex hydrochloride	C0127400
MYOG gene	C1417575	STIMULATES	["12427866_fullText_22"]	Mediator brand of benfluorex hydrochloride	C0127400
PRRT2 wt Allele	C3539645	STIMULATES	["25633985_fullText_71"]	Mediator brand of benfluorex hydrochloride	C0127400
TP53 gene	C0079419	STIMULATES	["25633985_fullText_71"]	Mediator brand of benfluorex hydrochloride	C0127400
UBQLN2 gene	C1421305	STIMULATES	["32681165_fullText_8"]	Mediator brand of benfluorex hydrochloride	C0127400
MBNL2 gene	C1424516	INHIBITS	["21303839_fullText_23"]	Level	C2946261
MBNL1 gene	C1417055	INHIBITS	["35483041_fullText_5"]	Level	C2946261
USP19 gene	C1421396	STIMULATES	["35449354_fullText_9"]	Level	C2946261
NGLY1 gene	C1425023	STIMULATES	["35653343_fullText_16"]	Level	C2946261
P2RY12 gene	C1425330	STIMULATES	["37589138_fullText_4"]	Level	C2946261
SLC1A2 gene	C1420120	STIMULATES	["33723767_fullText_6"]	Level	C2946261
NPPA gene	C1417807	STIMULATES	["36997170_fullText_8"]	Level	C2946261
ULK1 gene	C1421350	COEXISTS_WITH	["38443995_fullText_8"]	animal allergen extracts	C3540698
DPF2 gene	C1419344	COEXISTS_WITH	["10662702_fullText_3"]	animal allergen extracts	C3540698
MBNL1 gene	C1417055	COEXISTS_WITH	["26501102_fullText_29","26501102_fullText_139"]	animal allergen extracts	C3540698
MBNL3 gene	C1427004	COEXISTS_WITH	["26501102_fullText_29","26501102_fullText_139"]	animal allergen extracts	C3540698
NES gene	C1417679	COEXISTS_WITH	["21698251_fullText_18"]	animal allergen extracts	C3540698
IMPACT gene	C1825598	COEXISTS_WITH	["37770252_fullText_115"]	animal allergen extracts	C3540698
PPARGC1A gene	C1418779	COEXISTS_WITH	["28367954_fullText_58"]	animal allergen extracts	C3540698
NDUFS4 gene	C1417647	COEXISTS_WITH	["37770252_fullText_87","34849584_fullText_200"]	animal allergen extracts	C3540698
ATXN3 gene	C1538301	COEXISTS_WITH	["20945165_fullText_66"]	animal allergen extracts	C3540698
CLCN1 gene	C1413450	COEXISTS_WITH	["30628727_fullText_13","26501102_fullText_148"]	animal allergen extracts	C3540698
GCDH gene	C1415009	COEXISTS_WITH	["23201428_fullText_2","22445450_fullText_3"]	animal allergen extracts	C3540698
ELANE gene	C1414369	COEXISTS_WITH	["34204780_fullText_6"]	animal allergen extracts	C3540698
SIRT1 gene	C1423062	COEXISTS_WITH	["35710260_fullText_7"]	animal allergen extracts	C3540698
DST gene	C1539312	COEXISTS_WITH	["36758510_fullText_1"]	animal allergen extracts	C3540698
HCRT gene	C1415500	COEXISTS_WITH	["36148653_fullText_5"]	animal allergen extracts	C3540698
FOXM1 wt Allele	C3538717	COEXISTS_WITH	["34990705_fullText_5"]	animal allergen extracts	C3540698
GCDH gene	C1415009	INHIBITS	["24594605_fullText_77"]	animal allergen extracts	C3540698
CNR1 gene	C1413554	INHIBITS	["37348821_fullText_6"]	animal allergen extracts	C3540698
NGLY1 gene	C1425023	STIMULATES	["35406718_fullText_116"]	animal allergen extracts	C3540698
NLRP1 wt Allele	C3538756	STIMULATES	["34419513_fullText_4"]	animal allergen extracts	C3540698
NDUFS4 gene	C1417647	compared_with	["38732047_fullText_72"]	animal allergen extracts	C3540698
MBNL3 gene	C1427004	compared_with	["26501102_fullText_138","27484195_fullText_18"]	animal allergen extracts	C3540698
GCDH gene	C1415009	compared_with	["29779173_fullText_5","22999741_fullText_3","24594605_fullText_77"]	animal allergen extracts	C3540698
RTN4 gene	C1366527	compared_with	["34638567_fullText_6"]	animal allergen extracts	C3540698
CAPN2 gene	C1413112	INHIBITS	["35163312_fullText_10"]	calpastatin	C0054534
IKBKG wt Allele	C2697645	COEXISTS_WITH	["33809893_fullText_6"]	8-chloro-cyclic adenosine monophosphate	C0050063
CNR1 gene	C1413554	INHIBITS	["35041297_fullText_3"]	8-chloro-cyclic adenosine monophosphate	C0050063
Alleles	C0002085	compared_with	["11343809_fullText_5"]	Cytosine	C0010843
NLRP1 wt Allele	C3538756	INTERACTS_WITH	["36802012_fullText_1","36802012_fullText_9"]	Ethanol	C0001962
TSPO gene	C1823521	STIMULATES	["23637619_fullText_69"]	Ethanol	C0001962
IMPACT gene	C1825598	COEXISTS_WITH	["34385360_fullText_5"]	Calcium ion	C0596235
IMPACT gene	C1825598	STIMULATES	["37334837_fullText_3"]	Calcium ion	C0596235
FOXM1 wt Allele	C3538717	STIMULATES	["37572634_fullText_8"]	Calcium ion	C0596235
PEX2 gene	C1419149	COEXISTS_WITH	["21826223_fullText_63"]	Lipids	C0023779
PEX10 gene	C1418470	COEXISTS_WITH	["21826223_fullText_63"]	Lipids	C0023779
FAAH gene	C1414512	COEXISTS_WITH	["28448548_fullText_9"]	Lipids	C0023779
SLC25A46 gene	C1822755	INTERACTS_WITH	["27390132_fullText_44","27390132_fullText_231"]	Lipids	C0023779
SCGB2B3P gene	C3469680	INTERACTS_WITH	["35701163_fullText_1","35701163_fullText_10"]	Lipids	C0023779
SLC25A46 gene	C1822755	STIMULATES	["27390132_fullText_8"]	Lipids	C0023779
CHAF1A wt Allele	C3812373	STIMULATES	["35011001_fullText_5"]	Malondialdehyde	C0024643
TMEM258 gene	C3540116	COEXISTS_WITH	["37848450_fullText_43"]	3,4-Methylenedioxyamphetamine	C0000379
DAD1 gene	C1413900	COEXISTS_WITH	["37848450_fullText_43"]	3,4-Methylenedioxyamphetamine	C0000379
PSMD1 gene	C1419027	COEXISTS_WITH	["37848450_fullText_43"]	3,4-Methylenedioxyamphetamine	C0000379
OST4 gene	C2829972	COEXISTS_WITH	["37848450_fullText_43"]	3,4-Methylenedioxyamphetamine	C0000379
SLC33A1 gene	C1412113	COEXISTS_WITH	["35186114_fullText_3"]	3,4-Methylenedioxyamphetamine	C0000379
PRB1 gene	C1418866	STIMULATES	["37460029_fullText_6"]	3,4-Methylenedioxyamphetamine	C0000379
SIRT1 gene	C1423062	COEXISTS_WITH	["34416891_fullText_4"]	Valproate	C0080356
SIRT1 gene	C1423062	COEXISTS_WITH	["35710260_fullText_7"]	resveratrol	C0073096
MBNL1 gene	C1417055	COEXISTS_WITH	["33157036_fullText_5"]	Small Molecule	C1328819
VCP gene	C1421437	COEXISTS_WITH	["39320846_fullText_2"]	Candida albicans extract	C0717551
COX10 gene	C1413629	COEXISTS_WITH	["39152498_fullText_4"]	Candida albicans extract	C0717551
PEX10 gene	C1418470	COEXISTS_WITH	["21826223_fullText_67"]	Candida albicans extract	C0717551
PEX3 gene	C1418477	COEXISTS_WITH	["10871277_fullText_84","34884833_fullText_21","27827795_fullText_38"]	Candida albicans extract	C0717551
PEX16 gene	C1418476	COEXISTS_WITH	["21826223_fullText_59"]	Candida albicans extract	C0717551
PEX2 gene	C1419149	COEXISTS_WITH	["21826223_fullText_67"]	Candida albicans extract	C0717551
PEX12 gene	C1418473	COEXISTS_WITH	["10562279_fullText_101","21826223_fullText_67"]	Candida albicans extract	C0717551
PMM2 gene	C1418674	COEXISTS_WITH	["31636082_fullText_16","30530630_fullText_0"]	Candida albicans extract	C0717551
Genes, Essential	C0600449	COEXISTS_WITH	["27343064_fullText_170"]	Candida albicans extract	C0717551
TMEM199 gene	C1425293	COEXISTS_WITH	["32629928_fullText_79"]	Candida albicans extract	C0717551
SRD5A3 gene	C2240046	COEXISTS_WITH	["21384228_fullText_131"]	Candida albicans extract	C0717551
PGM1 gene	C1418516	COEXISTS_WITH	["37644541_fullText_38"]	Candida albicans extract	C0717551
Alleles	C0002085	COEXISTS_WITH	["30530630_fullText_1","39152498_fullText_8","39152498_fullText_27"]	Candida albicans extract	C0717551
CCDC115 gene	C1824644	COEXISTS_WITH	["32629928_fullText_79"]	Candida albicans extract	C0717551
SURF1 gene	C1420527	COEXISTS_WITH	["25164807_fullText_92"]	Candida albicans extract	C0717551
MFN2 gene	C1424611	COEXISTS_WITH	["27390132_fullText_22"]	Candida albicans extract	C0717551
Homologous Gene	C1334043	COEXISTS_WITH	["11673586_fullText_4","27390132_fullText_4"]	Candida albicans extract	C0717551
LPAR3 wt Allele	C3812695	COEXISTS_WITH	["34085262_fullText_1"]	Candida albicans extract	C0717551
DOLK gene	C1428074	STIMULATES	["21384228_fullText_86"]	Candida albicans extract	C0717551
Alleles	C0002085	PRODUCES	["39152498_fullText_10"]	Candida albicans extract	C0717551
PMM2 gene	C1418674	PRODUCES	["30530630_fullText_78"]	Candida albicans extract	C0717551
Retinoic Acid Response Element	C1514917	COEXISTS_WITH	["15210527_fullText_3"]	other medicated shampoos in ATC	C3539125
MBNL1 gene	C1417055	compared_with	["28582438_fullText_149"]	other medicated shampoos in ATC	C3539125
CNGB1 gene	C1413546	compared_with	["34943782_fullText_243"]	other medicated shampoos in ATC	C3539125
GOLPH3 gene	C1423498	compared_with	["34943782_fullText_246"]	other medicated shampoos in ATC	C3539125
C7orf49 gene	C1824234	compared_with	["26755488_fullText_4"]	other medicated shampoos in ATC	C3539125
CNGB1 gene	C1413546	higher_than	["34943782_fullText_243"]	other medicated shampoos in ATC	C3539125
GOLPH3 gene	C1423498	higher_than	["34943782_fullText_246"]	other medicated shampoos in ATC	C3539125
C7orf49 gene	C1824234	higher_than	["26755488_fullText_4"]	other medicated shampoos in ATC	C3539125
LAMA1 gene	C1416775	COEXISTS_WITH	["35621331_fullText_2"]	Agonist	C2987634
MDFIC gene	C1537673	COEXISTS_WITH	["35129730_fullText_7"]	Agonist	C2987634
Wild Type	C1883559	INTERACTS_WITH	["35700837_fullText_1","33710641_fullText_4"]	Agonist	C2987634
PDP1 gene	C1418818	INTERACTS_WITH__INFER__	["35279606_fullText_1"]	Agonist	C2987634
PEX1 gene	C1418469	INHIBITS	["32368833_fullText_12"]	Cholesterol	C0008377
RAB3IP gene	C1424340	INHIBITS	["32368833_fullText_63"]	Cholesterol	C0008377
SMO gene	C1364142	INTERACTS_WITH	["32368833_fullText_22","32368833_fullText_84"]	Cholesterol	C0008377
OSBPL3 gene	C1424223	INTERACTS_WITH	["32368833_fullText_51","32368833_fullText_52","32368833_fullText_54"]	Cholesterol	C0008377
NPC1 gene	C1417776	STIMULATES	["37423302_fullText_1"]	Cholesterol	C0008377
SREBF1 gene	C1420398	PRODUCES	["32145091_fullText_165"]	Cholesterol	C0008377
PDSS1 gene	C1843919	PRODUCES	["25270028_fullText_10"]	Cholesterol	C0008377
SLC19A3 gene	C1424138	COEXISTS_WITH	["36093993_fullText_139"]	Threonine	C0040005
ANLN gene	C1422396	CONVERTS_TO	["33769699_fullText_7"]	Esters	C0014898
LacZ Genes	C0022959	INTERACTS_WITH__SPEC__	["18270582_fullText_54"]	Suppressor	C2954564
PSEN1 gene	C1418985	CONVERTS_TO	["35851379_fullText_3"]	Citalopram	C0008845
SIX5 gene	C1420076	INHIBITS	["31853004_fullText_3"]	One-Step dentin bonding system	C0534010
MBNL1 gene	C1417055	INHIBITS	["31853004_fullText_3"]	One-Step dentin bonding system	C0534010
ALG1 gene	C1425428	COEXISTS_WITH	["33080352_fullText_3"]	Phosphoric Acid Esters	C0031701
PMM2 gene	C1418674	STIMULATES	["26488408_fullText_129"]	Phosphoric Acid Esters	C0031701
OPN1MW gene	C1415024	STIMULATES	["39231983_fullText_137"]	Oxygen	C0030054
IGKV1D-37 gene	C1416199	compared_with	["19433512_fullText_75"]	Oxygen	C0030054
AGRP gene	C1412286	COEXISTS_WITH	["34569272_fullText_3"]	Carbohydrates	C0007004
PMM2 gene	C1418674	INHIBITS	["31115488_fullText_2"]	Carbohydrates	C0007004
DSG1 gene	C1414168	COEXISTS_WITH	["28129118_fullText_314"]	PHOSPHATE BUFFERS	C0991865
DHDDS gene	C1427027	COEXISTS_WITH	["27343064_fullText_71"]	tetanus toxoid helper peptide	C1515333
C7orf49 gene	C1824234	COEXISTS_WITH	["7912392_fullText_6"]	Water	C0043047
ARHGEF2 wt Allele	C3539611	COEXISTS_WITH	["23807294_fullText_43"]	Water	C0043047
PMM1 gene	C1418673	COEXISTS_WITH	["29261720_fullText_62"]	Water	C0043047
CCL14 wt Allele	C1705070	COEXISTS_WITH	["31479473_fullText_70"]	Water	C0043047
FATE1 gene	C1539479	COEXISTS_WITH	["34272823_fullText_2"]	Water	C0043047
NPS gene	C1836075	COEXISTS_WITH	["34457112_fullText_5"]	Water	C0043047
Wild Type	C1883559	INHIBITS	["27761676_fullText_3"]	Amino Acids	C0002520
ECHS1 gene	C1414247	INTERACTS_WITH	["25125611_fullText_3","30029642_fullText_61"]	Amino Acids	C0002520
LGALS4 gene	C1416832	STIMULATES	["38900277_fullText_48"]	Amino Acids	C0002520
GCDH gene	C1415009	PRODUCES	["35157847_fullText_41"]	Amino Acids	C0002520
hla gene	C0599797	COEXISTS_WITH	["33973477_fullText_5"]	Selective Serotonin Reuptake Inhibitors	C0360105
IMPACT gene	C1825598	INTERACTS_WITH	["37098165_fullText_3","37129177_fullText_9"]	Selective Serotonin Reuptake Inhibitors	C0360105
CYP2D6 gene	C1332830	INTERACTS_WITH__SPEC__	["35879764_fullText_3"]	Selective Serotonin Reuptake Inhibitors	C0360105
CYP2C19 gene	C1332828	INTERACTS_WITH__SPEC__	["35879764_fullText_3"]	Selective Serotonin Reuptake Inhibitors	C0360105
CERS3 gene	C3469889	INHIBITS	["32147747_fullText_36"]	Ceramides	C0007745
NDUFS4 gene	C1417647	COEXISTS_WITH	["38177503_fullText_159"]	Buffers	C0006353
MBNL1 gene	C1417055	COEXISTS_WITH	["25303993_fullText_20","21768123_fullText_29"]	Buffers	C0006353
ABCD1 gene	C1412084	COEXISTS_WITH	["28281558_fullText_125"]	Buffers	C0006353
GTF2I gene	C1415347	COEXISTS_WITH	["27053713_fullText_108"]	Buffers	C0006353
ELF4 gene	C1414377	COEXISTS_WITH	["33315951_fullText_157"]	Buffers	C0006353
PITX3 gene	C1418597	COEXISTS_WITH	["27053713_fullText_148"]	Buffers	C0006353
GRN gene	C1415311	COEXISTS_WITH	["25135935_fullText_31"]	Buffers	C0006353
TSPO gene	C1823521	COEXISTS_WITH	["35157847_fullText_130","35603178_fullText_39","34884833_fullText_131","20174632_fullText_39","28582438_fullText_197"]	Buffers	C0006353
SSBP1 gene	C1420424	COEXISTS_WITH	["31479473_fullText_85"]	Buffers	C0006353
SLC25A46 gene	C1822755	COEXISTS_WITH	["27390132_fullText_136"]	Buffers	C0006353
LONP1 gene	C1825868	COEXISTS_WITH	["29518248_fullText_180","29518248_fullText_196"]	Buffers	C0006353
TFAM gene	C1420696	COEXISTS_WITH	["29518248_fullText_196"]	Buffers	C0006353
TLX2 gene	C1415651	INHIBITS	["34668117_fullText_3"]	Ryanodine	C0035983
SLC6A4 gene	C1420214	INTERACTS_WITH	["36555276_fullText_5","37792512_fullText_1"]	Serotonin	C0036751
KMO gene	C1416688	STIMULATES	["35319073_fullText_8"]	Serotonin	C0036751
KYNU GENE	C1416768	STIMULATES	["35319073_fullText_8"]	Serotonin	C0036751
IDO1 gene	C1416433	STIMULATES	["35319073_fullText_8"]	Serotonin	C0036751
ERICH3 gene	C1823787	compared_with	["35878676_fullText_5"]	Serotonin	C0036751
SQSTM1 gene	C1420393	COEXISTS_WITH	["27165717_fullText_59"]	Chloroquine	C0008269
MIR137 gene	C1537790	STIMULATES	["37783412_fullText_2"]	Endocannabinoids	C1172779
MGLL gene	C1442515	STIMULATES	["37783412_fullText_9"]	Endocannabinoids	C1172779
NFU1 gene	C1826399	COEXISTS_WITH	["24341803_fullText_40"]	Glycine	C0017890
LAMA1 gene	C1416775	COEXISTS_WITH	["33865004_fullText_4"]	Glycine	C0017890
LIAS gene	C1424272	STIMULATES	["24341803_fullText_51"]	Glycine	C0017890
NLRP1 wt Allele	C3538756	STIMULATES	["34762352_fullText_2"]	Acetylcholine	C0001041
BRD1 gene	C1412820	COEXISTS_WITH	["35447219_fullText_5"]	aripiprazole	C0299792
PEX2 gene	C1419149	COEXISTS_WITH	["20828389_fullText_93"]	Valproic Acid	C0042291
RAB3D gene	C1419208	compared_with	["36534654_fullText_2"]	Pharmacologic Substance	C1254351
P2RY11 gene	C1418218	INHIBITS	["34064383_fullText_5"]	factor A	C0960756
MPV17 gene	C1417247	STIMULATES	["37446007_fullText_1"]	Adenosine	C0001443
NT5E gene	C1417861	PRODUCES	["34575993_fullText_2","34224862_fullText_1"]	Adenosine	C0001443
MBNL1 gene	C1417055	COEXISTS_WITH	["25303993_fullText_23"]	Sodium Chloride	C0037494
PEX19 gene	C1419147	COEXISTS_WITH	["28281558_fullText_118"]	Sodium Chloride	C0037494
ATXN3 gene	C1538301	COEXISTS_WITH	["33477953_fullText_126"]	Sodium Chloride	C0037494
MIR155 gene	C1537811	INHIBITS	["33877664_fullText_4"]	Glutamic Acid	C0061472
STS gene	C1420490	compared_with	["36113188_fullText_8"]	Glutamic Acid	C0061472
MALAT1 gene	C1537647	compared_with	["33877664_fullText_4"]	Glutamic Acid	C0061472
