Gene1	Gene1_id	RELATION	PROVENANCE	Gene2	Gene2_id
ATXN3 gene	C1538301	COEXISTS_WITH	["38030858_fullText_77"]	GUCY2C wt Allele	C4084890
ATXN3 gene	C1538301	COEXISTS_WITH	["38030858_fullText_54"]	ATXN1 gene	C1538298
ATXN3 gene	C1538301	COEXISTS_WITH	["39516744_fullText_31"]	TMEM240 gene	C3470100
ATXN3 gene	C1538301	COEXISTS_WITH	["39088078_fullText_100","39088078_fullText_148"]	PARK2 gene	C1418270
ATXN3 gene	C1538301	COEXISTS_WITH	["38030858_fullText_77"]	FXN gene	C1414812
ATXN3 gene	C1538301	COEXISTS_WITH	["39320846_fullText_42"]	ALYREF gene	C1425988
ATXN3 gene	C1538301	COEXISTS_WITH	["37115382_fullText_133"]	TK2 gene	C1420748
ATXN3 gene	C1538301	COEXISTS_WITH	["37115382_fullText_133"]	CACNA1A gene	C1456413
ATXN3 gene	C1538301	COEXISTS_WITH	["38612794_fullText_23"]	Open Reading Frames	C0079941
ATXN3 gene	C1538301	COEXISTS_WITH	["39125643_fullText_9","39125643_fullText_89"]	SLCO2A1 gene	C1420129
ATXN3 gene	C1538301	COEXISTS_WITH	["31625269_fullText_30"]	LILRB1 gene	C1416857
ATXN3 gene	C1538301	COEXISTS_WITH	["31625269_fullText_30"]	LILRB2 gene	C1416858
ATXN3 gene	C1538301	COEXISTS_WITH	["33477953_fullText_10"]	CEL gene	C1413336
ATXN3 gene	C1538301	COEXISTS_WITH	["20865150_fullText_53"]	RAD23A gene	C1419236
ATXN3 gene	C1538301	COEXISTS_WITH	["25633985_fullText_2","25633985_fullText_6","25633985_fullText_8","25633985_fullText_126"]	PNKP gene	C1418707
ATXN3 gene	C1538301	COEXISTS_WITH	["34167352_fullText_1","39375222_fullText_116"]	Alleles	C0002085
ATXN3 gene	C1538301	INHIBITS	["38497605_fullText_144"]	HDAC3 gene	C1366355
ATXN3 gene	C1538301	INHIBITS	["25633985_fullText_3"]	PNKP gene	C1418707
ATXN3 gene	C1538301	INHIBITS	["21536589_fullText_4","21536589_fullText_8"]	SOD2 gene	C1420307
ATXN3 gene	C1538301	INHIBITS	["19429074_fullText_3"]	HSPB1 gene	C1333928
ATXN3 gene	C1538301	INTERACTS_WITH	["39320846_fullText_18","39320846_fullText_28","39320846_fullText_79","39320846_fullText_97","39320846_fullText_99"]	ALYREF gene	C1425988
ATXN3 gene	C1538301	INTERACTS_WITH	["39320846_fullText_36","38612794_fullText_117"]	VCP wt Allele	C4085181
ATXN3 gene	C1538301	INTERACTS_WITH	["25633985_fullText_16","25633985_fullText_19","25633985_fullText_22","25633985_fullText_31","25633985_fullText_38"]	PNKP gene	C1418707
ATXN3 gene	C1538301	INTERACTS_WITH	["25633985_fullText_77","39320846_fullText_143"]	DDR1 gene	C1333206
ATXN3 gene	C1538301	INTERACTS_WITH	["31625269_fullText_23","31625269_fullText_27","31625269_fullText_65"]	MAP1LC3C gene	C1825942
ATXN3 gene	C1538301	INTERACTS_WITH	["31625269_fullText_23","31625269_fullText_27"]	GABARAP gene	C1414901
ATXN3 gene	C1538301	INTERACTS_WITH	["19699305_fullText_2","39375222_fullText_126"]	HTT gene	C1415504
ATXN3 gene	C1538301	INTERACTS_WITH	["20940148_fullText_6","39320846_fullText_43","39088078_fullText_152"]	PARK2 gene	C1418270
