Gene	Gene_id	RELATION	PROVENANCE	Pathway	Pathway_id
MBNL1 gene	C1417055	AUGMENTS	["26123252_fullText_5"]	ubiquitin-specific protease activity	C1150158
ATXN3 gene	C1538301	AFFECTS	["19153604_fullText_5"]	Ubiquitination	C1519751
UBE2K gene	C1415547	AFFECTS	["17092742_fullText_2"]	Ubiquitination	C1519751
KEAP1 gene	C1427969	AFFECTS	["30135079_fullText_48","35565658_fullText_263"]	Ubiquitination	C1519751
PEX2 gene	C1419149	AFFECTS	["29773809_fullText_5","29370694_fullText_30","21826223_fullText_67"]	Ubiquitination	C1519751
ATXN3 gene	C1538301	AUGMENTS	["38497605_fullText_88"]	Ubiquitination	C1519751
PRPF19 gene	C1538720	AUGMENTS	["33542212_fullText_6"]	Ubiquitination	C1519751
Homologous Gene	C1334043	DISRUPTS	["19158078_fullText_8"]	Ubiquitination	C1519751
DEGS1 wt Allele	C3539688	AFFECTS	["32162843_fullText_99"]	Glycolysis	C0017952
PGM1 gene	C1418516	AFFECTS	["24997537_fullText_4"]	Glycolysis	C0017952
TFAM gene	C1420696	AUGMENTS	["30059502_fullText_65"]	Glycolysis	C0017952
CEL gene	C1413336	AUGMENTS	["30429455_fullText_1"]	Glycolysis	C0017952
NDUFV1 gene	C1417652	AUGMENTS	["30429455_fullText_4"]	Glycolysis	C0017952
MAOA gene	C1417001	DISRUPTS	["37249744_fullText_10"]	Glycolysis	C0017952
PARK2 gene	C1418270	AUGMENTS	["38497605_fullText_106"]	Deubiquitination	C1157996
ATXN3 gene	C1538301	AUGMENTS	["38497605_fullText_106","38497605_fullText_149"]	Deubiquitination	C1157996
ATXN3 gene	C1538301	AFFECTS__SPEC__	["33629274_fullText_2"]	Deubiquitination	C1157996
CEACAM6 gene	C1413309	AFFECTS	["34006978_fullText_5"]	Facilitation	C0234112
CNR1 gene	C1413554	AFFECTS	["33931678_fullText_4"]	brain development	C1160340
MBNL1 gene	C1417055	AFFECTS	["29309648_fullText_142"]	protein activity	C1537044
ALG13 gene	C1823172	AFFECTS	["35327592_fullText_18"]	protein activity	C1537044
ALG14 gene	C1823173	AFFECTS	["35327592_fullText_18"]	protein activity	C1537044
MBNL2 gene	C1424516	DISRUPTS	["35606145_fullText_12"]	Nuclear Translocation	C1518440
TFEB gene	C1420699	AUGMENTS	["35090378_fullText_9"]	Nuclear Translocation	C1518440
CELF1 gene	C1413824	AFFECTS	["25883322_fullText_12"]	Down-Regulation	C0013081
PROCR gene	C1418944	AFFECTS	["35717947_fullText_6"]	Down-Regulation	C0013081
LGALS4 gene	C1416832	DISRUPTS	["26940433_fullText_68"]	Down-Regulation	C0013081
SMR3B gene	C1539794	DISRUPTS	["26940433_fullText_68"]	Down-Regulation	C0013081
DLX4 gene	C1414078	AFFECTS	["27484195_fullText_49"]	glucose metabolism	C0596620
NDUFS8 gene	C1417651	AFFECTS	["36557887_fullText_93"]	glucose metabolism	C0596620
ATXN3 gene	C1538301	AFFECTS	["35488942_fullText_10"]	glucose metabolism	C0596620
CA8 gene	C1413051	AFFECTS	["35488942_fullText_10","35488942_fullText_12"]	glucose metabolism	C0596620
PCK2 gene	C1418372	AFFECTS	["27080638_fullText_6"]	glucose metabolism	C0596620
SIRT3 gene	C1423063	AFFECTS	["34571997_fullText_3","34571997_fullText_4"]	glucose metabolism	C0596620
SIRT3 gene	C1423063	AUGMENTS	["34571997_fullText_11"]	glucose metabolism	C0596620
ATXN3 gene	C1538301	AFFECTS	["21317884_fullText_4"]	Proteolysis	C0597304
ATXN3 gene	C1538301	DISRUPTS	["19783548_fullText_75"]	Proteolysis	C0597304
PARK2 gene	C1418270	AFFECTS	["39088078_fullText_97"]	L-ascorbate oxidase activity	C1151319
APOE gene	C1412481	AFFECTS	["25369462_fullText_4"]	L-ascorbate oxidase activity	C1151319
Alleles	C0002085	AFFECTS	["25369462_fullText_7"]	L-ascorbate oxidase activity	C1151319
WAS wt Allele	C1705616	AFFECTS	["35995972_fullText_8"]	Gene Regulatory Networks	C1720950
GRIN1 gene	C1415298	AFFECTS	["34440401_fullText_90"]	Post-Translational Protein Processing	C0033666
KCNQ2 gene	C1416614	AFFECTS	["34440401_fullText_90"]	Post-Translational Protein Processing	C0033666
ATXN3 gene	C1538301	AFFECTS	["25633985_fullText_62"]	Post-Translational Protein Processing	C0033666
RALBP1 wt Allele	C3539807	AFFECTS	["12663059_fullText_1"]	Saccades	C0036019
ALYREF gene	C1425988	AFFECTS	["39385390_fullText_110"]	Signal Transduction Pathways	C0086982
LRP4 gene	C1416916	AFFECTS	["24234652_fullText_9"]	Signal Transduction Pathways	C0086982
ASAH1 wt Allele	C3539770	AFFECTS	["34910905_fullText_5"]	Signal Transduction Pathways	C0086982
ANLN gene	C1422396	AUGMENTS	["38018694_fullText_5"]	Signal Transduction Pathways	C0086982
NGLY1 gene	C1425023	AUGMENTS	["30135079_fullText_15"]	Esthesia	C0036658
TREX1 gene	C1336670	AUGMENTS	["30135079_fullText_3"]	Esthesia	C0036658
ATXN3 gene	C1538301	AUGMENTS	["33741019_fullText_6"]	ERK Signal Tranduction Pathway	C3179234
CD200 gene	C1540289	AFFECTS	["12705497_fullText_1"]	Oxidative Phosphorylation	C0030013
NGLY1 gene	C1425023	DISRUPTS	["33315951_fullText_44"]	Oxidative Phosphorylation	C0030013
GLUD1 gene	C1415113	DISRUPTS	["24498361_fullText_80"]	Citric Acid Cycle	C0008858
NDUFS4 gene	C1417647	DISRUPTS	["28916769_fullText_5"]	Citric Acid Cycle	C0008858
DNA Conformation	C3179229	AFFECTS	["26756355_fullText_129"]	Base Pairing	C0600436
MAP3K5 gene	C1417014	AUGMENTS	["34831394_fullText_8"]	JUN kinase activity	C1150587
SIRT5 gene	C1423065	AFFECTS	["35157847_fullText_7","35157847_fullText_87"]	amino acid metabolism	C0596076
NDUFS4 gene	C1417647	AFFECTS	["39223312_fullText_7"]	Nervous System Physiological Phenomena	C0027767
S100B gene	C1419790	AFFECTS	["37259727_fullText_7"]	Nervous System Physiological Phenomena	C0027767
Synthetic Genes	C0017374	AFFECTS	["33918915_fullText_1"]	Nervous System Physiological Phenomena	C0027767
ATXN3 gene	C1538301	AUGMENTS	["22133674_fullText_6"]	Macromolecular alteration	C0301641
NGLY1 gene	C1425023	AFFECTS	["35406718_fullText_134"]	proteasome complex disassembly	C3824143
RORC gene	C1419603	AFFECTS	["30816177_fullText_118"]	Protein phosphorylation	C1158886
PARP1 gene	C1538577	AFFECTS	["30816177_fullText_118"]	Protein phosphorylation	C1158886
PRRT2 wt Allele	C3539645	AFFECTS	["8892024_fullText_9"]	Protein phosphorylation	C1158886
NPC2 gene	C1422736	AFFECTS	["25270028_fullText_82"]	cholesterol metabolism	C1156530
HDAC5 gene	C1333894	AUGMENTS	["34232131_fullText_6"]	Acetylation	C0001038
HDAC4 gene	C1333893	AUGMENTS	["34232131_fullText_6"]	Acetylation	C0001038
HDAC1 gene	C1333891	AUGMENTS	["34232131_fullText_6"]	Acetylation	C0001038
PIGM gene	C1425829	AUGMENTS	["29702557_fullText_116"]	Acetylation	C0001038
ITM2B gene	C1416512	AFFECTS	["34416235_fullText_2"]	Proteolytic Processing	C1514570
COX15 gene	C1413632	AFFECTS	["26940873_fullText_10"]	protein folding	C0162847
PRKCSH gene	C1418927	AFFECTS	["34106226_fullText_58","34106226_fullText_90"]	protein folding	C0162847
GANAB gene	C1414965	AFFECTS	["34106226_fullText_58"]	protein folding	C0162847
HSP90B1 gene	C1825546	AFFECTS	["34106226_fullText_98"]	protein folding	C0162847
PMM2 gene	C1418674	AFFECTS	["34331832_fullText_0"]	protein folding	C0162847
HSPA5 gene	C1415761	AFFECTS	["34106226_fullText_98"]	protein folding	C0162847
CANX gene	C1413107	AUGMENTS	["35565658_fullText_117"]	protein folding	C0162847
PEX5 gene	C1419151	AFFECTS	["10562279_fullText_101"]	protein protein interaction	C0872079
GTF2H1 gene	C1333723	AFFECTS	["29370694_fullText_16"]	protein protein interaction	C0872079
ATXN3 gene	C1538301	AFFECTS	["38612794_fullText_100"]	cholesterol biosynthesis	C0599474
DMPK gene	C1414085	AFFECTS	["12612014_fullText_5"]	Neuronal Plasticity	C0027880
TSPO gene	C1823521	AFFECTS	["35444254_fullText_9"]	Neuronal Plasticity	C0027880
GRHL3 gene	C1842259	AFFECTS	["34429141_fullText_9"]	Neuronal Plasticity	C0027880
DOC2A gene	C1414126	AFFECTS	["36142117_fullText_4"]	Neuronal Plasticity	C0027880
ASIC1 gene	C1412115	AFFECTS	["37629153_fullText_11"]	Neuronal Plasticity	C0027880
IFNAR1 wt Allele	C1708407	AFFECTS	["35193483_fullText_4"]	Neuronal Plasticity	C0027880
RYR1 gene	C1419778	AFFECTS	["37615871_fullText_2"]	Neuronal Plasticity	C0027880
JOSD2 gene	C1825639	AFFECTS	["38497605_fullText_97"]	Protein Degradation, Metabolic	C0597297
CELF1 gene	C1413824	AFFECTS	["23536431_fullText_5"]	Protein Degradation, Metabolic	C0597297
USP19 gene	C1421396	AUGMENTS	["35449354_fullText_7"]	Protein Degradation, Metabolic	C0597297
ATXN3 gene	C1538301	AUGMENTS	["32357546_fullText_233"]	chymotrypsin activity	C1150252
CD5 gene	C1413227	AUGMENTS	["26254860_fullText_9"]	chymotrypsin activity	C1150252
HSPB2 gene	C1415768	AUGMENTS	["9490724_fullText_6","9490724_fullText_83"]	kinase activity	C1150423
ATXN3 gene	C1538301	AFFECTS	["25633985_fullText_21"]	phosphoric monoester hydrolase activity	C1149880
ATXN3 gene	C1538301	AUGMENTS	["25633985_fullText_24"]	phosphoric monoester hydrolase activity	C1149880
PMM1 gene	C1418673	AUGMENTS	["29261720_fullText_24"]	phosphoric monoester hydrolase activity	C1149880
PPP1R12A gene	C1417581	DISRUPTS	["11287000_fullText_2"]	phosphoric monoester hydrolase activity	C1149880
PNKP gene	C1418707	AUGMENTS	["25590633_fullText_6"]	ATM Signaling Pathway	C1510698
PMM2 gene	C1418674	AFFECTS	["24139637_fullText_8","24139637_fullText_82"]	immunoreactivity	C0597879
SIRT1 gene	C1423062	DISRUPTS	["27165717_fullText_51"]	immunoreactivity	C0597879
