Gene	Gene_id	RELATION	PROVENANCE	Phenotype	Phenotype_id
CACNA1A gene	C1456413	ASSOCIATED_WITH		Gait Ataxia	C0751837
PNPLA6 gene	C1826637	ASSOCIATED_WITH		Gait Ataxia	C0751837
DARS2 gene	C1824885	ASSOCIATED_WITH		Gait Ataxia	C0751837
SPG7 gene	C1420354	ASSOCIATED_WITH		Gait Ataxia	C0751837
MT-ATP6 gene	C1537983	CAUSES	["34638685_fullText_17"]	Neurological observations	C0422837
PRPF6 gene	C1826706	AUGMENTS	["18350360_fullText_8"]	Neurological observations	C0422837
NDUFS4 gene	C1417647	CAUSES	["35770802_fullText_108"]	Neuronal loss	C1850496
ATXN3 gene	C1538301	CAUSES	["15049515_fullText_2"]	Neuronal loss	C1850496
DMPK gene	C1414085	CAUSES	["25655594_fullText_2"]	Early-onset	C1833334
MRRF gene	C1417252	DISRUPTS	["30425197_fullText_110"]	Early-onset	C1833334
ELF4 gene	C1414377	CAUSES	["35406718_fullText_241"]	Rescue	C3840763
CELF1 gene	C1413824	CAUSES	["25887157_fullText_8"]	Rescue	C3840763
RBFOX1 gene	C1854634	AFFECTS	["29789616_fullText_114"]	Rescue	C3840763
PDCD6 gene	C1418406	AFFECTS	["34106226_fullText_76"]	Rescue	C3840763
BECN1 gene	C1412785	AFFECTS	["29725949_fullText_8"]	Rescue	C3840763
COG8 gene	C1425655	DISRUPTS	["32629928_fullText_155"]	Rescue	C3840763
GBP1P1 gene	C3147377	ASSOCIATED_WITH	["36715818_fullText_5"]	ataxic	C0234366
SFSWAP gene	C1419999	ASSOCIATED_WITH	["37071051_fullText_6"]	ataxic	C0234366
NEFL gene	C1417668	ASSOCIATED_WITH	["32510847_fullText_2"]	ataxic	C0234366
LTBP4 gene	C1416930	ASSOCIATED_WITH	["37071051_fullText_6"]	ataxic	C0234366
SAFB2 gene	C1427641	ASSOCIATED_WITH	["37071051_fullText_6"]	ataxic	C0234366
PGM1 gene	C1418516	CAUSES	["33342467_fullText_3"]	Worse	C1457868
L2HGDH gene	C1825784	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
SYNE1 gene	C1424736	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
SETX gene	C1822695	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
KIF1C gene	C1416632	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
CACNA1G gene	C1413061	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
DNMT1 gene	C1414121	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
PLA2G6 gene	C1418624	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
KCNJ10 gene	C1416577	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
GRM1 gene	C1333711	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
MFN2 gene	C1424611	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
ATM gene	C0919524	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
DYNC1H1 gene	C1825005	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
TDP2 gene	C1425071	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
NOP56 gene	C2678521	ASSOCIATED_WITH		Cerebellar Ataxia	C0007758
