Phenotype	Phenotype_id	RELATION	PROVENANCE	Disease	Disease_id
Gait Ataxia	C0751837	ASSOCIATED_WITH	["31246996_fullText_85"]	Machado-Joseph Disease	C0024408
Gait Ataxia	C0751837	COEXISTS_WITH	["32357546_fullText_27"]	Machado-Joseph Disease	C0024408
Muscle Cramp	C0026821	ASSOCIATED_WITH	["12615652_fullText_7"]	Machado-Joseph Disease	C0024408
Gait abnormality	C0575081	COEXISTS_WITH	["25496057_fullText_1"]	Myotonic Dystrophy	C0027126
Neurological observations	C0422837	COEXISTS_WITH	["23775899_fullText_2"]	Machado-Joseph Disease	C0024408
handicapping condition	C0231172	COEXISTS_WITH	["23326493_fullText_94"]	Glutaric aciduria, type 1	C0268595
Progressive disorder	C1864985	COEXISTS_WITH	["32969598_fullText_1","32059522_fullText_25"]	Non-Neoplastic Pediatric Disorder	C2982732
Motor symptoms	C0426980	COEXISTS_WITH	["26359123_fullText_3"]	Machado-Joseph Disease	C0024408
Motor symptoms	C0426980	ASSOCIATED_WITH	["34536428_fullText_1"]	Neuroleptic-induced Parkinsonism	C0236830
Motor symptoms	C0426980	ASSOCIATED_WITH	["34715821_fullText_8","36716191_fullText_3","35503480_fullText_6"]	Parkinson Disease	C0030567
Motor symptoms	C0426980	ASSOCIATED_WITH	["21900579_fullText_1"]	Ataxias, Hereditary	C0004138
Motor symptoms	C0426980	ASSOCIATED_WITH	["21900579_fullText_7"]	Machado-Joseph Disease	C0024408
Motor symptoms	C0426980	ASSOCIATED_WITH	["34782410_fullText_1"]	early idiopathic parkinson's disease	C0694564
Motor symptoms	C0426980	ASSOCIATED_WITH__SPEC__	["25011953_fullText_9"]	Syndrome	C0039082
Neuronal loss	C1850496	COEXISTS_WITH	["21698251_fullText_39"]	Glutaric aciduria, type 1	C0268595
Neuronal loss	C1850496	COEXISTS_WITH	["35819590_fullText_12"]	Hereditary pancreatitis	C0238339
Neuronal loss	C1850496	COEXISTS_WITH	["35119081_fullText_1","34555506_fullText_1"]	Neurodegenerative Disorders	C0524851
