Phenotype	Phenotype_id	RELATION	PROVENANCE	Drug	Drug_id
Gait Ataxia	C0751837	IS_TREATED	["32357546_fullText_27"]	Buspirone	C0006462
Gait abnormality	C0575081	IS_TREATED	["34544947_fullText_5"]	Distigmine bromide	C2745877
Neurological observations	C0422837	IS_TREATED	["7146576_fullText_2"]	Phenylalanine	C0031453
Neurological observations	C0422837	IS_TREATED	["7146576_fullText_2"]	other medicated shampoos in ATC	C3539125
Neurological observations	C0422837	IS_TREATED	["34454911_fullText_2"]	agonists	C0243192
Neurological observations	C0422837	IS_TREATED	["34499561_fullText_4"]	messenger protein	C0169911
Neurological observations	C0422837	IS_TREATED	["34281274_fullText_4"]	Antioxidants	C0003402
Dizziness	C0012833	IS_TREATED	["34311244_fullText_5"]	duloxetine	C0245561
handicapping condition	C0231172	IS_TREATED	["21862209_fullText_1"]	Program	C2728259
Vertigo	C0042571	IS_TREATED	["35849408_fullText_2"]	Benzodiazepines	C0005064
Vertigo	C0042571	IS_TREATED	["35849408_fullText_2"]	Antihistamines	C0003360
Progressive disorder	C1864985	IS_TREATED	["37738768_fullText_1"]	Cholinesterase Inhibitors	C0008425
Parkinsonian symptoms	C1847652	IS_TREATED	["37569714_fullText_8"]	Antihistamines	C0003360
Physical shape	C0700329	IS_TREATED	["27717809_fullText_5"]	animal allergen extracts	C3540698
Motor symptoms	C0426980	IS_TREATED	["35357463_fullText_1"]	Dopaminergic Agents	C0013036
Motor symptoms	C0426980	IS_TREATED	["36716191_fullText_3"]	Dopamine Agonists	C0178601
Motor symptoms	C0426980	IS_TREATED	["36958527_fullText_1"]	Pramipexole	C0074710
Motor symptoms	C0426980	IS_TREATED	["35718278_fullText_5"]	Dopamine Uptake Inhibitors	C0242980
Motor symptoms	C0426980	IS_TREATED	["37713748_fullText_1"]	agonists	C0243192
Motor symptoms	C0426980	IS_TREATED	["35104500_fullText_6"]	atractylon	C0052616
Motor symptoms	C0426980	IS_TREATED	["37713748_fullText_1"]	Muscarinic Antagonists	C0003385
Motor symptoms	C0426980	IS_TREATED	["37973769_fullText_16"]	MAO B Inhibitors, dopaminergic anti-parkinson drugs	C3653412
Motor symptoms	C0426980	IS_TREATED	["35864474_fullText_2","35864474_fullText_6"]	Anticholinergic Agents	C0242896
Motor symptoms	C0426980	IS_TREATED	["36958527_fullText_1"]	ropinirole	C0244821
Motor symptoms	C0426980	IS_TREATED	["35149201_fullText_1","36211804_fullText_5","34782410_fullText_4","36716191_fullText_3","34785162_fullText_11","36112816_fullText_3"]	Levodopa	C0023570
Motor symptoms	C0426980	IS_TREATED	["32357546_fullText_286"]	Suppressor	C2954564
Motor symptoms	C0426980	IS_TREATED	["36958527_fullText_1"]	Rotigotine	C1700683
Neuronal loss	C1850496	IS_TREATED	["23326493_fullText_84"]	Lactate	C0376261
