Drug	Drug_id	Drug_type	Drug_type_id
Lysine	C0024337	protein	null
Levodopa	C0023570	protein	null
Zinostatin	C0027597	protein	null
Taurine	C0039350	protein	null
Glutamine	C0017797	protein	null
Tryptophan	C0041249	protein	null
MG 132	C0246694	protein	null
Dopa	C0013023	protein	null
Endopeptidases	C0030946	protein	null
AMINO ACIDS/PROTEINS	C1874187	protein	null
calpastatin	C0054534	protein	null
Histone deacetylase inhibitor	C1512474	protein	null
Threonine	C0040005	protein	null
Recombinant Interferon-gamma	C0021740	protein	null
Fibrinogen	C0016006	protein	null
tetanus toxoid helper peptide	C1515333	protein	null
Amino Acids	C0002520	protein	null
Amyloid Proteins	C1456454	protein	null
Phosphocreatine	C0031634	protein	null
Aminobutyric Acid	C0220780	protein	null
calpeptin	C0108192	protein	null
Argipressin	C0003779	protein	null
Glycine	C0017890	protein	null
Serine	C0036720	protein	null
Interferons	C0021747	protein	null
IL1RN protein, human	C1504688	protein	null
Interleukin-12	C0123759	protein	null
Recombinant Interferon-alpha Inducible Protein 10	C1522712	protein	null
Botulinum Toxins	C0006055	protein	null
Glutathione Disulfide	C0061516	protein	null
Glutamic Acid	C0061472	protein	null
Touchdown	C0912256	protein	null
ethyl cysteine	C0059760	protein	null
Insulin	C0021641	protein	null
Methionine	C0025646	protein	null
Superoxide Dismutase	C0038838	protein	null
taltirelin hydrate	C0961704	protein	null
Gelatin	C0017237	protein	null
Interleukin 1 Receptor Antagonist Protein	C1704264	protein	null
fluorodopa F 18	C0244672	protein	null
Tyrosine	C0041485	protein	null
Immune Sera	C0020960	protein	null
Valine	C0042285	protein	null
Immunoglobulins, Intravenous	C0085297	protein	null
N-(3-N-(benzyloxycarbonyl)amino-1-carboxypropyl)leucyl-O-methyltyrosine N-methylamide	C0067503	protein	null
CI 4	C0387382	protein	null
Interferon Type I	C0021743	protein	null
Citrulline	C0008864	protein	null
Acetylcysteine	C0001047	protein	null
Arginine	C0003765	protein	null
Rubella virus vaccine	C0035923	protein	null
Leucine	C0023401	protein	null
Carnitine	C0007258	protein	null
Fibrin	C0015982	protein	null
Glucagon	C0017687	protein	null
Baclofen	C0004609	protein	null
Reduced Glutathione	C0034917	protein	null
Buthionine Sulfoximine	C0054252	protein	null
Thyroid preparations	C0279175	protein	null
Follicle Stimulating Hormone	C0733758	protein	null
Isoleucine	C0022192	protein	null
Vigabatrin	C0048044	protein	null
Aminobutyrate	C0178474	protein	null
Histidine	C0019602	protein	null
Diazooxonorleucine	C0012020	protein	null
rituximab	C0393022	protein	null
Triiodothyronine	C0041014	protein	null
Vasopressins	C0042413	protein	null
S-Adenosylmethionine	C0036002	protein	null
kinase inhibitor	C3537035	protein	null
mitochondrial uncoupling protein 2	C0536847	protein	null
Immunoglobulins	C0021027	protein	null
humanin	C0966511	protein	null
Trypsin Inhibitors	C0041242	protein	null
Ornithine, (L)-Isomer	C0887117	protein	null
N-Methylaspartate	C0079883	protein	null
Oxytocin	C0030095	protein	null
Botulinum Toxin Type A	C0006050	protein	null
pregabalin	C0657912	protein	null
Thyrotropin-Releasing Hormone	C0040162	protein	null
Prolactin	C0033371	protein	null
Phenylalanine	C0031453	protein	null
Angiotensin II	C0003009	protein	null
PKA inhibitor	C0243459	protein	null
Corticotropin	C0001655	protein	null
D-cycloserine	C0815039	protein	null
5-Hydroxytryptophan	C0000578	protein	null
Human Interleukin-10 (Nonglycosylated)	C2983956	protein	null
tocilizumab	C1609165	protein	null
proctolin	C0072059	protein	null
Somatostatin	C0037659	protein	null
Aspartame	C0003999	protein	null
Sincalide	C0037167	protein	null
Hydroxyproline	C0020388	protein	null
adrenomedullin	C0215825	protein	null
Sodium Glutamate	C0037511	protein	null
motilin	C0026594	protein	null
