radboudsource,sourceguid,sourcelabel,radboudtarget,targetguid,targetlabel
DOID_7551,https://api.disease-ontology.org/v1/terms/DOID_7551,gonorrhea,OTAR_0000017,http://www.ebi.ac.uk/efo/OTAR_0000017,OTAR_0000017
DOID_7551,https://api.disease-ontology.org/v1/terms/DOID_7551,gonorrhea,EFO_0005741,http://www.ebi.ac.uk/efo/EFO_0005741,infectious disease
DOID_7551,https://api.disease-ontology.org/v1/terms/DOID_7551,gonorrhea,EFO_0009690,http://www.ebi.ac.uk/efo/EFO_0009690,urinary system disease
HP_0000031,http://purl.obolibrary.org/obo/HP_0000031,Epididymitis,EFO_0000651,http://www.ebi.ac.uk/efo/EFO_0000651,phenotype
HP_0000857,http://purl.obolibrary.org/obo/HP_0000857,Neonatal insulin-dependent diabetes mellitus,EFO_0000651,http://www.ebi.ac.uk/efo/EFO_0000651,phenotype
HP_0000857,http://purl.obolibrary.org/obo/HP_0000857,Neonatal insulin-dependent diabetes mellitus,MONDO_0024297,http://purl.obolibrary.org/obo/MONDO_0024297,obsolete nutritional or metabolic disease
HP_0000857,http://purl.obolibrary.org/obo/HP_0000857,Neonatal insulin-dependent diabetes mellitus,EFO_0001379,http://www.ebi.ac.uk/efo/EFO_0001379,endocrine system disease
HP_0000857,http://purl.obolibrary.org/obo/HP_0000857,Neonatal insulin-dependent diabetes mellitus,EFO_0009605,http://www.ebi.ac.uk/efo/EFO_0009605,pancreas disease
HP_0000857,http://purl.obolibrary.org/obo/HP_0000857,Neonatal insulin-dependent diabetes mellitus,EFO_0010282,http://www.ebi.ac.uk/efo/EFO_0010282,gastrointestinal disease
HP_0012076,http://purl.obolibrary.org/obo/HP_0012076,Borderline personality disorder,EFO_0000651,http://www.ebi.ac.uk/efo/EFO_0000651,phenotype
MONDO_0003243,http://purl.obolibrary.org/obo/MONDO_0003243,hepatocellular clear cell carcinoma,EFO_0001379,http://www.ebi.ac.uk/efo/EFO_0001379,endocrine system disease
MONDO_0003243,http://purl.obolibrary.org/obo/MONDO_0003243,hepatocellular clear cell carcinoma,EFO_0010282,http://www.ebi.ac.uk/efo/EFO_0010282,gastrointestinal disease
MONDO_0003243,http://purl.obolibrary.org/obo/MONDO_0003243,hepatocellular clear cell carcinoma,MONDO_0045024,http://purl.obolibrary.org/obo/MONDO_0045024,cancer or benign tumor
MONDO_0030006,http://purl.obolibrary.org/obo/MONDO_0030006,combined oxidative phosphorylation deficiency 40,MONDO_0024297,http://purl.obolibrary.org/obo/MONDO_0024297,obsolete nutritional or metabolic disease
MONDO_0030006,http://purl.obolibrary.org/obo/MONDO_0030006,combined oxidative phosphorylation deficiency 40,OTAR_0000018,http://www.ebi.ac.uk/efo/OTAR_0000018,OTAR_0000018
HP_0000282,http://purl.obolibrary.org/obo/HP_0000282,Facial edema,EFO_0000651,http://www.ebi.ac.uk/efo/EFO_0000651,phenotype
HP_0000520,http://purl.obolibrary.org/obo/HP_0000520,Proptosis,EFO_0000651,http://www.ebi.ac.uk/efo/EFO_0000651,phenotype
HP_0000802,http://purl.obolibrary.org/obo/HP_0000802,Impotence,EFO_0000651,http://www.ebi.ac.uk/efo/EFO_0000651,phenotype
HP_0004443,http://purl.obolibrary.org/obo/HP_0004443,Lambdoidal craniosynostosis,EFO_0000651,http://www.ebi.ac.uk/efo/EFO_0000651,phenotype
