radboudsource,sourceguid,target,targetguid
CHEMBL1201746,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201746,ENSG00000228716,http://purl.uniprot.org/uniprot/P40238
CHEMBL1231,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1231,ENSG00000133019,http://purl.uniprot.org/uniprot/P10600
CHEMBL1231,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1231,ENSG00000181072,http://purl.uniprot.org/uniprot/P02462
CHEMBL3545185,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3545185,ENSG00000082898,http://purl.uniprot.org/uniprot/P35968
CHEMBL4524066,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL4524066,ENSG00000112164,http://purl.uniprot.org/uniprot/P06280
CHEMBL468,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL468,ENSG00000113851,http://purl.uniprot.org/uniprot/P08887
CHEMBL468,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL468,ENSG00000100387,http://purl.uniprot.org/uniprot/P19971
CHEMBL468,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL468,ENSG00000167986,http://purl.uniprot.org/uniprot/P48443
CHEMBL468,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL468,ENSG00000139842,http://purl.uniprot.org/uniprot/P01258
CHEMBL471737,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL471737,ENSG00000138622,http://purl.uniprot.org/uniprot/O94806
CHEMBL524,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL524,ENSG00000120907,http://purl.uniprot.org/uniprot/O43924
CHEMBL524,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL524,ENSG00000170214,http://purl.uniprot.org/uniprot/P10912
CHEMBL524,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL524,ENSG00000171873,http://purl.uniprot.org/uniprot/P18545
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000106628,http://purl.uniprot.org/uniprot/P01589
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000100479,http://purl.uniprot.org/uniprot/P05107
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000146143,http://purl.uniprot.org/uniprot/P02679
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000077514,http://purl.uniprot.org/uniprot/Q07864
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000167325,http://purl.uniprot.org/uniprot/P24043
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000148229,http://purl.uniprot.org/uniprot/Q13621
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000177084,http://purl.uniprot.org/uniprot/P15538
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000175482,http://purl.uniprot.org/uniprot/Q13621
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000062822,http://purl.uniprot.org/uniprot/P12111
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000101868,http://purl.uniprot.org/uniprot/P14784
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000198056,http://purl.uniprot.org/uniprot/P29597
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,ENSG00000014138,http://purl.uniprot.org/uniprot/P35498
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000273079,http://purl.uniprot.org/uniprot/P42261
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000168356,http://purl.uniprot.org/uniprot/P16499
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000198785,http://purl.uniprot.org/uniprot/P36888
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000144285,http://purl.uniprot.org/uniprot/P23415
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000176884,http://purl.uniprot.org/uniprot/P02679
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000183873,http://purl.uniprot.org/uniprot/P12109
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000103546,http://purl.uniprot.org/uniprot/P25116
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000196876,http://purl.uniprot.org/uniprot/Q13370
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000183454,http://purl.uniprot.org/uniprot/P30531
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000185313,http://purl.uniprot.org/uniprot/P12821
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ENSG00000105464,http://purl.uniprot.org/uniprot/O00483
