source,ensembl,opentargets,uniprot,taxon,prefname
DOID_7551,ENSG00000058085,http://purl.uniprot.org/opentargets/ENSG00000010810,http://purl.uniprot.org/uniprot/P06241,http://purl.uniprot.org/taxonomy/9606,Tyrosine-protein kinase Fyn
DOID_7551,ENSG00000091831,http://purl.uniprot.org/opentargets/ENSG00000012779,http://purl.uniprot.org/uniprot/P09917,http://purl.uniprot.org/taxonomy/9606,Polyunsaturated fatty acid 5-lipoxygenase
DOID_7551,ENSG00000102755,http://purl.uniprot.org/opentargets/ENSG00000058085,http://purl.uniprot.org/uniprot/Q13753,http://purl.uniprot.org/taxonomy/9606,Laminin subunit gamma-2
DOID_7551,ENSG00000105329,http://purl.uniprot.org/opentargets/ENSG00000061273,http://purl.uniprot.org/uniprot/Q8WUI4,http://purl.uniprot.org/taxonomy/9606,Histone deacetylase 7
DOID_7551,ENSG00000112115,http://purl.uniprot.org/opentargets/ENSG00000066468,http://purl.uniprot.org/uniprot/P21802,http://purl.uniprot.org/taxonomy/9606,Fibroblast growth factor receptor 2
DOID_7551,ENSG00000119888,http://purl.uniprot.org/opentargets/ENSG00000067900,http://purl.uniprot.org/uniprot/Q13464,http://purl.uniprot.org/taxonomy/9606,Rho-associated protein kinase 1
DOID_7551,ENSG00000012779,http://purl.uniprot.org/opentargets/ENSG00000068024,http://purl.uniprot.org/uniprot/P56524,http://purl.uniprot.org/taxonomy/9606,Histone deacetylase 4
DOID_7551,ENSG00000068024,http://purl.uniprot.org/opentargets/ENSG00000070886,http://purl.uniprot.org/uniprot/P29322,http://purl.uniprot.org/taxonomy/9606,Ephrin type-A receptor 8
DOID_7551,ENSG00000082701,http://purl.uniprot.org/opentargets/ENSG00000073756,http://purl.uniprot.org/uniprot/P35354,http://purl.uniprot.org/taxonomy/9606,Prostaglandin G/H synthase 2
DOID_7551,ENSG00000092969,http://purl.uniprot.org/opentargets/ENSG00000077514,http://purl.uniprot.org/uniprot/Q15054,http://purl.uniprot.org/taxonomy/9606,DNA polymerase delta subunit 3
DOID_7551,ENSG00000100387,http://purl.uniprot.org/opentargets/ENSG00000077782,http://purl.uniprot.org/uniprot/P11362,http://purl.uniprot.org/taxonomy/9606,Fibroblast growth factor receptor 1
DOID_7551,ENSG00000101076,http://purl.uniprot.org/opentargets/ENSG00000082175,http://purl.uniprot.org/uniprot/P06401,http://purl.uniprot.org/taxonomy/9606,Progesterone receptor
DOID_7551,ENSG00000133742,http://purl.uniprot.org/opentargets/ENSG00000082701,http://purl.uniprot.org/uniprot/P49841,http://purl.uniprot.org/taxonomy/9606,Glycogen synthase kinase-3 beta
DOID_7551,ENSG00000146648,http://purl.uniprot.org/opentargets/ENSG00000082898,http://purl.uniprot.org/uniprot/O14980,http://purl.uniprot.org/taxonomy/9606,Exportin-1
DOID_7551,ENSG00000164692,http://purl.uniprot.org/opentargets/ENSG00000085662,http://purl.uniprot.org/uniprot/P15121,http://purl.uniprot.org/taxonomy/9606,Aldo-keto reductase family 1 member B1
DOID_7551,ENSG00000171105,http://purl.uniprot.org/opentargets/ENSG00000091831,http://purl.uniprot.org/uniprot/P03372,http://purl.uniprot.org/taxonomy/9606,Estrogen receptor
DOID_7551,ENSG00000176890,http://purl.uniprot.org/opentargets/ENSG00000092969,http://purl.uniprot.org/uniprot/P61812,http://purl.uniprot.org/taxonomy/9606,Transforming growth factor beta-2 proprotein
DOID_7551,ENSG00000182578,http://purl.uniprot.org/opentargets/ENSG00000094631,http://purl.uniprot.org/uniprot/Q9UBN7,http://purl.uniprot.org/taxonomy/9606,Protein deacetylase HDAC6
DOID_7551,ENSG00000232810,http://purl.uniprot.org/opentargets/ENSG00000097007,http://purl.uniprot.org/uniprot/P00519,http://purl.uniprot.org/taxonomy/9606,Tyrosine-protein kinase ABL1
DOID_7551,ENSG00000073756,http://purl.uniprot.org/opentargets/ENSG00000099795,http://purl.uniprot.org/uniprot/P17568,http://purl.uniprot.org/taxonomy/9606,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
DOID_7551,ENSG00000115594,http://purl.uniprot.org/opentargets/ENSG00000100387,http://purl.uniprot.org/uniprot/P62877,http://purl.uniprot.org/taxonomy/9606,E3 ubiquitin-protein ligase RBX1
DOID_7551,ENSG00000134318,http://purl.uniprot.org/opentargets/ENSG00000101076,http://purl.uniprot.org/uniprot/P41235,http://purl.uniprot.org/taxonomy/9606,Hepatocyte nuclear factor 4-alpha
DOID_7551,ENSG00000134871,http://purl.uniprot.org/opentargets/ENSG00000102755,http://purl.uniprot.org/uniprot/P17948,http://purl.uniprot.org/taxonomy/9606,Vascular endothelial growth factor receptor 1
DOID_7551,ENSG00000143799,http://purl.uniprot.org/opentargets/ENSG00000103546,http://purl.uniprot.org/uniprot/P23975,http://purl.uniprot.org/taxonomy/9606,Sodium-dependent noradrenaline transporter
DOID_7551,ENSG00000160712,http://purl.uniprot.org/opentargets/ENSG00000105329,http://purl.uniprot.org/uniprot/P01137,http://purl.uniprot.org/taxonomy/9606,Transforming growth factor beta-1 proprotein
DOID_7551,ENSG00000163558,http://purl.uniprot.org/opentargets/ENSG00000105675,http://purl.uniprot.org/uniprot/P20648,http://purl.uniprot.org/taxonomy/9606,Potassium-transporting ATPase alpha chain 1
DOID_7551,ENSG00000169083,http://purl.uniprot.org/opentargets/ENSG00000106462,http://purl.uniprot.org/uniprot/Q15910,http://purl.uniprot.org/taxonomy/9606,Histone-lysine N-methyltransferase EZH2
