radboudid,guid,label
DOID_7551,https://api.disease-ontology.org/v1/terms/DOID_7551,gonorrhea
HP_0000857,http://purl.obolibrary.org/obo/HP_0000857,Neonatal insulin-dependent diabetes mellitus
HP_0012076,http://purl.obolibrary.org/obo/HP_0012076,Borderline personality disorder
MONDO_0030006,http://purl.obolibrary.org/obo/MONDO_0030006,combined oxidative phosphorylation deficiency 40
HP_0000520,http://purl.obolibrary.org/obo/HP_0000520,Proptosis
HP_0000802,http://purl.obolibrary.org/obo/HP_0000802,Impotence
MONDO_0021116,http://purl.obolibrary.org/obo/MONDO_0021116,luminal A breast carcinoma
HP_0001591,http://purl.obolibrary.org/obo/HP_0001591,Bell-shaped thorax
HP_0002035,http://purl.obolibrary.org/obo/HP_0002035,Rectal prolapse
HP_0008909,http://purl.obolibrary.org/obo/HP_0008909,Lethal short-limbed short stature
MONDO_0002203,http://purl.obolibrary.org/obo/MONDO_0002203,constipation disorder
MONDO_0004392,http://purl.obolibrary.org/obo/MONDO_0004392,intracranial extraskeletal myxoid chondrosarcoma
MONDO_0012806,http://purl.obolibrary.org/obo/MONDO_0012806,ectodermal dysplasia and immunodeficiency 2
MONDO_0032911,http://purl.obolibrary.org/obo/MONDO_0032911,"hearing loss, autosomal dominant 75"
EFO_0000713,http://www.ebi.ac.uk/efo/EFO_0000713,subarachnoid hemorrhage
HP_0009816,http://purl.obolibrary.org/obo/HP_0009816,Lower limb undergrowth
HP_0010865,http://purl.obolibrary.org/obo/HP_0010865,Oppositional defiant disorder
HP_0012042,http://purl.obolibrary.org/obo/HP_0012042,Aspirin-induced asthma
MONDO_0008597,http://purl.obolibrary.org/obo/MONDO_0008597,"obsolete trichorhinophalangeal syndrome, type III"
MONDO_0044784,http://purl.obolibrary.org/obo/MONDO_0044784,myxoma
MONDO_0054781,http://purl.obolibrary.org/obo/MONDO_0054781,combined oxidative phosphorylation deficiency 36
HP_0002571,http://purl.obolibrary.org/obo/HP_0002571,Achalasia
HP_0004308,http://purl.obolibrary.org/obo/HP_0004308,Ventricular arrhythmia
HP_0012390,http://purl.obolibrary.org/obo/HP_0012390,Anal fissure
HP_0012410,http://purl.obolibrary.org/obo/HP_0012410,Pure red cell aplasia
HP_0100727,http://purl.obolibrary.org/obo/HP_0100727,Histiocytosis
MONDO_0009619,http://purl.obolibrary.org/obo/MONDO_0009619,microcephaly-micromelia syndrome
MONDO_0011377,http://purl.obolibrary.org/obo/MONDO_0011377,long QT syndrome 3
MONDO_0015003,http://purl.obolibrary.org/obo/MONDO_0015003,"dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities"
MONDO_0032889,http://purl.obolibrary.org/obo/MONDO_0032889,Poirier-Bienvenu neurodevelopmental syndrome
MONDO_0000030,http://purl.obolibrary.org/obo/MONDO_0000030,sleep-related hypermotor epilepsy
MONDO_0030060,http://purl.obolibrary.org/obo/MONDO_0030060,neurodevelopmental disorder with language impairment and behavioral abnormalities
EFO_0001675,http://www.ebi.ac.uk/efo/EFO_0001675,simian immunodeficiency virus infection
HP_0000327,http://purl.obolibrary.org/obo/HP_0000327,Hypoplasia of the maxilla
HP_0006789,http://purl.obolibrary.org/obo/HP_0006789,Mitochondrial encephalopathy
HP_0030834,http://purl.obolibrary.org/obo/HP_0030834,Shoulder pain
MONDO_0001410,http://purl.obolibrary.org/obo/MONDO_0001410,postmenopausal atrophic vaginitis
MONDO_0014725,http://purl.obolibrary.org/obo/MONDO_0014725,spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome
MONDO_0054695,http://purl.obolibrary.org/obo/MONDO_0054695,"myopathy, centronuclear, 6, with fiber-type disproportion"
EFO_0000174,http://www.ebi.ac.uk/efo/EFO_0000174,Ewing sarcoma
EFO_0003073,http://www.ebi.ac.uk/efo/EFO_0003073,asymptomatic myeloma
HP_0000200,http://purl.obolibrary.org/obo/HP_0000200,Short lingual frenulum
MONDO_0012670,http://purl.obolibrary.org/obo/MONDO_0012670,autosomal recessive nonsyndromic hearing loss 63
MONDO_0014608,http://purl.obolibrary.org/obo/MONDO_0014608,mandibulofacial dysostosis with alopecia
MONDO_0019471,http://purl.obolibrary.org/obo/MONDO_0019471,adult T-cell leukemia/lymphoma
MONDO_0044325,http://purl.obolibrary.org/obo/MONDO_0044325,"Fanconi anemia, complementation group W"
EFO_0003075,http://www.ebi.ac.uk/efo/EFO_0003075,xanthoma
HP_0002904,http://purl.obolibrary.org/obo/HP_0002904,Hyperbilirubinemia
EFO_0000595,http://www.ebi.ac.uk/efo/EFO_0000595,monophasic synovial sarcoma
HP_0002153,http://purl.obolibrary.org/obo/HP_0002153,Hyperkalemia
MONDO_0009559,http://purl.obolibrary.org/obo/MONDO_0009559,mandibulofacial dysostosis with mental deficiency
MONDO_0015643,http://purl.obolibrary.org/obo/MONDO_0015643,photosensitive epilepsy
MONDO_0017386,http://purl.obolibrary.org/obo/MONDO_0017386,pleomorphic rhabdomyosarcoma
MONDO_0030019,http://purl.obolibrary.org/obo/MONDO_0030019,anauxetic dysplasia 3
EFO_0002689,http://www.ebi.ac.uk/efo/EFO_0002689,antiphospholipid syndrome
HP_0000876,http://purl.obolibrary.org/obo/HP_0000876,Oligomenorrhea
HP_0003076,http://purl.obolibrary.org/obo/HP_0003076,Glycosuria
HP_0025428,http://purl.obolibrary.org/obo/HP_0025428,obsolete Bronchospasm
MONDO_0002368,http://purl.obolibrary.org/obo/MONDO_0002368,papillary serous cystadenocarcinoma
MONDO_0004331,http://purl.obolibrary.org/obo/MONDO_0004331,bladder urachal adenocarcinoma
MONDO_0007845,http://purl.obolibrary.org/obo/MONDO_0007845,"Kaposi sarcoma, susceptibility to"
MONDO_0008630,http://purl.obolibrary.org/obo/MONDO_0008630,"urinary bladder, atony of"
MONDO_0032940,http://purl.obolibrary.org/obo/MONDO_0032940,retinitis pigmentosa 88
EFO_0000233,http://www.ebi.ac.uk/efo/EFO_0000233,adenosquamous lung carcinoma
EFO_0003027,http://www.ebi.ac.uk/efo/EFO_0003027,acute myeloblastic leukemia without maturation
HP_0000720,http://purl.obolibrary.org/obo/HP_0000720,obsolete Mood swings
HP_0030833,http://purl.obolibrary.org/obo/HP_0030833,Neck pain
HP_0004448,http://purl.obolibrary.org/obo/HP_0004448,Fulminant hepatic failure
HP_0005639,http://purl.obolibrary.org/obo/HP_0005639,Hyperextensible hand joints
HP_0040185,http://purl.obolibrary.org/obo/HP_0040185,Macrothrombocytopenia
MONDO_0014919,http://purl.obolibrary.org/obo/MONDO_0014919,sessile serrated polyposis cancer syndrome
EFO_0002615,http://www.ebi.ac.uk/efo/EFO_0002615,internal carotid artery stenosis
HP_0001642,http://purl.obolibrary.org/obo/HP_0001642,Pulmonic stenosis
HP_0002221,http://purl.obolibrary.org/obo/HP_0002221,Absent axillary hair
HP_0002307,http://purl.obolibrary.org/obo/HP_0002307,Drooling
MONDO_0010888,http://purl.obolibrary.org/obo/MONDO_0010888,adenomyosis
MONDO_0021804,http://purl.obolibrary.org/obo/MONDO_0021804,silicotuberculosis
HP_0011923,http://purl.obolibrary.org/obo/HP_0011923,Decreased activity of mitochondrial complex I
MONDO_0001330,http://purl.obolibrary.org/obo/MONDO_0001330,presbyopia
MONDO_0009374,http://purl.obolibrary.org/obo/MONDO_0009374,hydroxyprolinemia
MONDO_0009816,http://purl.obolibrary.org/obo/MONDO_0009816,autosomal recessive osteopetrosis 2
MONDO_0010635,http://purl.obolibrary.org/obo/MONDO_0010635,hypogonadotropic hypogonadism 1 with or without anosmia
