radboudsource,sourceguid,sourcelabel,radboudtarget,targetguid,targetlabel
CHEMBL1200656,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200656,NATAMYCIN,EFO_1001888,http://www.ebi.ac.uk/efo/EFO_1001888,eye infection
CHEMBL1201746,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201746,PRALATREXATE,EFO_0000211,http://www.ebi.ac.uk/efo/EFO_0000211,unspecified peripheral T-cell lymphoma
CHEMBL1231,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1231,OXYBUTYNIN,HP_0000103,http://purl.obolibrary.org/obo/HP_0000103,Polyuria
CHEMBL1231,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1231,OXYBUTYNIN,EFO_1000781,http://www.ebi.ac.uk/efo/EFO_1000781,overactive bladder
CHEMBL2023898,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2023898,DACLATASVIR,EFO_0004220,http://www.ebi.ac.uk/efo/EFO_0004220,chronic hepatitis C virus infection
CHEMBL1091,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1091,HYDROCORTISONE ACETATE,EFO_0009552,http://www.ebi.ac.uk/efo/EFO_0009552,hemorrhoid
CHEMBL1091,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1091,HYDROCORTISONE ACETATE,EFO_0005752,http://www.ebi.ac.uk/efo/EFO_0005752,eye inflammation
CHEMBL2308885,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2308885,CLOBETASONE BUTYRATE,EFO_0005752,http://www.ebi.ac.uk/efo/EFO_0005752,eye inflammation
CHEMBL24147,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL24147,RESORCINOL,EFO_1001888,http://www.ebi.ac.uk/efo/EFO_1001888,eye infection
CHEMBL24147,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL24147,RESORCINOL,EFO_0003894,http://www.ebi.ac.uk/efo/EFO_0003894,acne
CHEMBL364713,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL364713,NOSCAPINE,HP_0012735,http://purl.obolibrary.org/obo/HP_0012735,Cough
CHEMBL762,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL762,OXYMETAZOLINE,HP_0001742,http://purl.obolibrary.org/obo/HP_0001742,Nasal congestion
CHEMBL87493,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL87493,FENFLURAMINE,Orphanet_33069,http://www.orpha.net/ORDO/Orphanet_33069,Dravet syndrome
CHEMBL112,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL112,ACETAMINOPHEN,HP_0100607,http://purl.obolibrary.org/obo/HP_0100607,Dysmenorrhea
CHEMBL112,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL112,ACETAMINOPHEN,EFO_0010072,http://www.ebi.ac.uk/efo/EFO_0010072,toothache
CHEMBL112,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL112,ACETAMINOPHEN,EFO_0007214,http://www.ebi.ac.uk/efo/EFO_0007214,common cold
CHEMBL141,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL141,LAMIVUDINE,EFO_0000180,http://www.ebi.ac.uk/efo/EFO_0000180,HIV-1 infection
CHEMBL141,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL141,LAMIVUDINE,EFO_0004239,http://www.ebi.ac.uk/efo/EFO_0004239,chronic hepatitis B virus infection
CHEMBL204656,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL204656,ELVITEGRAVIR,EFO_0000180,http://www.ebi.ac.uk/efo/EFO_0000180,HIV-1 infection
CHEMBL2110805,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2110805,EMEPRONIUM,HP_0000103,http://purl.obolibrary.org/obo/HP_0000103,Polyuria
CHEMBL1201460,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201460,DALTEPARIN SODIUM,HP_0004419,http://purl.obolibrary.org/obo/HP_0004419,Recurrent thrombophlebitis
CHEMBL1201460,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201460,DALTEPARIN SODIUM,EFO_0003907,http://www.ebi.ac.uk/efo/EFO_0003907,deep vein thrombosis
CHEMBL1201666,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201666,LEPIRUDIN,HP_0004419,http://purl.obolibrary.org/obo/HP_0004419,Recurrent thrombophlebitis
CHEMBL1504,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1504,TRIAMCINOLONE ACETONIDE,EFO_0003956,http://www.ebi.ac.uk/efo/EFO_0003956,seasonal allergic rhinitis
CHEMBL1504,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1504,TRIAMCINOLONE ACETONIDE,EFO_0004274,http://www.ebi.ac.uk/efo/EFO_0004274,gout
CHEMBL1504,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1504,TRIAMCINOLONE ACETONIDE,EFO_1001896,http://www.ebi.ac.uk/efo/EFO_1001896,lateral epicondylitis
CHEMBL1742996,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1742996,BRODALUMAB,Orphanet_163927,http://www.orpha.net/ORDO/Orphanet_163927,Pustulosis palmaris et plantaris
