radboudsource,sourceguid,sourcelabel,targettype
CHEMBL1200656,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1200656,NATAMYCIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201746,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201746,PRALATREXATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1231,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1231,OXYBUTYNIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL139367,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL139367,PERAMIVIR,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1585,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1585,PIPOBROMAN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2023898,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2023898,DACLATASVIR,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL3545185,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3545185,SELINEXOR,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL4524066,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL4524066,LIRAGLUTIDE,http://rdf.ebi.ac.uk/terms/chembl#ProteinMolecule
CHEMBL466659,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL466659,PENTAERYTHRITOL TETRANITRATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL468,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL468,THALIDOMIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL471737,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL471737,IVABRADINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL524,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL524,METHOXAMINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL850,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL850,SPARFLOXACIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL852,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL852,MELPHALAN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL888,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL888,GEMCITABINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL900,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL900,ORPHENADRINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL959,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL959,RIMANTADINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1091,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1091,HYDROCORTISONE ACETATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL117287,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL117287,PRUCALOPRIDE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201827,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201827,PANITUMUMAB,http://rdf.ebi.ac.uk/terms/chembl#Antibody
CHEMBL1336,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1336,SORAFENIB,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1619785,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1619785,TALAMPICILLIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2105745,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2105745,GLYCEROL PHENYLBUTYRATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2308885,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2308885,CLOBETASONE BUTYRATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL24147,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL24147,RESORCINOL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL267936,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL267936,MECAMYLAMINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL3137320,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL3137320,TALAZOPARIB,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL364713,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL364713,NOSCAPINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL457299,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL457299,MACROGOL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL553,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL553,ERLOTINIB,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL762,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL762,OXYMETAZOLINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL87493,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL87493,FENFLURAMINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL940,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL940,GABAPENTIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL979,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL979,MEPROBAMATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL112,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL112,ACETAMINOPHEN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1201486,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1201486,QUINIDINE POLYGALACTURONATE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1233,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1233,CARISOPRODOL,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL141,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL141,LAMIVUDINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1449,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1449,TICARCILLIN,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL1660,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1660,RIFAPENTINE,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL204656,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL204656,ELVITEGRAVIR,http://rdf.ebi.ac.uk/terms/chembl#SmallMolecule
CHEMBL2108350,http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2108350,CONESTAT ALFA,http://rdf.ebi.ac.uk/terms/chembl#ProteinMolecule
