"source","source_type","target","target_type"
"DOID_7551","disease","ENSG00000058085","gene"
"DOID_7551","disease","ENSG00000091831","gene"
"DOID_7551","disease","ENSG00000102755","gene"
"DOID_7551","disease","ENSG00000105329","gene"
"DOID_7551","disease","ENSG00000112115","gene"
"DOID_7551","disease","ENSG00000119888","gene"
"DOID_7551","disease","ENSG00000012779","gene"
"DOID_7551","disease","ENSG00000068024","gene"
"DOID_7551","disease","ENSG00000082701","gene"
"DOID_7551","disease","ENSG00000092969","gene"
"DOID_7551","disease","ENSG00000100387","gene"
"DOID_7551","disease","ENSG00000101076","gene"
"DOID_7551","disease","ENSG00000133742","gene"
"DOID_7551","disease","ENSG00000146648","gene"
"DOID_7551","disease","ENSG00000164692","gene"
"DOID_7551","disease","ENSG00000171105","gene"
"DOID_7551","disease","ENSG00000176890","gene"
"DOID_7551","disease","ENSG00000182578","gene"
"DOID_7551","disease","ENSG00000232810","gene"
"DOID_7551","disease","ENSG00000073756","gene"
"DOID_7551","disease","ENSG00000115594","gene"
"DOID_7551","disease","ENSG00000134318","gene"
"DOID_7551","disease","ENSG00000134871","gene"
"DOID_7551","disease","ENSG00000143799","gene"
"DOID_7551","disease","ENSG00000160712","gene"
"DOID_7551","disease","ENSG00000163558","gene"
"DOID_7551","disease","ENSG00000169083","gene"
"DOID_7551","disease","ENSG00000177455","gene"
"DOID_7551","disease","ENSG00000189221","gene"
"DOID_7551","disease","ENSG00000196411","gene"
"DOID_7551","disease","ENSG00000197122","gene"
"DOID_7551","disease","ENSG00000067900","gene"
"DOID_7551","disease","ENSG00000105675","gene"
"DOID_7551","disease","ENSG00000110799","gene"
"DOID_7551","disease","ENSG00000112715","gene"
"DOID_7551","disease","ENSG00000120907","gene"
"DOID_7551","disease","ENSG00000157184","gene"
"DOID_7551","disease","ENSG00000197565","gene"
"DOID_7551","disease","ENSG00000254087","gene"
"DOID_7551","disease","ENSG00000077514","gene"
"DOID_7551","disease","ENSG00000077782","gene"
"DOID_7551","disease","ENSG00000082898","gene"
"DOID_7551","disease","ENSG00000108821","gene"
"DOID_7551","disease","ENSG00000108839","gene"
"DOID_7551","disease","ENSG00000132170","gene"
"DOID_7551","disease","ENSG00000133216","gene"
"DOID_7551","disease","ENSG00000139842","gene"
"DOID_7551","disease","ENSG00000140009","gene"
"DOID_7551","disease","ENSG00000151067","gene"
"DOID_7551","disease","ENSG00000170214","gene"
"DOID_7551","disease","ENSG00000183813","gene"
"DOID_7551","disease","ENSG00000186010","gene"
"DOID_7551","disease","ENSG00000239732","gene"
"DOID_7551","disease","ENSG00000066468","gene"
"DOID_7551","disease","ENSG00000103546","gene"
"DOID_7551","disease","ENSG00000134460","gene"
"DOID_7551","disease","ENSG00000147099","gene"
"DOID_7551","disease","ENSG00000160791","gene"
"DOID_7551","disease","ENSG00000167325","gene"
"DOID_7551","disease","ENSG00000171873","gene"
"DOID_7551","disease","ENSG00000182580","gene"
"DOID_7551","disease","ENSG00000082175","gene"
"DOID_7551","disease","ENSG00000085662","gene"
"DOID_7551","disease","ENSG00000099795","gene"
"DOID_7551","disease","ENSG00000113302","gene"
"DOID_7551","disease","ENSG00000119535","gene"
"DOID_7551","disease","ENSG00000120457","gene"
"DOID_7551","disease","ENSG00000131759","gene"
"DOID_7551","disease","ENSG00000143839","gene"
"DOID_7551","disease","ENSG00000148053","gene"
"DOID_7551","disease","ENSG00000167601","gene"
