"source","source_type","target","target_type"
"DOID_7551","disease","OTAR_0000017","therapeutic_area"
"DOID_7551","disease","EFO_0005741","therapeutic_area"
"DOID_7551","disease","EFO_0009690","therapeutic_area"
"HP_0000031","disease","EFO_0000651","therapeutic_area"
"HP_0000857","disease","EFO_0000651","therapeutic_area"
"HP_0000857","disease","MONDO_0024297","therapeutic_area"
"HP_0000857","disease","EFO_0001379","therapeutic_area"
"HP_0000857","disease","EFO_0009605","therapeutic_area"
"HP_0000857","disease","EFO_0010282","therapeutic_area"
"HP_0012076","disease","EFO_0000651","therapeutic_area"
"MONDO_0003243","disease","EFO_0001379","therapeutic_area"
"MONDO_0003243","disease","EFO_0010282","therapeutic_area"
"MONDO_0003243","disease","MONDO_0045024","therapeutic_area"
"MONDO_0030006","disease","MONDO_0024297","therapeutic_area"
"MONDO_0030006","disease","OTAR_0000018","therapeutic_area"
"HP_0000282","disease","EFO_0000651","therapeutic_area"
"HP_0000520","disease","EFO_0000651","therapeutic_area"
"HP_0000802","disease","EFO_0000651","therapeutic_area"
"HP_0004443","disease","EFO_0000651","therapeutic_area"
"HP_0200055","disease","EFO_0000651","therapeutic_area"
"MONDO_0009213","disease","EFO_0009690","therapeutic_area"
"MONDO_0009213","disease","MONDO_0024297","therapeutic_area"
"MONDO_0009213","disease","OTAR_0000006","therapeutic_area"
"MONDO_0009213","disease","OTAR_0000018","therapeutic_area"
"MONDO_0009213","disease","EFO_0005803","therapeutic_area"
"MONDO_0009213","disease","EFO_0010285","therapeutic_area"
"MONDO_0021116","disease","OTAR_0000017","therapeutic_area"
"MONDO_0021116","disease","OTAR_0000010","therapeutic_area"
"MONDO_0021116","disease","MONDO_0045024","therapeutic_area"
"MONDO_0021116","disease","EFO_0010285","therapeutic_area"
"MONDO_0021487","disease","EFO_0000319","therapeutic_area"
"MONDO_0021487","disease","MONDO_0045024","therapeutic_area"
"MONDO_0021487","disease","EFO_0000618","therapeutic_area"
"MONDO_0021487","disease","MONDO_0024458","therapeutic_area"
"MONDO_0023692","disease","MONDO_0024297","therapeutic_area"
"MONDO_0023692","disease","OTAR_0000018","therapeutic_area"
"EFO_0000781","disease","EFO_0005741","therapeutic_area"
"HP_0001310","disease","EFO_0000651","therapeutic_area"
"HP_0001591","disease","EFO_0000651","therapeutic_area"
"HP_0002035","disease","EFO_0000651","therapeutic_area"
"HP_0002576","disease","EFO_0000651","therapeutic_area"
"HP_0008909","disease","EFO_0000651","therapeutic_area"
"HP_0011097","disease","EFO_0000651","therapeutic_area"
"HP_0012430","disease","EFO_0000651","therapeutic_area"
"HP_0012470","disease","EFO_0000651","therapeutic_area"
"MONDO_0002203","disease","EFO_0010282","therapeutic_area"
"MONDO_0004392","disease","MONDO_0045024","therapeutic_area"
"MONDO_0004392","disease","EFO_0000618","therapeutic_area"
"MONDO_0012806","disease","MONDO_0045024","therapeutic_area"
"MONDO_0012806","disease","OTAR_0000018","therapeutic_area"
"MONDO_0012806","disease","EFO_0010285","therapeutic_area"
"MONDO_0012806","disease","MONDO_0024458","therapeutic_area"
"MONDO_0012806","disease","EFO_0000540","therapeutic_area"
"MONDO_0024620","disease","EFO_0005741","therapeutic_area"
