"source","source_type","target","target_type"
"CHEMBL1200656","drug","Small molecule","drug_type"
"CHEMBL1201746","drug","Small molecule","drug_type"
"CHEMBL1231","drug","Small molecule","drug_type"
"CHEMBL139367","drug","Small molecule","drug_type"
"CHEMBL1585","drug","Small molecule","drug_type"
"CHEMBL2023898","drug","Small molecule","drug_type"
"CHEMBL3545185","drug","Small molecule","drug_type"
"CHEMBL4524066","drug","Protein","drug_type"
"CHEMBL466659","drug","Small molecule","drug_type"
"CHEMBL468","drug","Small molecule","drug_type"
"CHEMBL471737","drug","Small molecule","drug_type"
"CHEMBL524","drug","Small molecule","drug_type"
"CHEMBL850","drug","Small molecule","drug_type"
"CHEMBL852","drug","Small molecule","drug_type"
"CHEMBL888","drug","Small molecule","drug_type"
"CHEMBL900","drug","Small molecule","drug_type"
"CHEMBL959","drug","Small molecule","drug_type"
"CHEMBL1091","drug","Small molecule","drug_type"
"CHEMBL117287","drug","Small molecule","drug_type"
"CHEMBL1201827","drug","Antibody","drug_type"
"CHEMBL1336","drug","Small molecule","drug_type"
"CHEMBL1619785","drug","Small molecule","drug_type"
"CHEMBL2105745","drug","Small molecule","drug_type"
"CHEMBL2308885","drug","Small molecule","drug_type"
"CHEMBL24147","drug","Small molecule","drug_type"
"CHEMBL267936","drug","Small molecule","drug_type"
"CHEMBL3137320","drug","Small molecule","drug_type"
"CHEMBL364713","drug","Small molecule","drug_type"
"CHEMBL457299","drug","Small molecule","drug_type"
"CHEMBL553","drug","Small molecule","drug_type"
"CHEMBL762","drug","Small molecule","drug_type"
"CHEMBL87493","drug","Small molecule","drug_type"
"CHEMBL940","drug","Small molecule","drug_type"
"CHEMBL979","drug","Small molecule","drug_type"
"CHEMBL112","drug","Small molecule","drug_type"
"CHEMBL1201486","drug","Small molecule","drug_type"
"CHEMBL1233","drug","Small molecule","drug_type"
"CHEMBL141","drug","Small molecule","drug_type"
"CHEMBL1449","drug","Small molecule","drug_type"
"CHEMBL1660","drug","Small molecule","drug_type"
"CHEMBL204656","drug","Small molecule","drug_type"
"CHEMBL2108350","drug","Protein","drug_type"
"CHEMBL2108938","drug","Small molecule","drug_type"
"CHEMBL2109005","drug","Small molecule","drug_type"
"CHEMBL2110805","drug","Small molecule","drug_type"
"CHEMBL21731","drug","Small molecule","drug_type"
"CHEMBL30","drug","Small molecule","drug_type"
"CHEMBL3545131","drug","Antibody","drug_type"
"CHEMBL3707352","drug","Small molecule","drug_type"
"CHEMBL45029","drug","Small molecule","drug_type"
"CHEMBL525076","drug","Protein","drug_type"
"CHEMBL567","drug","Small molecule","drug_type"
"CHEMBL570","drug","Small molecule","drug_type"
"CHEMBL1201284","drug","Small molecule","drug_type"
"CHEMBL1201460","drug","Oligosaccharide","drug_type"
"CHEMBL1201479","drug","Small molecule","drug_type"
"CHEMBL1201666","drug","Protein","drug_type"
"CHEMBL1201749","drug","Small molecule","drug_type"
"CHEMBL1237132","drug","Small molecule","drug_type"
"CHEMBL1257073","drug","Small molecule","drug_type"
"CHEMBL1484","drug","Small molecule","drug_type"
"CHEMBL1504","drug","Small molecule","drug_type"
"CHEMBL1580","drug","Small molecule","drug_type"
"CHEMBL1581","drug","Small molecule","drug_type"
"CHEMBL17","drug","Small molecule","drug_type"
"CHEMBL1742996","drug","Antibody","drug_type"
"CHEMBL2108222","drug","Unknown","drug_type"
"CHEMBL2336071","drug","Small molecule","drug_type"
"CHEMBL30116","drug","Small molecule","drug_type"
"CHEMBL3286830","drug","Small molecule","drug_type"
"CHEMBL3301587","drug","Antibody","drug_type"
"CHEMBL521686","drug","Small molecule","drug_type"
"CHEMBL70","drug","Small molecule","drug_type"
