"source","source_type","target","target_type"
"CHEMBL1201746","drug","ENSG00000228716","gene"
"CHEMBL1231","drug","ENSG00000133019","gene"
"CHEMBL1231","drug","ENSG00000181072","gene"
"CHEMBL3545185","drug","ENSG00000082898","gene"
"CHEMBL4524066","drug","ENSG00000112164","gene"
"CHEMBL468","drug","ENSG00000113851","gene"
"CHEMBL468","drug","ENSG00000100387","gene"
"CHEMBL468","drug","ENSG00000167986","gene"
"CHEMBL468","drug","ENSG00000139842","gene"
"CHEMBL471737","drug","ENSG00000138622","gene"
"CHEMBL524","drug","ENSG00000120907","gene"
"CHEMBL524","drug","ENSG00000170214","gene"
"CHEMBL524","drug","ENSG00000171873","gene"
"CHEMBL888","drug","ENSG00000106628","gene"
"CHEMBL888","drug","ENSG00000100479","gene"
"CHEMBL888","drug","ENSG00000146143","gene"
"CHEMBL888","drug","ENSG00000077514","gene"
"CHEMBL888","drug","ENSG00000167325","gene"
"CHEMBL888","drug","ENSG00000148229","gene"
"CHEMBL888","drug","ENSG00000177084","gene"
"CHEMBL888","drug","ENSG00000175482","gene"
"CHEMBL888","drug","ENSG00000062822","gene"
"CHEMBL888","drug","ENSG00000101868","gene"
"CHEMBL888","drug","ENSG00000198056","gene"
"CHEMBL888","drug","ENSG00000014138","gene"
"CHEMBL900","drug","ENSG00000273079","gene"
"CHEMBL900","drug","ENSG00000168356","gene"
"CHEMBL900","drug","ENSG00000198785","gene"
"CHEMBL900","drug","ENSG00000144285","gene"
"CHEMBL900","drug","ENSG00000176884","gene"
"CHEMBL900","drug","ENSG00000183873","gene"
"CHEMBL900","drug","ENSG00000103546","gene"
"CHEMBL900","drug","ENSG00000196876","gene"
"CHEMBL900","drug","ENSG00000183454","gene"
"CHEMBL900","drug","ENSG00000185313","gene"
"CHEMBL900","drug","ENSG00000105464","gene"
"CHEMBL900","drug","ENSG00000136531","gene"
"CHEMBL900","drug","ENSG00000116032","gene"
"CHEMBL900","drug","ENSG00000153253","gene"
"CHEMBL900","drug","ENSG00000007314","gene"
"CHEMBL900","drug","ENSG00000136546","gene"
"CHEMBL900","drug","ENSG00000169432","gene"
"CHEMBL900","drug","ENSG00000196639","gene"
"CHEMBL900","drug","ENSG00000161509","gene"
"CHEMBL1091","drug","ENSG00000113580","gene"
"CHEMBL117287","drug","ENSG00000164270","gene"
"CHEMBL1201827","drug","ENSG00000146648","gene"
"CHEMBL1336","drug","ENSG00000102755","gene"
"CHEMBL1336","drug","ENSG00000122025","gene"
"CHEMBL1336","drug","ENSG00000113721","gene"
"CHEMBL1336","drug","ENSG00000165731","gene"
"CHEMBL1336","drug","ENSG00000157404","gene"
"CHEMBL1336","drug","ENSG00000128052","gene"
"CHEMBL1336","drug","ENSG00000132155","gene"
"CHEMBL1336","drug","ENSG00000037280","gene"
"CHEMBL1336","drug","ENSG00000157764","gene"
"CHEMBL267936","drug","ENSG00000117971","gene"
"CHEMBL267936","drug","ENSG00000080644","gene"
"CHEMBL3137320","drug","ENSG00000129484","gene"
"CHEMBL3137320","drug","ENSG00000143799","gene"
"CHEMBL553","drug","ENSG00000146648","gene"
"CHEMBL762","drug","ENSG00000120907","gene"
"CHEMBL762","drug","ENSG00000170214","gene"
"CHEMBL762","drug","ENSG00000184160","gene"
"CHEMBL762","drug","ENSG00000171873","gene"
"CHEMBL762","drug","ENSG00000150594","gene"
"CHEMBL762","drug","ENSG00000274286","gene"
"CHEMBL87493","drug","ENSG00000147246","gene"
"CHEMBL87493","drug","ENSG00000147955","gene"
"CHEMBL87493","drug","ENSG00000179546","gene"
"CHEMBL940","drug","ENSG00000153956","gene"
"CHEMBL979","drug","ENSG00000022355","gene"
"CHEMBL979","drug","ENSG00000145864","gene"
"CHEMBL979","drug","ENSG00000166206","gene"
"CHEMBL979","drug","ENSG00000011677","gene"
"CHEMBL979","drug","ENSG00000145863","gene"
"CHEMBL979","drug","ENSG00000163288","gene"
"CHEMBL979","drug","ENSG00000186297","gene"
"CHEMBL979","drug","ENSG00000109158","gene"
"CHEMBL979","drug","ENSG00000151834","gene"
