"source","source_type","target","target_type"
"ENSG00000004948","gene","R-HSA-418555","reactome"
"ENSG00000004948","gene","R-HSA-419812","reactome"
"ENSG00000004948","gene","R-HSA-9660821","reactome"
"ENSG00000006071","gene","R-HSA-1296025","reactome"
"ENSG00000006071","gene","R-HSA-422356","reactome"
"ENSG00000006071","gene","R-HSA-5683177","reactome"
"ENSG00000022355","gene","R-HSA-1236394","reactome"
"ENSG00000022355","gene","R-HSA-977443","reactome"
"ENSG00000048462","gene","R-HSA-5669034","reactome"
"ENSG00000058085","gene","R-HSA-1474228","reactome"
"ENSG00000058085","gene","R-HSA-2022090","reactome"
"ENSG00000058085","gene","R-HSA-2214320","reactome"
"ENSG00000058085","gene","R-HSA-3000157","reactome"
"ENSG00000058085","gene","R-HSA-3000171","reactome"
"ENSG00000058085","gene","R-HSA-446107","reactome"
"ENSG00000058085","gene","R-HSA-8874081","reactome"
"ENSG00000065325","gene","R-HSA-418555","reactome"
"ENSG00000065325","gene","R-HSA-9660821","reactome"
"ENSG00000065325","gene","R-HSA-420092","reactome"
"ENSG00000090266","gene","R-HSA-611105","reactome"
"ENSG00000090266","gene","R-HSA-6799198","reactome"
"ENSG00000091831","gene","R-HSA-1251985","reactome"
"ENSG00000091831","gene","R-HSA-1257604","reactome"
"ENSG00000091831","gene","R-HSA-2219530","reactome"
"ENSG00000091831","gene","R-HSA-383280","reactome"
"ENSG00000091831","gene","R-HSA-4090294","reactome"
"ENSG00000091831","gene","R-HSA-5689896","reactome"
"ENSG00000091831","gene","R-HSA-6811558","reactome"
"ENSG00000091831","gene","R-HSA-8866910","reactome"
"ENSG00000091831","gene","R-HSA-8931987","reactome"
"ENSG00000091831","gene","R-HSA-8939211","reactome"
"ENSG00000091831","gene","R-HSA-8939256","reactome"
"ENSG00000091831","gene","R-HSA-8939902","reactome"
"ENSG00000091831","gene","R-HSA-9009391","reactome"
"ENSG00000091831","gene","R-HSA-9018519","reactome"
"ENSG00000100346","gene","R-HSA-419037","reactome"
"ENSG00000101162","gene","R-HSA-1445148","reactome"
"ENSG00000101162","gene","R-HSA-190840","reactome"
"ENSG00000101162","gene","R-HSA-190861","reactome"
"ENSG00000101162","gene","R-HSA-2132295","reactome"
"ENSG00000101162","gene","R-HSA-2467813","reactome"
"ENSG00000101162","gene","R-HSA-2500257","reactome"
"ENSG00000101162","gene","R-HSA-3371497","reactome"
"ENSG00000101162","gene","R-HSA-380320","reactome"
"ENSG00000101162","gene","R-HSA-389957","reactome"
"ENSG00000101162","gene","R-HSA-389960","reactome"
"ENSG00000101162","gene","R-HSA-389977","reactome"
"ENSG00000101162","gene","R-HSA-437239","reactome"
"ENSG00000101162","gene","R-HSA-5610787","reactome"
"ENSG00000101162","gene","R-HSA-5617833","reactome"
"ENSG00000101162","gene","R-HSA-5620924","reactome"
"ENSG00000101162","gene","R-HSA-5626467","reactome"
"ENSG00000101162","gene","R-HSA-5663220","reactome"
"ENSG00000101162","gene","R-HSA-6807878","reactome"
"ENSG00000101162","gene","R-HSA-6811434","reactome"
"ENSG00000101162","gene","R-HSA-6811436","reactome"
"ENSG00000101162","gene","R-HSA-68877","reactome"
"ENSG00000101162","gene","R-HSA-8852276","reactome"
"ENSG00000101162","gene","R-HSA-8955332","reactome"
"ENSG00000101162","gene","R-HSA-9609690","reactome"
"ENSG00000101162","gene","R-HSA-9609736","reactome"
"ENSG00000101162","gene","R-HSA-9619483","reactome"
"ENSG00000101162","gene","R-HSA-9646399","reactome"
"ENSG00000101162","gene","R-HSA-9648025","reactome"
"ENSG00000101162","gene","R-HSA-9668328","reactome"
"ENSG00000101162","gene","R-HSA-983189","reactome"
"ENSG00000102755","gene","R-HSA-194306","reactome"
"ENSG00000102755","gene","R-HSA-195399","reactome"
"ENSG00000106628","gene","R-HSA-110314","reactome"
"ENSG00000106628","gene","R-HSA-174411","reactome"
"ENSG00000106628","gene","R-HSA-174414","reactome"
"ENSG00000106628","gene","R-HSA-174417","reactome"
"ENSG00000106628","gene","R-HSA-174437","reactome"
"ENSG00000106628","gene","R-HSA-5358565","reactome"
"ENSG00000106628","gene","R-HSA-5358606","reactome"
"ENSG00000106628","gene","R-HSA-5651801","reactome"
"ENSG00000106628","gene","R-HSA-5656169","reactome"
"ENSG00000106628","gene","R-HSA-5685942","reactome"
"ENSG00000106628","gene","R-HSA-5696397","reactome"
"ENSG00000106628","gene","R-HSA-5696400","reactome"
"ENSG00000106628","gene","R-HSA-6782135","reactome"
"ENSG00000106628","gene","R-HSA-6782210","reactome"
"ENSG00000106628","gene","R-HSA-69091","reactome"
"ENSG00000106628","gene","R-HSA-69166","reactome"
"ENSG00000106628","gene","R-HSA-69183","reactome"
"ENSG00000109390","gene","R-HSA-611105","reactome"
"ENSG00000109390","gene","R-HSA-6799198","reactome"
"ENSG00000112033","gene","R-HSA-383280","reactome"
"ENSG00000112033","gene","R-HSA-200425","reactome"
"ENSG00000112033","gene","R-HSA-204174","reactome"
"ENSG00000112033","gene","R-HSA-5362517","reactome"
"ENSG00000112115","gene","R-HSA-448424","reactome"
"ENSG00000112115","gene","R-HSA-6785807","reactome"
"ENSG00000113161","gene","R-HSA-191273","reactome"
"ENSG00000113161","gene","R-HSA-1989781","reactome"
"ENSG00000113161","gene","R-HSA-2426168","reactome"
"ENSG00000113161","gene","R-HSA-9619665","reactome"
"ENSG00000113851","gene","R-HSA-9679191","reactome"
"ENSG00000115252","gene","R-HSA-418555","reactome"
"ENSG00000115252","gene","R-HSA-111957","reactome"
"ENSG00000115252","gene","R-HSA-418457","reactome"
"ENSG00000115353","gene","R-HSA-380095","reactome"
"ENSG00000115353","gene","R-HSA-416476","reactome"
"ENSG00000115353","gene","R-HSA-8856825","reactome"
"ENSG00000115353","gene","R-HSA-8856828","reactome"
"ENSG00000115705","gene","R-HSA-209968","reactome"
"ENSG00000117971","gene","R-HSA-629587","reactome"
"ENSG00000117971","gene","R-HSA-629594","reactome"
"ENSG00000117971","gene","R-HSA-629597","reactome"
"ENSG00000117971","gene","R-HSA-6798695","reactome"
"ENSG00000119888","gene","R-HSA-202733","reactome"
"ENSG00000122025","gene","R-HSA-1257604","reactome"
"ENSG00000122025","gene","R-HSA-2219530","reactome"
"ENSG00000122025","gene","R-HSA-6811558","reactome"
"ENSG00000122025","gene","R-HSA-109704","reactome"
"ENSG00000122025","gene","R-HSA-5673001","reactome"
"ENSG00000122025","gene","R-HSA-9607240","reactome"
"ENSG00000122025","gene","R-HSA-9645135","reactome"
"ENSG00000122025","gene","R-HSA-9702509","reactome"
"ENSG00000122025","gene","R-HSA-9702518","reactome"
"ENSG00000122025","gene","R-HSA-9702569","reactome"
"ENSG00000122025","gene","R-HSA-9702577","reactome"
"ENSG00000122025","gene","R-HSA-9702581","reactome"
"ENSG00000122025","gene","R-HSA-9702590","reactome"
"ENSG00000122025","gene","R-HSA-9702596","reactome"
"ENSG00000122025","gene","R-HSA-9702600","reactome"
"ENSG00000122025","gene","R-HSA-9702605","reactome"
"ENSG00000122025","gene","R-HSA-9702614","reactome"
"ENSG00000122025","gene","R-HSA-9702620","reactome"
"ENSG00000122025","gene","R-HSA-9702624","reactome"
"ENSG00000122025","gene","R-HSA-9702632","reactome"
"ENSG00000122025","gene","R-HSA-9702636","reactome"
"ENSG00000122025","gene","R-HSA-9702998","reactome"
"ENSG00000122025","gene","R-HSA-9703009","reactome"
"ENSG00000122025","gene","R-HSA-9703648","reactome"
"ENSG00000122025","gene","R-HSA-9706369","reactome"
"ENSG00000122025","gene","R-HSA-9706374","reactome"
"ENSG00000122025","gene","R-HSA-9706377","reactome"
"ENSG00000125675","gene","R-HSA-399710","reactome"
"ENSG00000125675","gene","R-HSA-399719","reactome"
"ENSG00000125675","gene","R-HSA-416993","reactome"
"ENSG00000125675","gene","R-HSA-438066","reactome"
"ENSG00000125675","gene","R-HSA-8849932","reactome"
"ENSG00000130433","gene","R-HSA-5576892","reactome"
"ENSG00000130433","gene","R-HSA-5576893","reactome"
"ENSG00000135914","gene","R-HSA-416476","reactome"
"ENSG00000135914","gene","R-HSA-390666","reactome"
"ENSG00000137252","gene","R-HSA-416476","reactome"
"ENSG00000137252","gene","R-HSA-389397","reactome"
"ENSG00000155511","gene","R-HSA-399710","reactome"
"ENSG00000155511","gene","R-HSA-399719","reactome"
"ENSG00000155511","gene","R-HSA-416993","reactome"
"ENSG00000155511","gene","R-HSA-438066","reactome"
"ENSG00000155511","gene","R-HSA-8849932","reactome"
"ENSG00000155511","gene","R-HSA-204005","reactome"
"ENSG00000155511","gene","R-HSA-5694530","reactome"
"ENSG00000155511","gene","R-HSA-9620244","reactome"
"ENSG00000156973","gene","R-HSA-5624958","reactome"
"ENSG00000156973","gene","R-HSA-9648002","reactome"
"ENSG00000157103","gene","R-HSA-442660","reactome"
"ENSG00000157103","gene","R-HSA-888593","reactome"
"ENSG00000158125","gene","R-HSA-74259","reactome"
"ENSG00000158125","gene","R-HSA-8851680","reactome"
"ENSG00000158748","gene","R-HSA-418555","reactome"
"ENSG00000158748","gene","R-HSA-9660821","reactome"
"ENSG00000158748","gene","R-HSA-390666","reactome"
"ENSG00000159164","gene","R-HSA-5250955","reactome"
"ENSG00000159164","gene","R-HSA-5250968","reactome"
"ENSG00000159164","gene","R-HSA-5250981","reactome"
"ENSG00000159164","gene","R-HSA-5250992","reactome"
"ENSG00000167658","gene","R-HSA-6798695","reactome"
"ENSG00000167658","gene","R-HSA-156902","reactome"
"ENSG00000167658","gene","R-HSA-5336415","reactome"
"ENSG00000167658","gene","R-HSA-5358493","reactome"
"ENSG00000167658","gene","R-HSA-8876725","reactome"
"ENSG00000170425","gene","R-HSA-418555","reactome"
"ENSG00000170425","gene","R-HSA-9660821","reactome"
"ENSG00000170425","gene","R-HSA-417973","reactome"
"ENSG00000170425","gene","R-HSA-5683826","reactome"
"ENSG00000170759","gene","R-HSA-2132295","reactome"
"ENSG00000170759","gene","R-HSA-6811434","reactome"
"ENSG00000170759","gene","R-HSA-983189","reactome"
"ENSG00000170759","gene","R-HSA-264876","reactome"
"ENSG00000170759","gene","R-HSA-5625970","reactome"
"ENSG00000198049","gene","R-HSA-416476","reactome"
"ENSG00000198049","gene","R-HSA-388479","reactome"
"ENSG00000198049","gene","R-HSA-5619099","reactome"
"ENSG00000198851","gene","R-HSA-198933","reactome"
"ENSG00000198851","gene","R-HSA-202424","reactome"
"ENSG00000198851","gene","R-HSA-202427","reactome"
"ENSG00000198851","gene","R-HSA-202430","reactome"
"ENSG00000198851","gene","R-HSA-202433","reactome"
"ENSG00000198851","gene","R-HSA-389948","reactome"
"ENSG00000211891","gene","R-HSA-6785807","reactome"
"ENSG00000211891","gene","R-HSA-2454202","reactome"
"ENSG00000211891","gene","R-HSA-2730905","reactome"
"ENSG00000211891","gene","R-HSA-2871796","reactome"
"ENSG00000211891","gene","R-HSA-2871809","reactome"
"ENSG00000211891","gene","R-HSA-2871837","reactome"
"ENSG00000273079","gene","R-HSA-9609736","reactome"
"ENSG00000273079","gene","R-HSA-5673001","reactome"
"ENSG00000273079","gene","R-HSA-438066","reactome"
"ENSG00000273079","gene","R-HSA-8849932","reactome"
"ENSG00000273079","gene","R-HSA-9620244","reactome"
"ENSG00000273079","gene","R-HSA-3928662","reactome"
"ENSG00000273079","gene","R-HSA-442982","reactome"
"ENSG00000273079","gene","R-HSA-6794361","reactome"
"ENSG00000273079","gene","R-HSA-9022699","reactome"
"ENSG00000273079","gene","R-HSA-9032500","reactome"
"ENSG00000273079","gene","R-HSA-9617324","reactome"
"ENSG00000006116","gene","R-HSA-399719","reactome"
"ENSG00000006116","gene","R-HSA-5682910","reactome"
"ENSG00000006283","gene","R-HSA-419037","reactome"
"ENSG00000012779","gene","R-HSA-6785807","reactome"
"ENSG00000012779","gene","R-HSA-6798695","reactome"
"ENSG00000012779","gene","R-HSA-2142688","reactome"
"ENSG00000012779","gene","R-HSA-2142691","reactome"
"ENSG00000012779","gene","R-HSA-2142700","reactome"
"ENSG00000012779","gene","R-HSA-9012546","reactome"
"ENSG00000012779","gene","R-HSA-9018676","reactome"
"ENSG00000012779","gene","R-HSA-9018682","reactome"
"ENSG00000012779","gene","R-HSA-9018896","reactome"
"ENSG00000012779","gene","R-HSA-9020265","reactome"
"ENSG00000012779","gene","R-HSA-9023661","reactome"
"ENSG00000012779","gene","R-HSA-9026286","reactome"
"ENSG00000012779","gene","R-HSA-9026290","reactome"
"ENSG00000012779","gene","R-HSA-9026403","reactome"
"ENSG00000012779","gene","R-HSA-9027604","reactome"
"ENSG00000068024","gene","R-HSA-4090294","reactome"
"ENSG00000068024","gene","R-HSA-2122947","reactome"
"ENSG00000068024","gene","R-HSA-2644606","reactome"
"ENSG00000068024","gene","R-HSA-2894862","reactome"
"ENSG00000068024","gene","R-HSA-350054","reactome"
"ENSG00000068024","gene","R-HSA-4551638","reactome"
"ENSG00000068024","gene","R-HSA-8941284","reactome"
"ENSG00000068024","gene","R-HSA-8951936","reactome"
