radboudsource,sourceguid,target,targetguid,targetlabel
ENSG00000004948,http://purl.uniprot.org/uniprot/P19793,R-HSA-418555,http://identifiers.org/reactome/R-HSA-418555,G alpha (s) signalling events
ENSG00000004948,http://purl.uniprot.org/uniprot/P19793,R-HSA-419812,http://identifiers.org/reactome/R-HSA-419812,Calcitonin-like ligand receptors
ENSG00000004948,http://purl.uniprot.org/uniprot/P19793,R-HSA-9660821,http://identifiers.org/reactome/R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production
ENSG00000006071,http://purl.uniprot.org/uniprot/Q01668,R-HSA-1296025,http://identifiers.org/reactome/R-HSA-1296025,ATP sensitive Potassium channels
ENSG00000006071,http://purl.uniprot.org/uniprot/Q01668,R-HSA-422356,http://identifiers.org/reactome/R-HSA-422356,Regulation of insulin secretion
ENSG00000006071,http://purl.uniprot.org/uniprot/Q01668,R-HSA-5683177,http://identifiers.org/reactome/R-HSA-5683177,Defective ABCC8 can cause hypo- and hyper-glycemias
ENSG00000022355,http://purl.uniprot.org/uniprot/P11511,R-HSA-1236394,http://identifiers.org/reactome/R-HSA-1236394,Signaling by ERBB4
ENSG00000022355,http://purl.uniprot.org/uniprot/P11511,R-HSA-977443,http://identifiers.org/reactome/R-HSA-977443,GABA receptor activation
ENSG00000048462,http://purl.uniprot.org/uniprot/P07948,R-HSA-5669034,http://identifiers.org/reactome/R-HSA-5669034,TNFs bind their physiological receptors
ENSG00000058085,http://purl.uniprot.org/uniprot/P22888,R-HSA-1474228,http://identifiers.org/reactome/R-HSA-1474228,Degradation of the extracellular matrix
ENSG00000058085,http://purl.uniprot.org/uniprot/P22888,R-HSA-2022090,http://identifiers.org/reactome/R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures
ENSG00000058085,http://purl.uniprot.org/uniprot/P22888,R-HSA-2214320,http://identifiers.org/reactome/R-HSA-2214320,Anchoring fibril formation
ENSG00000058085,http://purl.uniprot.org/uniprot/P22888,R-HSA-3000157,http://identifiers.org/reactome/R-HSA-3000157,Laminin interactions
ENSG00000058085,http://purl.uniprot.org/uniprot/P22888,R-HSA-3000171,http://identifiers.org/reactome/R-HSA-3000171,Non-integrin membrane-ECM interactions
ENSG00000058085,http://purl.uniprot.org/uniprot/P22888,R-HSA-446107,http://identifiers.org/reactome/R-HSA-446107,Type I hemidesmosome assembly
ENSG00000058085,http://purl.uniprot.org/uniprot/P22888,R-HSA-8874081,http://identifiers.org/reactome/R-HSA-8874081,MET activates PTK2 signaling
ENSG00000065325,http://purl.uniprot.org/uniprot/Q01959,R-HSA-418555,http://identifiers.org/reactome/R-HSA-418555,G alpha (s) signalling events
ENSG00000065325,http://purl.uniprot.org/uniprot/Q01959,R-HSA-9660821,http://identifiers.org/reactome/R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production
ENSG00000065325,http://purl.uniprot.org/uniprot/Q01959,R-HSA-420092,http://identifiers.org/reactome/R-HSA-420092,Glucagon-type ligand receptors
ENSG00000090266,http://purl.uniprot.org/uniprot/P02452,R-HSA-611105,http://identifiers.org/reactome/R-HSA-611105,Respiratory electron transport
ENSG00000090266,http://purl.uniprot.org/uniprot/P02452,R-HSA-6799198,http://identifiers.org/reactome/R-HSA-6799198,Complex I biogenesis
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-1251985,http://identifiers.org/reactome/R-HSA-1251985,Nuclear signaling by ERBB4
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-1257604,http://identifiers.org/reactome/R-HSA-1257604,PIP3 activates AKT signaling
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-2219530,http://identifiers.org/reactome/R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-383280,http://identifiers.org/reactome/R-HSA-383280,Nuclear Receptor transcription pathway
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-4090294,http://identifiers.org/reactome/R-HSA-4090294,SUMOylation of intracellular receptors
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-5689896,http://identifiers.org/reactome/R-HSA-5689896,Ovarian tumor domain proteases
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-6811558,http://identifiers.org/reactome/R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-8866910,http://identifiers.org/reactome/R-HSA-8866910,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-8931987,http://identifiers.org/reactome/R-HSA-8931987,RUNX1 regulates estrogen receptor mediated transcription
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-8939211,http://identifiers.org/reactome/R-HSA-8939211,ESR-mediated signaling
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-8939256,http://identifiers.org/reactome/R-HSA-8939256,RUNX1 regulates transcription of genes involved in WNT signaling
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-8939902,http://identifiers.org/reactome/R-HSA-8939902,Regulation of RUNX2 expression and activity
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-9009391,http://identifiers.org/reactome/R-HSA-9009391,Extra-nuclear estrogen signaling
ENSG00000091831,http://purl.uniprot.org/uniprot/P13637,R-HSA-9018519,http://identifiers.org/reactome/R-HSA-9018519,Estrogen-dependent gene expression
ENSG00000100346,http://purl.uniprot.org/uniprot/P10721,R-HSA-419037,http://identifiers.org/reactome/R-HSA-419037,NCAM1 interactions
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-1445148,http://identifiers.org/reactome/R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-190840,http://identifiers.org/reactome/R-HSA-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-190861,http://identifiers.org/reactome/R-HSA-190861,Gap junction assembly
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-2132295,http://identifiers.org/reactome/R-HSA-2132295,MHC class II antigen presentation
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-2467813,http://identifiers.org/reactome/R-HSA-2467813,Separation of Sister Chromatids
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-2500257,http://identifiers.org/reactome/R-HSA-2500257,Resolution of Sister Chromatid Cohesion
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-3371497,http://identifiers.org/reactome/R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-380320,http://identifiers.org/reactome/R-HSA-380320,Recruitment of NuMA to mitotic centrosomes
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-389957,http://identifiers.org/reactome/R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-389960,http://identifiers.org/reactome/R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-389977,http://identifiers.org/reactome/R-HSA-389977,Post-chaperonin tubulin folding pathway
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-437239,http://identifiers.org/reactome/R-HSA-437239,Recycling pathway of L1
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-5610787,http://identifiers.org/reactome/R-HSA-5610787,Hedgehog 'off' state
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-5617833,http://identifiers.org/reactome/R-HSA-5617833,Cilium Assembly
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-5620924,http://identifiers.org/reactome/R-HSA-5620924,Intraflagellar transport
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-5626467,http://identifiers.org/reactome/R-HSA-5626467,RHO GTPases activate IQGAPs
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-5663220,http://identifiers.org/reactome/R-HSA-5663220,RHO GTPases Activate Formins
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-6807878,http://identifiers.org/reactome/R-HSA-6807878,COPI-mediated anterograde transport
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-6811434,http://identifiers.org/reactome/R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-6811436,http://identifiers.org/reactome/R-HSA-6811436,COPI-independent Golgi-to-ER retrograde traffic
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-68877,http://identifiers.org/reactome/R-HSA-68877,Mitotic Prometaphase
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-8852276,http://identifiers.org/reactome/R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-8955332,http://identifiers.org/reactome/R-HSA-8955332,Carboxyterminal post-translational modifications of tubulin
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-9609690,http://identifiers.org/reactome/R-HSA-9609690,HCMV Early Events
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-9609736,http://identifiers.org/reactome/R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-9619483,http://identifiers.org/reactome/R-HSA-9619483,Activation of AMPK downstream of NMDARs
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-9646399,http://identifiers.org/reactome/R-HSA-9646399,Aggrephagy
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-9648025,http://identifiers.org/reactome/R-HSA-9648025,EML4 and NUDC in mitotic spindle formation
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-9668328,http://identifiers.org/reactome/R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III
ENSG00000101162,http://purl.uniprot.org/uniprot/P08123,R-HSA-983189,http://identifiers.org/reactome/R-HSA-983189,Kinesins
ENSG00000102755,http://purl.uniprot.org/uniprot/P22607,R-HSA-194306,http://identifiers.org/reactome/R-HSA-194306,Neurophilin interactions with VEGF and VEGFR
ENSG00000102755,http://purl.uniprot.org/uniprot/P22607,R-HSA-195399,http://identifiers.org/reactome/R-HSA-195399,VEGF binds to VEGFR leading to receptor dimerization
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-110314,http://identifiers.org/reactome/R-HSA-110314,Recognition of DNA damage by PCNA-containing replication complex
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-174411,http://identifiers.org/reactome/R-HSA-174411,Polymerase switching on the C-strand of the telomere
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-174414,http://identifiers.org/reactome/R-HSA-174414,Processive synthesis on the C-strand of the telomere
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-174417,http://identifiers.org/reactome/R-HSA-174417,Telomere C-strand (Lagging Strand) Synthesis
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-174437,http://identifiers.org/reactome/R-HSA-174437,Removal of the Flap Intermediate from the C-strand
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-5358565,http://identifiers.org/reactome/R-HSA-5358565,Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-5358606,http://identifiers.org/reactome/R-HSA-5358606,Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-5651801,http://identifiers.org/reactome/R-HSA-5651801,PCNA-Dependent Long Patch Base Excision Repair
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-5656169,http://identifiers.org/reactome/R-HSA-5656169,Termination of translesion DNA synthesis
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-5685942,http://identifiers.org/reactome/R-HSA-5685942,HDR through Homologous Recombination (HRR)
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-5696397,http://identifiers.org/reactome/R-HSA-5696397,Gap-filling DNA repair synthesis and ligation in GG-NER
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-5696400,http://identifiers.org/reactome/R-HSA-5696400,Dual Incision in GG-NER
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-6782135,http://identifiers.org/reactome/R-HSA-6782135,Dual incision in TC-NER
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-6782210,http://identifiers.org/reactome/R-HSA-6782210,Gap-filling DNA repair synthesis and ligation in TC-NER
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-69091,http://identifiers.org/reactome/R-HSA-69091,Polymerase switching
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-69166,http://identifiers.org/reactome/R-HSA-69166,Removal of the Flap Intermediate
ENSG00000106628,http://purl.uniprot.org/uniprot/P01589,R-HSA-69183,http://identifiers.org/reactome/R-HSA-69183,Processive synthesis on the lagging strand
ENSG00000109390,http://purl.uniprot.org/uniprot/P51649,R-HSA-611105,http://identifiers.org/reactome/R-HSA-611105,Respiratory electron transport
ENSG00000109390,http://purl.uniprot.org/uniprot/P51649,R-HSA-6799198,http://identifiers.org/reactome/R-HSA-6799198,Complex I biogenesis
ENSG00000112033,http://purl.uniprot.org/uniprot/P22303,R-HSA-383280,http://identifiers.org/reactome/R-HSA-383280,Nuclear Receptor transcription pathway
ENSG00000112033,http://purl.uniprot.org/uniprot/P22303,R-HSA-200425,http://identifiers.org/reactome/R-HSA-200425,Carnitine shuttle
